Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,12906143002.000000,-6551700000.000000,6354443002.000000,-8473593557.000000,,-8473593557.000000,-8473593557.000000,-2119150555.000000,77827834098.000000,858125195.000000,-340156384.000000,77309865287.000000,77827834098.000000,75708683543.000000,443318452.000000,76152001995.000000,-32075527827.000000,44076474168.000000,76152001996.000000,76302609190.000000,-150607194.000000,76152001996.000000,44076474169.000000,44227081363.000000,-150607194.000000,44076474169.000000
12M 2019,12483230369.000000,-347277889.000000,12135952480.000000,-19551324436.000000,,-19551324436.000000,-19551324436.000000,-7415371956.000000,19430724372.000000,2529948799.000000,-35422410.000000,16936197983.000000,19430724372.000000,12015352416.000000,-208421765.000000,11806930651.000000,-37255422575.000000,-25448491924.000000,11806930651.000000,12740569923.000000,-933639272.000000,11806930651.000000,-25448491924.000000,-24514461533.000000,-934030391.000000,-25448491924.000000
12M 2020,19298087169.000000,-193930000.000000,19104157169.000000,-23589198092.000000,,-23589198092.000000,-23589198092.000000,-4485040923.000000,9762893064.000000,2713750690.000000,-473503648.000000,7522646022.000000,9762893064.000000,5277852141.000000,608753039.000000,5897337965.000000,-710503716.000000,5186834249.000000,5897337965.000000,7284525397.000000,-1387187432.000000,5897337965.000000,5186834249.000000,6572309858.000000,-1385475609.000000,5186834249.000000
12M 2021,11782784714.000000,-128500000.000000,11654284714.000000,-37485762308.000000,,-37485762308.000000,-37485762308.000000,-25831477594.000000,6855877767.000000,2047711995.000000,-489986909.000000,5298152681.000000,6855877767.000000,-18975599827.000000,515414801.000000,-18460185026.000000,1765938358.000000,-16694246668.000000,-18460185026.000000,-16957361660.000000,-1502823366.000000,-18460185026.000000,-16694246668.000000,-15193060554.000000,-1501186114.000000,-16694246668.000000
12M 2022,29523934055.000000,-274000000.000000,29249934055.000000,-45865727035.000000,-45865727035.000000,,-45865727035.000000,-16615792980.000000,-6746689268.000000,,-485550243.000000,-6261139025.000000,-6746689268.000000,-23362482248.000000,207729276.000000,-23154752972.000000,2135835241.000000,-21018917731.000000,-23154752972.000000,-20711826744.000000,-2442926228.000000,-23154752972.000000,-21018917731.000000,-18562548847.000000,-2456368884.000000,-21018917731.000000
12M 2023,14578849955.000000,-601469636.000000,13977380319.000000,-44024744886.000000,-44024744886.000000,,-44024744886.000000,-30047364567.000000,9729956255.000000,,-381710786.000000,10111667041.000000,9729956255.000000,-20317408312.000000,3090952081.000000,-17226456231.000000,10826599683.000000,-6399856548.000000,-17226456231.000000,-14159861419.000000,-3066594812.000000,-17226456231.000000,-6399856548.000000,-3347399067.000000,-3052457481.000000,-6399856548.000000
12M 2024,1171568874.000000,-999616341.000000,171952533.000000,-42794694400.000000,-42794694400.000000,,-42794694400.000000,-42622741867.000000,-12001867283.000000,,-193658335.000000,-11808208948.000000,-12001867283.000000,-54624609150.000000,1884215901.000000,-52740393249.000000,-15675430229.000000,-68415823478.000000,-52740393249.000000,-47582425384.000000,-5157967865.000000,-52740393249.000000,-68415823478.000000,-63239656639.000000,-5176166839.000000,-68415823478.000000
