Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Keuntungan Atas Penjualan Entitas Anak,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Adjustment,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,387172000000.000000,-314648000000.000000,72524000000.000000,-74113000000.000000,-1589000000.000000,19486000000.000000,-9268000000.000000,26308000000.000000,3035000000.000000,58000000.000000,,-647000000.000000,19486000000.000000,17897000000.000000,-7410000000.000000,,,-7410000000.000000,,10487000000.000000,,10487000000.000000,10487000000.000000,10682000000.000000,-195000000.000000,10487000000.000000,10487000000.000000,10682000000.000000,-195000000.000000,10487000000.000000
12M 2010,593218000000.000000,-511544000000.000000,81674000000.000000,-55298000000.000000,26376000000.000000,-5105000000.000000,-3266000000.000000,-1277000000.000000,,1179000000.000000,,-1741000000.000000,-5105000000.000000,21271000000.000000,-7951000000.000000,,,-7951000000.000000,,13320000000.000000,,13320000000.000000,13320000000.000000,13320000000.000000,,13320000000.000000,13320000000.000000,13320000000.000000,,13320000000.000000
12M 2011,799315000000.000000,-587146000000.000000,212169000000.000000,-108893000000.000000,103276000000.000000,-58984000000.000000,-37030000000.000000,-20796000000.000000,3280000000.000000,4776000000.000000,-3933000000.000000,-5281000000.000000,-58984000000.000000,44292000000.000000,-17372000000.000000,,,-17372000000.000000,,26920000000.000000,169000000.000000,27089000000.000000,26920000000.000000,33400000000.000000,-6480000000.000000,26920000000.000000,27089000000.000000,33569000000.000000,-6480000000.000000,27089000000.000000
12M 2012,97240000.000000,-80674000.000000,16566000.000000,-26221000.000000,-9655000.000000,-4385000.000000,-2130000.000000,,,256000.000000,-254000.000000,-2257000.000000,-4385000.000000,-14040000.000000,2890000.000000,,,2890000.000000,,-11150000.000000,-353000.000000,-11503000.000000,-11150000.000000,-10654000.000000,-496000.000000,-11150000.000000,-11503000.000000,-11007000.000000,-496000.000000,-11503000.000000
12M 2013,114712000.000000,-117118000.000000,-2406000.000000,-21647000.000000,-24053000.000000,8388000.000000,-1697000.000000,,,42000.000000,47000.000000,9996000.000000,8388000.000000,-15665000.000000,5040000.000000,,,5040000.000000,,-10625000.000000,-193000.000000,-10818000.000000,-10625000.000000,-10680000.000000,55000.000000,-10625000.000000,-10818000.000000,-10873000.000000,55000.000000,-10818000.000000
12M 2014,38468000.000000,-47537000.000000,-9069000.000000,-12173000.000000,-21242000.000000,-8794000.000000,-2237000.000000,,,101000.000000,-19000.000000,-6639000.000000,-8794000.000000,-30036000.000000,5418000.000000,,,5418000.000000,,-24618000.000000,-3000.000000,-24621000.000000,-24618000.000000,-21220000.000000,-3398000.000000,-24618000.000000,-24621000.000000,-21223000.000000,-3398000.000000,-24621000.000000
12M 2015,28342000.000000,-36083000.000000,-7741000.000000,-11687000.000000,-19428000.000000,-7075000.000000,-2531000.000000,,,71000.000000,-583000.000000,-4032000.000000,-7075000.000000,-26503000.000000,581000.000000,,,581000.000000,,-25922000.000000,559000.000000,-25363000.000000,-25922000.000000,-25125000.000000,-797000.000000,-25922000.000000,-25363000.000000,-24582000.000000,-781000.000000,-25363000.000000
12M 2016,11641000.000000,-20954000.000000,-9313000.000000,-8611000.000000,-17924000.000000,-1454000.000000,-4622000.000000,,,96000.000000,-536000.000000,3608000.000000,-1454000.000000,-19378000.000000,-6104000.000000,,,-6104000.000000,,-25482000.000000,-244000.000000,-25726000.000000,-25482000.000000,-24431000.000000,-1051000.000000,-25482000.000000,-25726000.000000,-24703000.000000,-1023000.000000,-25726000.000000
12M 2017,28731000.000000,-29100000.000000,-369000.000000,-5463000.000000,-5832000.000000,-1304000.000000,-3645000.000000,,-2104000.000000,42000.000000,-90000.000000,4493000.000000,-1304000.000000,-7136000.000000,-9581000.000000,,,-9581000.000000,,-16717000.000000,215000.000000,-16502000.000000,-16717000.000000,-15518000.000000,-1199000.000000,-16717000.000000,-16502000.000000,-15295000.000000,-1207000.000000,-16502000.000000
12M 2018,38161000.000000,-36111000.000000,2050000.000000,-9319000.000000,-7269000.000000,-21498000.000000,-7132000.000000,,,376000.000000,-8000.000000,-14734000.000000,-21498000.000000,-28767000.000000,509000.000000,,,509000.000000,,-28258000.000000,-173000.000000,-28431000.000000,-28258000.000000,-28305000.000000,47000.000000,-28258000.000000,-28431000.000000,-28448000.000000,17000.000000,-28431000.000000
