Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Investasi Pada Entitas Pengendalian Bersama,Aset Pajak Tangguhan,Biaya Pengupasan Tanah Yang Ditangguhkan,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Eksplorasi Dan Evaluasi,Aset Tetap,Properti Pertambangan,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Pinjaman Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,1400000000.000000,43633000000.000000,43633000000.000000,,43633000000.000000,154000000.000000,154000000.000000,154000000.000000,83117000000.000000,5278000000.000000,133582000000.000000,,32658000000.000000,18942000000.000000,13716000000.000000,32658000000.000000,,,140000000.000000,,15739000000.000000,,114936000000.000000,,,,658000000.000000,164131000000.000000,297713000000.000000,,,162007000000.000000,,32051000000.000000,,32051000000.000000,55424000000.000000,,17663000000.000000,,17663000000.000000,8549000000.000000,,,47000000000.000000,1320000000.000000,48320000000.000000,,162007000000.000000,109108000000.000000,,,183000000.000000,183000000.000000,,105082000000.000000,1654000000.000000,106736000000.000000,134000000.000000,2055000000.000000,109108000000.000000,271115000000.000000,,20000000000.000000,,6598000000.000000,,6598000000.000000,6598000000.000000,,,26598000000.000000,297713000000.000000,20000.000000
12M 2010,,,5867000000.000000,66847000000.000000,66847000000.000000,,66847000000.000000,2617000000.000000,2617000000.000000,2617000000.000000,42086000000.000000,15562000000.000000,132979000000.000000,,78097000000.000000,57886000000.000000,20211000000.000000,78097000000.000000,,,539000000.000000,,85944000000.000000,,174589000000.000000,6056000000.000000,1514000000.000000,58811000000.000000,1541000000.000000,407091000000.000000,540070000000.000000,,,294402000000.000000,,47161000000.000000,,47161000000.000000,72880000000.000000,,21934000000.000000,,21934000000.000000,9029000000.000000,38467000000.000000,,44955000000.000000,22793000000.000000,67748000000.000000,37183000000.000000,294402000000.000000,25750000000.000000,,,,,,,19436000000.000000,19436000000.000000,742000000.000000,5572000000.000000,25750000000.000000,320152000000.000000,,200000000000.000000,,19918000000.000000,,19918000000.000000,19918000000.000000,,,219918000000.000000,540070000000.000000,200000.000000
12M 2011,,,359163000000.000000,177546000000.000000,177546000000.000000,,177546000000.000000,21294000000.000000,21294000000.000000,21294000000.000000,100922000000.000000,40117000000.000000,699042000000.000000,,94197000000.000000,37350000000.000000,56847000000.000000,94197000000.000000,,,11778000000.000000,37977000000.000000,337805000000.000000,,324560000000.000000,88917000000.000000,14632000000.000000,540046000000.000000,152430000000.000000,1602342000000.000000,2301384000000.000000,,,458180000000.000000,,47826000000.000000,,47826000000.000000,87122000000.000000,,27750000000.000000,,27750000000.000000,21447000000.000000,45009000000.000000,,118005000000.000000,23596000000.000000,141601000000.000000,87425000000.000000,458180000000.000000,453271000000.000000,,,4428000000.000000,4428000000.000000,,411240000000.000000,7817000000.000000,419057000000.000000,14637000000.000000,15149000000.000000,453271000000.000000,911451000000.000000,,600000000000.000000,732834000000.000000,53318000000.000000,5000000000.000000,48318000000.000000,53318000000.000000,-2951000000.000000,6732000000.000000,1389933000000.000000,2301384000000.000000,3000000000.000000
12M 2012,,,15721000.000000,11162000.000000,11162000.000000,,11162000.000000,1264000.000000,1264000.000000,1264000.000000,19602000.000000,11483000.000000,59232000.000000,,10453000.000000,6546000.000000,3907000.000000,10453000.000000,2750000.000000,8170000.000000,3978000.000000,9278000.000000,,7499000.000000,58412000.000000,67166000.000000,,67574000.000000,4593000.000000,239873000.000000,299105000.000000,,,150903000.000000,,8713000.000000,,8713000.000000,24857000.000000,,5990000.000000,,5990000.000000,2400000.000000,24023000.000000,,66037000.000000,1777000.000000,67814000.000000,17106000.000000,150903000.000000,3896000.000000,,,451000.000000,451000.000000,,,909000.000000,909000.000000,541000.000000,1995000.000000,3896000.000000,154799000.000000,,67498000.000000,81988000.000000,-5676000.000000,567000.000000,-6243000.000000,-5676000.000000,-976000.000000,1472000.000000,144306000.000000,299105000.000000,3000000000.000000
12M 2013,,,1843000.000000,10630000.000000,10630000.000000,,10630000.000000,8091000.000000,8091000.000000,8091000.000000,10334000.000000,13468000.000000,44366000.000000,,8724000.000000,5166000.000000,3558000.000000,8724000.000000,2797000.000000,8170000.000000,10137000.000000,10196000.000000,,8042000.000000,62485000.000000,89084000.000000,,67087000.000000,5089000.000000,271811000.000000,316177000.000000,,,170283000.000000,,30489000.000000,,30489000.000000,31847000.000000,,7708000.000000,,7708000.000000,5429000.000000,22500000.000000,,62775000.000000,670000.000000,63445000.000000,8865000.000000,170283000.000000,12898000.000000,,,305000.000000,305000.000000,,6435000.000000,130000.000000,6565000.000000,422000.000000,5606000.000000,12898000.000000,183181000.000000,,67498000.000000,81988000.000000,-16356000.000000,567000.000000,-16923000.000000,-16356000.000000,-1413000.000000,1279000.000000,132996000.000000,316177000.000000,3000000000.000000
12M 2014,,,4220000.000000,16723000.000000,16723000.000000,,16723000.000000,7868000.000000,7868000.000000,7868000.000000,3316000.000000,16363000.000000,48490000.000000,,9021000.000000,5403000.000000,3618000.000000,9021000.000000,2778000.000000,8170000.000000,15239000.000000,9429000.000000,,8524000.000000,63450000.000000,96673000.000000,,66908000.000000,10467000.000000,290659000.000000,339149000.000000,,,147597000.000000,,26446000.000000,,26446000.000000,31604000.000000,,38418000.000000,,38418000.000000,7329000.000000,,,15620000.000000,1082000.000000,16702000.000000,27098000.000000,147597000.000000,84196000.000000,,,394000.000000,394000.000000,,77402000.000000,361000.000000,77763000.000000,,6039000.000000,84196000.000000,231793000.000000,,67498000.000000,81988000.000000,-38595000.000000,567000.000000,-39162000.000000,-38595000.000000,-4811000.000000,1276000.000000,107356000.000000,339149000.000000,3000000000.000000
12M 2015,,,6429000.000000,9636000.000000,9636000.000000,,9636000.000000,7626000.000000,7626000.000000,7626000.000000,5925000.000000,10470000.000000,40086000.000000,,8083000.000000,4716000.000000,3367000.000000,8083000.000000,2198000.000000,8167000.000000,15586000.000000,10998000.000000,,8524000.000000,76058000.000000,105910000.000000,,66735000.000000,9139000.000000,311398000.000000,351484000.000000,,,195545000.000000,,23213000.000000,,23213000.000000,36537000.000000,,67061000.000000,,67061000.000000,8326000.000000,3195000.000000,,25157000.000000,4958000.000000,30115000.000000,27098000.000000,195545000.000000,73946000.000000,,,344000.000000,344000.000000,,65013000.000000,3588000.000000,68601000.000000,,5001000.000000,73946000.000000,269491000.000000,,67498000.000000,81988000.000000,-63035000.000000,567000.000000,-63602000.000000,-63035000.000000,-5592000.000000,1134000.000000,81993000.000000,351484000.000000,3000000000.000000
12M 2016,,,1649000.000000,5150000.000000,5150000.000000,,5150000.000000,9999000.000000,9999000.000000,9999000.000000,3389000.000000,16259000.000000,36446000.000000,,7295000.000000,4769000.000000,2526000.000000,7295000.000000,,8166000.000000,8617000.000000,,,8298000.000000,70464000.000000,119190000.000000,,66605000.000000,5034000.000000,293669000.000000,330115000.000000,,,205700000.000000,,19608000.000000,,19608000.000000,24124000.000000,,77571000.000000,,77571000.000000,4442000.000000,2350000.000000,,31936000.000000,4275000.000000,36211000.000000,41394000.000000,205700000.000000,68148000.000000,,,274000.000000,274000.000000,,58486000.000000,3900000.000000,62386000.000000,832000.000000,4656000.000000,68148000.000000,273848000.000000,,67498000.000000,81988000.000000,-87598000.000000,567000.000000,-88165000.000000,-87598000.000000,-6615000.000000,994000.000000,56267000.000000,330115000.000000,3000000000.000000
12M 2017,,,4462000.000000,8024000.000000,8024000.000000,,8024000.000000,10923000.000000,10923000.000000,10923000.000000,4291000.000000,11709000.000000,39409000.000000,,6655000.000000,4147000.000000,2508000.000000,6655000.000000,1574000.000000,8165000.000000,4581000.000000,,,8292000.000000,66583000.000000,120538000.000000,,66261000.000000,4997000.000000,287646000.000000,327055000.000000,,,181402000.000000,,21875000.000000,,21875000.000000,32961000.000000,,70887000.000000,,70887000.000000,2746000.000000,10654000.000000,,8870000.000000,1316000.000000,10186000.000000,32093000.000000,181402000.000000,105888000.000000,,,14060000.000000,14060000.000000,,80718000.000000,,80718000.000000,6431000.000000,4679000.000000,105888000.000000,287290000.000000,,67498000.000000,81988000.000000,-102949000.000000,567000.000000,-103516000.000000,-102949000.000000,-7822000.000000,1050000.000000,39765000.000000,327055000.000000,3000000000.000000
12M 2018,,,1550000.000000,10923000.000000,10923000.000000,,10923000.000000,21849000.000000,21849000.000000,21849000.000000,6219000.000000,12976000.000000,53517000.000000,,8224000.000000,5185000.000000,3039000.000000,8224000.000000,1693000.000000,8158000.000000,3739000.000000,,,7794000.000000,81364000.000000,116297000.000000,,65973000.000000,3306000.000000,296548000.000000,350065000.000000,,,228514000.000000,,24129000.000000,,24129000.000000,47239000.000000,,78079000.000000,,78079000.000000,2971000.000000,10230000.000000,,20543000.000000,730000.000000,21273000.000000,44593000.000000,228514000.000000,111565000.000000,,,21470000.000000,21470000.000000,,76775000.000000,92000.000000,76867000.000000,5018000.000000,8210000.000000,111565000.000000,340079000.000000,,67498000.000000,81988000.000000,-131358000.000000,567000.000000,-131925000.000000,-131358000.000000,-5803000.000000,-2339000.000000,9986000.000000,350065000.000000,3000000000.000000
