Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Restitusi Pajak Penghasilan Badan,Pembayaran Kepada Pemasok,Pembayaran Pajak Penghasilan Badan,Pembayaran Kepada Karyawan,Pembayaran Iuran Eksploitasi,Penerimaan Bunga,Pembayaran Bunga,(Pembayaran)/Penerimaan Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Dana Yang Dibatasi Pencairannya,Pembayaran Uang Muka Untuk Pelunasan Utang,Pembelian Aset Keuangan Yang Tersedia Untuk Dijual,Pinjaman Kepada Kepentingan Nonpengendali,Pinjaman Yang Diberikan Kepada Perusahaan Yang Diakusisi Sebelum Akusisi,Penerimaan Dari Uang Muka Investasi,Uang Muka Untuk Perolehan Aset Tetap,Kenaikan Piutang Non-Usaha Tidak Lancar,Penurunan Piutang Non-Usaha Tidak Lancar,Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,"Akusisi Entitas Anak, Bersih Dari Kas Yang Diterima",Hasil Penjualan Aset Tetap,Investasi Pada Entitas Asosiasi,Arus Kas Masuk Bersih Dari Penjualan Entitas Anak,Penambahan Properti Pertambangan,Penambahan Aset Eksplorasi Dan Evaluasi,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Kas Dari Pinjaman,Penambahan Modal,Pembayaran Pinjaman,Pembayaran Pinjaman Jangka Panjang,Penambahan Pinjaman Jangka Panjang,Pembayaran Utang Sewa Pembiayaan,Penurunan Liabilitas Lain-Lain,Pembayaran Pinjaman Jangka Pendek,Penambahan Pinjaman Jangka Pendek,Perolehan Kas Dari Penambahan Modal Saham,Pembayaran Bunga Dan Beban Keuangan Lainnya,Pembayaran Utang Lain-Lain Pihak Berelasi,Penerimaan Pinjaman Dari Kepentingan Non-Pengendali,Perolehan Kas Dari Penawaran Umum Perdana Saham,Pembayaran Biaya Untuk Penawaran Umum Perdana Saham,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2009,-4525000000.000000,343539000000.000000,,-302765000000.000000,-3646000000.000000,-44925000000.000000,-8472000000.000000,,-7226000000.000000,18970000000.000000,-4525000000.000000,-32250000000.000000,-22763000000.000000,,,,,,,,-9368000000.000000,,,,,,-119000000.000000,,,,-32250000000.000000,30494000000.000000,49726000000.000000,,-17129000000.000000,,,-2103000000.000000,,,,,,,,,,,30494000000.000000,-6281000000.000000,7681000000.000000,,1400000000.000000
12M 2010,79143000000.000000,563761000000.000000,,-408054000000.000000,-8148000000.000000,-59231000000.000000,-5806000000.000000,,-3857000000.000000,478000000.000000,79143000000.000000,-218564000000.000000,-25647000000.000000,,,,,-107638000000.000000,,,-26114000000.000000,,,3772000000.000000,,,,,,-62937000000.000000,-218564000000.000000,143888000000.000000,114055000000.000000,,-139289000000.000000,,,-10878000000.000000,,,,180000000000.000000,,,,,,,143888000000.000000,4467000000.000000,1400000000.000000,,5867000000.000000
12M 2011,-170640000000.000000,625101000000.000000,,-465209000000.000000,-13944000000.000000,-157267000000.000000,-58108000000.000000,,-25258000000.000000,-75955000000.000000,-170640000000.000000,-905635000000.000000,-102345000000.000000,,,-11434000000.000000,,,,-125619000000.000000,-181692000000.000000,,,-191473000000.000000,,,869000000.000000,,,-293941000000.000000,-905635000000.000000,1429571000000.000000,526097000000.000000,,-203461000000.000000,,,-25899000000.000000,,,,400000000000.000000,,,,732834000000.000000,,,1429571000000.000000,353296000000.000000,5867000000.000000,,359163000000.000000
12M 2012,19139000.000000,112917000.000000,,-66427000.000000,-3644000.000000,-21344000.000000,-266000.000000,,-2388000.000000,291000.000000,19139000.000000,-65708000.000000,-24912000.000000,,,,,,,-2327000.000000,-117000.000000,,-27161000.000000,-11191000.000000,,,,,,,-65708000.000000,22682000.000000,56272000.000000,,-29539000.000000,,,-4051000.000000,,,,,,,,,,,22682000.000000,-23887000.000000,39608000.000000,,15721000.000000
12M 2013,-1322000.000000,112136000.000000,,-88654000.000000,-430000.000000,-16663000.000000,-1501000.000000,,-6244000.000000,34000.000000,-1322000.000000,-12319000.000000,-8438000.000000,,,,,,,,7802000.000000,,-16221000.000000,4538000.000000,,,,,,,-12319000.000000,-237000.000000,6453000.000000,,-4803000.000000,,,-1887000.000000,,,,,,,,,,,-237000.000000,-13878000.000000,15721000.000000,,1843000.000000
12M 2014,15380000.000000,50542000.000000,,-21743000.000000,-52000.000000,-10314000.000000,-2868000.000000,,-6640000.000000,6455000.000000,15380000.000000,-11896000.000000,-4472000.000000,-1013000.000000,,,,,,,-719000.000000,,,,,,,,-5692000.000000,,-11896000.000000,-1107000.000000,,,,,,-1107000.000000,,,,,,,,,,,-1107000.000000,2377000.000000,1843000.000000,,4220000.000000
12M 2015,12492000.000000,35429000.000000,,-18228000.000000,-768000.000000,-6842000.000000,-1487000.000000,,-7867000.000000,12255000.000000,12492000.000000,-8556000.000000,-4511000.000000,635000.000000,,,,,,,938000.000000,,,,,,,-5618000.000000,,,-8556000.000000,-1727000.000000,3195000.000000,,-2345000.000000,,,-2577000.000000,,,,,,,,,,,-1727000.000000,2209000.000000,4220000.000000,,6429000.000000
12M 2016,-2681000.000000,16036000.000000,,-10567000.000000,,-3984000.000000,-2290000.000000,,-6865000.000000,4989000.000000,-2681000.000000,-634000.000000,-1519000.000000,15000.000000,,,,,3722000.000000,-602000.000000,,126000.000000,,,22000.000000,,,,-2398000.000000,,-634000.000000,-1006000.000000,,,-635000.000000,,,-371000.000000,,,,,,,,,,,-1006000.000000,-4321000.000000,6429000.000000,,2108000.000000
12M 2017,-630000.000000,30597000.000000,,-28480000.000000,,-4664000.000000,-3351000.000000,,-5383000.000000,10651000.000000,-630000.000000,-4170000.000000,-3866000.000000,302000.000000,,,,,,,,433000.000000,,,13000.000000,,,,-1052000.000000,,-4170000.000000,7154000.000000,20000000.000000,,-12542000.000000,,,-304000.000000,,,,,,,,,,,7154000.000000,2354000.000000,2108000.000000,,4462000.000000
12M 2018,14168000.000000,34674000.000000,,-16105000.000000,,-6254000.000000,-3385000.000000,,-8112000.000000,13350000.000000,14168000.000000,-24982000.000000,-11427000.000000,-466000.000000,,,,,,,,-11544000.000000,,,458000.000000,-120000.000000,,,-1883000.000000,,-24982000.000000,7902000.000000,37837000.000000,,-29318000.000000,,,-617000.000000,,,,,,,,,,,7902000.000000,-2912000.000000,4462000.000000,,1550000.000000
12M 2019,17668000.000000,62460000.000000,,-51635000.000000,,-5449000.000000,-3679000.000000,,,15971000.000000,17668000.000000,-47779000.000000,-4395000.000000,-15000.000000,-10932000.000000,,-19611000.000000,,,,,2450000.000000,,,105000.000000,-11023000.000000,,,-4358000.000000,,-47779000.000000,29917000.000000,,41827000.000000,,-15844000.000000,11942000.000000,-26000.000000,,-6547000.000000,4136000.000000,,-7729000.000000,,2158000.000000,,,,29917000.000000,-194000.000000,1550000.000000,,1356000.000000
12M 2020,15925000.000000,45024000.000000,,-41667000.000000,,-4925000.000000,-1953000.000000,,,19446000.000000,15925000.000000,-12506000.000000,-5674000.000000,-2534000.000000,,,,,,,-1552000.000000,,,,,,,,-2746000.000000,,-12506000.000000,-4263000.000000,,,,-1133000.000000,,-182000.000000,,-516000.000000,,,-3500000.000000,,1068000.000000,,,,-4263000.000000,-844000.000000,1356000.000000,-6000.000000,506000.000000
12M 2021,17787000.000000,112029000.000000,,,-1672000.000000,-5811000.000000,-1497000.000000,,,-85262000.000000,17787000.000000,-11124000.000000,-2796000.000000,-3765000.000000,,,,,,,-1109000.000000,,,,,,,,-3454000.000000,,-11124000.000000,-5001000.000000,,10024000.000000,,-991000.000000,,-615000.000000,,,,,-3395000.000000,-10024000.000000,,,,,-5001000.000000,1662000.000000,506000.000000,-5000.000000,2163000.000000
12M 2022,33771000.000000,235730000.000000,,,-3113000.000000,-6466000.000000,-12564000.000000,,,-179816000.000000,33771000.000000,-26015000.000000,-2486000.000000,-1964000.000000,,,,,,,233000.000000,,,,,,,,-21798000.000000,,-26015000.000000,-4970000.000000,,4997000.000000,,-2687000.000000,,-694000.000000,,,,,-1818000.000000,-4768000.000000,,,,,-4970000.000000,2786000.000000,2163000.000000,-193000.000000,4756000.000000
12M 2023,43648000.000000,274400000.000000,,,-606000.000000,-8440000.000000,-7056000.000000,,,-214650000.000000,43648000.000000,-23240000.000000,-8159000.000000,5705000.000000,,,,,,,4392000.000000,,,,,,,,-25178000.000000,,-23240000.000000,-9934000.000000,,,,-3413000.000000,,-2201000.000000,,,,,-4320000.000000,,,,,,-9934000.000000,10474000.000000,4756000.000000,95000.000000,15325000.000000
12M 2024,60271000.000000,314900000.000000,,,-844000.000000,-9846000.000000,-31580000.000000,,,-212359000.000000,60271000.000000,-52215000.000000,-20514000.000000,1823000.000000,,,,,,,-1459000.000000,,,,,,,,-32065000.000000,,-52215000.000000,-3607000.000000,,,,-5152000.000000,,-69000.000000,683000.000000,-650000.000000,5000000.000000,,-3419000.000000,,,,,,-3607000.000000,4449000.000000,15325000.000000,-519000.000000,19255000.000000
