Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2014,33 B,(2 B),31 B,13.14
12M 2015,(129 B),(2 B),(131 B),-35.77
12M 2016,56 B,(0 B),56 B,15.39
12M 2017,(76 B),(2 B),(78 B),-19.49
12M 2018,21 B,(4 B),16 B,3.59
12M 2019,186 B,(0 B),185 B,44.28
12M 2020,(445 B),(3 B),(448 B),-106.98
12M 2021,(608 B),(1 B),(608 B),-52.08
12M 2022,"(4,006 B)",(192 B),"(4,198 B)",-193.18
12M 2023,"2,348 B",(101 B),"2,247 B",103.42
12M 2024,872 B,(109 B),763 B,35.12
