Period,Arus Kas Dari Aktivitas Operasi,"Bunga, Hasil Investasi, Provisi Dan Komisi Yang Diterima",Bunga Dan Beban Yang Dibayar,Pendapatan Operasional Lainnya,Penerimaan Kembali Aset Yang Telah Dihapusbukukan,Penerimaan Kembali Atas Kredit Yang Dihapusbukukan Dan Agunan Yang Diambil Alih,Laba Selisih Kurs - Bersih,Beban Tenaga Kerja,Beban Administrasi Dan Umum,Pembayaran Pajak Penghasilan,Pendapatan (Beban) Non Operasi -Bersih,Adjustment,Penurunan (Kenaikan) Aset Operasi;,Efek-Efek,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Penempatan Pada Bank Indonesia Dan Bank Lain,Kredit Yang Diberikan,Biaya Dibayar Dimuka,Uang Muka,Pajak Dibayar Dimuka,Agunan Yang Diambil Alih,Aset Iain-Iain,Total Penurunan (Kenaikan) Aset Operasi;,Kenaikan (Penurunan) Liabiiitas Operasi:,Simpanan,Giro,Tabungan,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Kewajiban Surat Berharga Repo,Deposito Berjangka,Utang Pajak,Liabiiitas Iain-Iain,Total Kenaikan (Penurunan) Liabiiitas Operasi:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembelian Efek-Efek Yang Diukur Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain,Penjualan Efek-Efek Yang Diukur Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain,Hasil Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor,Uang Muka Setoran Modal,Modal Ditempatkan Dan Disetor Penuh,Pembayaran Liabilitas Sewa,Biaya Atas Penebitan Saham Tanpa Melalui Hak Memesan Efek Terlebih Dahulu,Penerimaan Penerbitan Saham Melalui Penawaran Umum Perdana,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2014,32608141727.000000,212652909661.000000,-138128878461.000000,4147663221.000000,,,130833861.000000,-44839075072.000000,-24328612795.000000,,219100929.000000,,,33804569966.000000,,,-296700317337.000000,-893002297.000000,,-5098739594.000000,,-3743578783.000000,-272631068045.000000,,,-8904437533.000000,-9275906479.000000,,,313861964871.000000,783317198.000000,-1079669629.000000,295385268428.000000,32608141727.000000,5929665293.000000,-1091187600.000000,,,7669852893.000000,-649000000.000000,5929665293.000000,50000000000.000000,50000000000.000000,,,,,,50000000000.000000,88537807020.000000,221503545911.000000,310041352931.000000
12M 2015,-128699994195.000000,236136158942.000000,-148170837918.000000,-67949316012.000000,,,64513500.000000,-47586001130.000000,-32056062723.000000,,24250997.000000,,,-56672621816.000000,,,50387360586.000000,-906022639.000000,,-4620250773.000000,,-32750935232.000000,-44562469874.000000,,,20475532984.000000,7429442207.000000,,,-53366520566.000000,-971356683.000000,1832672081.000000,-24600229977.000000,-128699994195.000000,-337174262.000000,-757883872.000000,,,1520709610.000000,-1100000000.000000,-337174262.000000,126230230398.000000,30000000000.000000,,,,,96230230398.000000,126230230398.000000,-2806938059.000000,310041352931.000000,307234414872.000000
12M 2016,56434074520.000000,220502157739.000000,-122279282738.000000,-761905961.000000,,,59816660.000000,-50511084666.000000,-30274167276.000000,,2360072442.000000,,,70688654609.000000,-37602000000.000000,,75304443525.000000,1543421331.000000,,,,-44284378404.000000,65650141061.000000,,,-2268950663.000000,7366982265.000000,,,-38636773209.000000,-965584929.000000,6192653795.000000,-28311672741.000000,56434074520.000000,-256281003.000000,-195352870.000000,,,13321867.000000,-74250000.000000,-256281003.000000,,,,,,,,,56177793517.000000,307234414874.000000,363412208391.000000
12M 2017,-75862859744.000000,211895961486.000000,-115042837371.000000,14169235312.000000,,,23386450.000000,-57575319732.000000,-35073868533.000000,,1167317438.000000,,,-14215976805.000000,37602000000.000000,,-338814057448.000000,-9728886109.000000,-50312830455.000000,,,-56916513290.000000,-432386264107.000000,,,39685457590.000000,5994255009.000000,,,260803910766.000000,972918993.000000,29502986955.000000,336959529313.000000,-75862859744.000000,-2401771553.000000,-2405756553.000000,,,3985000.000000,,-2401771553.000000,49675725000.000000,36500000000.000000,13500000000.000000,,,-324275000.000000,,49675725000.000000,-28588906297.000000,363412208391.000000,334823302094.000000
12M 2018,20572426961.000000,223763777620.000000,-120492099670.000000,6443047508.000000,96250000.000000,,,-64825173073.000000,-40652288381.000000,,-10852758306.000000,,,32354542901.000000,,-11200000000.000000,71768082639.000000,4778382029.000000,50312830455.000000,,,-35869322348.000000,112144515676.000000,,,63384868822.000000,2179658933.000000,,,-119882384053.000000,-539162916.000000,-30195825199.000000,-85052844413.000000,20572426961.000000,-4336201868.000000,-3464199568.000000,,,18997700.000000,-891000000.000000,-4336201868.000000,17829374000.000000,3443179500.000000,,16943179500.000000,,-2556985000.000000,,17829374000.000000,34065599093.000000,334823302094.000000,368888901187.000000
12M 2019,185761530651.000000,222291423791.000000,-136107342505.000000,7156105906.000000,,78643302896.000000,,-60461299440.000000,-129189187359.000000,,-15273786838.000000,,,-24227764654.000000,-46800000000.000000,11200000000.000000,-22789346792.000000,1940214855.000000,-1367800000.000000,,,1746263754.000000,-80298432837.000000,,,67535622140.000000,-5033647332.000000,,,233343672528.000000,1019025399.000000,2136074302.000000,299000747037.000000,185761530651.000000,-451672984.000000,-493432984.000000,,,41760000.000000,,-451672984.000000,,,,,,,,,185309857667.000000,368888901187.000000,554198758854.000000
12M 2020,-444708455596.000000,160200886321.000000,-116899915905.000000,4169301155.000000,,181551069.000000,,-54543034308.000000,-36802106994.000000,,1463080302.000000,,,-818553906425.000000,46800000000.000000,-500000000.000000,390912002581.000000,7173042916.000000,1367800000.000000,,,-52840922524.000000,-425641983452.000000,,,-135364703345.000000,-5513563770.000000,,,-555656118111.000000,-1284021620.000000,720982173062.000000,23163766216.000000,-444708455596.000000,-2949046666.000000,-281476666.000000,,,10930000.000000,-2678500000.000000,-2949046666.000000,,,,,,,,,-447657502262.000000,554198758853.000000,106541256591.000000
12M 2021,-607613563082.000000,314315747956.000000,-154807920207.000000,106273569130.000000,,,,-57227633459.000000,-32810250578.000000,,1140500629.000000,,,-866477552563.000000,,,-922415906989.000000,-296328887.000000,-69644598589.000000,,,-14786711893.000000,-1873621098921.000000,,,-20086495572.000000,-3631226711.000000,,,818110346434.000000,23326299899.000000,271404598318.000000,1089123522368.000000,-607613563082.000000,-725545434.000000,-62665998.000000,,,57762664.000000,-720642100.000000,-725545434.000000,748446752515.000000,749850177600.000000,,,,-1403425085.000000,,748446752515.000000,140107643999.000000,106541256591.000000,246648900590.000000
12M 2022,-4006145114752.000000,774174835936.000000,-134222259618.000000,98743494199.000000,,243078330.000000,,-73741608878.000000,-251979018760.000000,,-4606269185.000000,,,-62974264551.000000,-764098785000.000000,,-5025843247467.000000,-37941478518.000000,65658410835.000000,,,226985160625.000000,-5598214204076.000000,,,-131485512941.000000,205586212240.000000,,,2056319754741.000000,4587784809.000000,-951551401549.000000,1183456837300.000000,-4006145114752.000000,-167012582610.000000,-125894963649.000000,,,24628910318.000000,-65746529279.000000,-167012582610.000000,4800396339889.000000,1004732287100.000000,,3795664052789.000000,,,,4800396339889.000000,627238642527.000000,246648900590.000000,873887543117.000000
12M 2023,2348096837931.000000,1299218666163.000000,-289559995239.000000,104309283702.000000,,18265904652.000000,,-147239816813.000000,-336206390058.000000,-127158847967.000000,-18176489981.000000,,,,764098785000.000000,,-180149638909.000000,15020659232.000000,,,,40901478628.000000,639871283951.000000,,,8333115904.000000,155861578189.000000,611288163333.000000,,363823482010.000000,9463784781.000000,56003115304.000000,1204773239521.000000,2348096837931.000000,-1355316617708.000000,-88330983246.000000,-1754500000000.000000,500000000000.000000,19043262.000000,-12504677724.000000,-1355316617708.000000,-13292386412.000000,,,,-13292386412.000000,,,-13292386412.000000,979487833811.000000,873887543117.000000,1853375376928.000000
