Period,Total Pendapatan,Pendapatan Bunga,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Keuntungan Transaksi Mata Uang Asing,Provisi Dan Komisi Lainnya,Jasa Administrasi,Keuntungan Penjualan Efek-Efek,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Penurunan Nilai Wajar Aset Keuangan Yang Diperdagangkan,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan Dan Non-Keuangan,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2014,222505448553.000000,222505448553.000000,222505448553.000000,-140759610960.000000,-140759610960.000000,-140759610960.000000,81745837593.000000,-69518932084.000000,,130833861.000000,1969649195.000000,4457574099.000000,,695171554.000000,7253228709.000000,,,-2974731627.000000,-26818012011.000000,-46979417155.000000,-76772160793.000000,-69518932084.000000,12226905509.000000,5683317285.000000,5475359220.000000,,207958065.000000,5683317285.000000,17910222794.000000,-5461351638.000000,-4251250773.000000,-1210100865.000000,-5461351638.000000,12448871156.000000,21481064934.000000,21481064934.000000,21481064934.000000,33929936090.000000,12448871156.000000,12448871156.000000,,12448871156.000000,33929936090.000000,33929936090.000000,,33929936090.000000
12M 2015,239232612252.000000,239232612252.000000,239232612252.000000,-147365969669.000000,-147365969669.000000,-147365969669.000000,91866642583.000000,-153404709080.000000,,64513500.000000,1713020895.000000,5039754752.000000,,128922100.000000,6946211247.000000,,,-75299153564.000000,-34684532006.000000,-50367234757.000000,-160350920327.000000,-153404709080.000000,-61538066497.000000,1541087843.000000,1516836846.000000,,24250997.000000,1541087843.000000,-59996978654.000000,14018772292.000000,,14018772292.000000,14018772292.000000,-45978206362.000000,5737969142.000000,5737969142.000000,5737969142.000000,-40240237220.000000,-45978206362.000000,-45978206362.000000,,-45978206362.000000,-40240237220.000000,-40240237220.000000,,-40240237220.000000
12M 2016,215914153424.000000,215914153424.000000,215914153424.000000,-121422969312.000000,-121422969312.000000,-121422969312.000000,94491184112.000000,-86279584044.000000,,59816660.000000,1357364866.000000,5322941944.000000,2717870000.000000,632841233.000000,10090834703.000000,,,-11091924004.000000,-32734742169.000000,-52543752574.000000,-96370418747.000000,-86279584044.000000,8211600068.000000,2667257642.000000,8185200.000000,,2659072442.000000,2667257642.000000,10878857710.000000,-3791824583.000000,,-3791824583.000000,-3791824583.000000,7087033127.000000,-1461981419.000000,-1461981419.000000,-1461981419.000000,5625051708.000000,7087033127.000000,7087033127.000000,,7087033127.000000,5625051708.000000,5625051708.000000,,5625051708.000000
12M 2017,212853831548.000000,212853831548.000000,212853831548.000000,-115393396810.000000,-115393396810.000000,-115393396810.000000,97460434738.000000,-83334910625.000000,,23386450.000000,1915635584.000000,9054313179.000000,,5042662930.000000,16035998143.000000,,,-1843376381.000000,-37509925956.000000,-60017606431.000000,-99370908768.000000,-83334910625.000000,14125524113.000000,1171302438.000000,3985000.000000,,1167317438.000000,1171302438.000000,15296826551.000000,-4934501093.000000,,-4934501093.000000,-4934501093.000000,10362325458.000000,-1711337624.000000,-1711337624.000000,-1711337624.000000,8650987834.000000,10362325458.000000,10362325458.000000,,10362325458.000000,8650987834.000000,8650987834.000000,,8650987834.000000
12M 2018,222339040371.000000,222339040371.000000,222339040371.000000,-120624113372.000000,-120624113372.000000,-120624113372.000000,101714926999.000000,-218857008351.000000,,612000.000000,1440636530.000000,4640026132.000000,,458022845.000000,6539297507.000000,,,-113916991606.000000,-43466188386.000000,-68013125866.000000,-225396305858.000000,-218857008351.000000,-117142081352.000000,-3653195364.000000,16765241.000000,,-3669960605.000000,-3653195364.000000,-120795276716.000000,-2348031014.000000,,-2348031014.000000,-2348031014.000000,-123143307730.000000,1264248893.000000,1264248893.000000,1264248893.000000,-121879058837.000000,-123143307730.000000,-123143307730.000000,,-123143307730.000000,-121879058837.000000,-121879058837.000000,,-121879058837.000000
12M 2019,222323923791.000000,222323923791.000000,222323923791.000000,-135940003048.000000,-135940003048.000000,-135940003048.000000,86383920743.000000,-135251452543.000000,,,1442179146.000000,5336837657.000000,,61178194572.000000,67957211375.000000,,,-88275757486.000000,-43511292883.000000,-71421613549.000000,-203208663918.000000,-135251452543.000000,-48867531800.000000,2447820911.000000,41760000.000000,,2406060911.000000,2447820911.000000,-46419710889.000000,9870047700.000000,-213019993.000000,10083067693.000000,9870047700.000000,-36549663189.000000,303760581.000000,303760581.000000,303760581.000000,-36245902608.000000,-36549663189.000000,-36549663189.000000,,-36549663189.000000,-36245902608.000000,-36245902608.000000,,-36245902608.000000
12M 2020,162125871157.000000,162125871157.000000,162125871157.000000,-114535488869.000000,-114535488869.000000,-114535488869.000000,47590382288.000000,-3237664172.000000,,,1257364389.000000,2595867556.000000,,497620280.000000,4350852225.000000,,,83076760638.000000,-40169652075.000000,-50495624960.000000,-7588516397.000000,-3237664172.000000,44352718116.000000,1474010303.000000,10930000.000000,,1463080303.000000,1474010303.000000,45826728419.000000,-8815337082.000000,,-8815337082.000000,-8815337082.000000,37011391337.000000,10289189195.000000,10289189195.000000,10289189195.000000,47300580532.000000,37011391337.000000,37011391337.000000,,37011391337.000000,47300580532.000000,47300580532.000000,,47300580532.000000
12M 2021,353211153269.000000,353211153269.000000,353211153269.000000,-157893156290.000000,-157893156290.000000,-157893156290.000000,195317996979.000000,24828977969.000000,,,25862231594.000000,2429502526.000000,76552690631.000000,992586255.000000,105837011006.000000,,,2997161224.000000,-35977783688.000000,-48027410573.000000,-81008033037.000000,24828977969.000000,220146974948.000000,-147932600.000000,44089478.000000,,-192022078.000000,-147932600.000000,219999042348.000000,-27524424155.000000,-23755744130.000000,-3768680025.000000,-27524424155.000000,192474618193.000000,15283073944.000000,15283073944.000000,15283073944.000000,207757692137.000000,192474618193.000000,192474618193.000000,,192474618193.000000,207757692137.000000,207757692137.000000,,207757692137.000000
12M 2022,767672238489.000000,767672238489.000000,767672238489.000000,-140443190519.000000,-140443190519.000000,-140443190519.000000,627229047970.000000,-270625878038.000000,,,120209813917.000000,8408542376.000000,3918770429.000000,982510526.000000,133519637248.000000,,,-44261738328.000000,-286577245489.000000,-73306531469.000000,-404145515286.000000,-270625878038.000000,356603169932.000000,-4291241715.000000,315027469.000000,,-4606269184.000000,-4291241715.000000,352311928217.000000,-82282517024.000000,-78895040625.000000,-3387476399.000000,-82282517024.000000,270029411193.000000,15967208547.000000,15967208547.000000,15967208547.000000,285996619740.000000,270029411193.000000,270029411193.000000,,270029411193.000000,285996619740.000000,285996619740.000000,,285996619740.000000
12M 2023,1328942770941.000000,1328942770941.000000,1328942770941.000000,-292187971868.000000,-292187971868.000000,-292187971868.000000,1036754799073.000000,-461193753107.000000,,,6596365673.000000,57587846278.000000,37373920257.000000,21017056146.000000,122575188354.000000,,,-47941752225.000000,-391270804253.000000,-144556384983.000000,-583768941461.000000,-461193753107.000000,575561045966.000000,-286771831.000000,,,-286771831.000000,-286771831.000000,575274274135.000000,-130708139831.000000,-127158847967.000000,-3549291864.000000,-130708139831.000000,444566134304.000000,39282818026.000000,39282818026.000000,39282818026.000000,483848952330.000000,444566134304.000000,444566134304.000000,,444566134304.000000,483848952330.000000,483848952330.000000,,483848952330.000000
