Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2013,,,,,,,,,,,,,,,0.0
12M 2014,,,,,,,,,10.43,,0.12,,,,0.0
12M 2015,,,,,,,,,7.58,7.65,0.12,0.11,,,0.0
12M 2016,,,,,,,,,6.66,6.77,0.1,0.11,,,0.0
12M 2017,,,,,,,,,6.61,6.62,0.09,0.09,,,0.0
12M 2018,,,,,,,,,6.63,6.6,0.09,0.09,,,0.0
12M 2019,,,,,,,,,6.62,6.73,0.09,0.09,,,0.0
12M 2020,,,,,,,,,5.13,5.66,0.06,0.07,,,0.0
12M 2021,,,,,,,,,11.68,11.39,0.1,0.06,,,0.0
12M 2022,,,,,,,,,8.3,5.25,0.1,0.07,,,0.0
12M 2023,,,,,,,,,7.44,7.78,0.11,0.11,,,0.0
12M 2024,,,,,,,,,6.26,5.57,0.11,0.11,,,0.0
