Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Portofolio Efek,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Utang Pajak,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,13903576175.000000,108680511207.000000,94984831234.000000,157296596170.000000,,1819592750.000000,1206314605851.000000,,1208134198601.000000,12596460951.000000,4290342288.000000,6133150736.000000,,32278437473.000000,1638298104835.000000,,,1781457022.000000,1338486315738.000000,6017233454.000000,1332469082284.000000,1338486315738.000000,64190195620.000000,643977574.000000,63546218046.000000,64190195620.000000,5061174532.000000,,20917859925.000000,1430437002837.000000,,146600000000.000000,,61385330747.000000,1500000000.000000,59885330747.000000,61385330747.000000,-124228749.000000,207861101998.000000,1638298104835.000000,146600.000000
12M 2014,,10753483750.000000,134073701250.000000,157578029241.000000,123492026204.000000,,4609988148.000000,1500224527790.000000,,1504834515938.000000,30068095412.000000,2827686445.000000,6430068124.000000,,50469068841.000000,2020526675205.000000,,,2245074079.000000,1619393089314.000000,18716824905.000000,1600676264409.000000,1619393089314.000000,78965042903.000000,1355102278.000000,77609940625.000000,78965042903.000000,5464102907.000000,,23135427914.000000,1729202737117.000000,,235000000000.000000,20000000000.000000,14967101903.000000,2000000000.000000,12967101903.000000,14967101903.000000,21356836185.000000,291323938088.000000,2020526675205.000000,2350000000.000000
12M 2015,,13194462550.000000,120675625707.000000,171252820499.000000,180164648020.000000,,21773388116.000000,1432673767234.000000,,1454447155350.000000,33062128543.000000,14933802356.000000,6605814598.000000,,84697847450.000000,2079034305073.000000,,,4443636515.000000,1594192265887.000000,8230961290.000000,1585961304597.000000,1594192265887.000000,78704320955.000000,1409393093.000000,77294927862.000000,78704320955.000000,2872495452.000000,,22853154998.000000,1703065873807.000000,,365000000000.000000,16230230398.000000,-31011104459.000000,2000000000.000000,-33011104459.000000,-31011104459.000000,25749305327.000000,375968431266.000000,2079034305073.000000,3650000000.000000
12M 2016,,14326073550.000000,99900870882.000000,234945114871.000000,109475993411.000000,,24726726290.000000,1354415985535.000000,,1379142711825.000000,31745308898.000000,11376728353.000000,5726525553.000000,,171823713503.000000,2058463040846.000000,,,10509975262.000000,1568477838660.000000,20347629509.000000,1548130209151.000000,1568477838660.000000,70880006575.000000,2210277994.000000,68669728581.000000,70880006575.000000,1906910523.000000,,24879931255.000000,1676654662275.000000,,365000000000.000000,16230230398.000000,-23709175735.000000,2000000000.000000,-25709175735.000000,-23709175735.000000,24287323908.000000,381808378571.000000,2058463040846.000000,3650000000.000000
12M 2017,,14984267500.000000,86305685056.000000,221685518112.000000,123691970216.000000,,30667850458.000000,1687288918815.000000,,1717956769273.000000,32682159575.000000,7012673134.000000,4759374007.000000,,249745495757.000000,2458823912630.000000,,,32168530505.000000,1742732350950.000000,13614988577.000000,1729117362373.000000,1742732350950.000000,203109117651.000000,2262587649.000000,200846530002.000000,203109117651.000000,2879829516.000000,,37600627437.000000,2018490456059.000000,,401500000000.000000,15905955398.000000,-13148485110.000000,2000000000.000000,-15148485110.000000,-13148485110.000000,36075986283.000000,440333456571.000000,2458823912630.000000,4015000000.000000
12M 2018,,15411177800.000000,111310279599.000000,244168416404.000000,91337427315.000000,,31053976952.000000,1501217718076.000000,,1532271695028.000000,34368921424.000000,4243225824.000000,4611355795.000000,,226450064329.000000,2264172563518.000000,,,1468519957.000000,1644927368132.000000,14087081498.000000,1630840286634.000000,1644927368132.000000,246596244171.000000,3426801231.000000,243169442940.000000,246596244171.000000,2340666600.000000,,32357627757.000000,1927690426617.000000,,418443179500.000000,30292149898.000000,-136093427673.000000,2000000000.000000,-138093427673.000000,-136093427673.000000,23840235176.000000,336482136901.000000,2264172563518.000000,4516875000.000000
12M 2019,,14736388950.000000,116119982581.000000,413856382643.000000,115565191969.000000,,27470847155.000000,1527590194665.000000,,1555061041820.000000,32804430650.000000,13860213445.000000,3466004250.000000,,261703532462.000000,2527173168770.000000,,,2761689163.000000,1970198344821.000000,13389120818.000000,1956809224003.000000,1970198344821.000000,217170914818.000000,2105756115.000000,215065158703.000000,217170914818.000000,3359691999.000000,,33916650321.000000,2227407291122.000000,,418443179500.000000,30292149898.000000,-173113447507.000000,2000000000.000000,-175113447507.000000,-173113447507.000000,24143995757.000000,299765877648.000000,2527173168770.000000,4184431795.000000
12M 2020,,14025339750.000000,51616264591.000000,37491175922.000000,934116390134.000000,,25773743434.000000,1221455246877.000000,,1247228990311.000000,30376640192.000000,5690466420.000000,4598452704.000000,,261519767967.000000,2586663487991.000000,,,2711561700.000000,1468313113827.000000,12852701297.000000,1455460412530.000000,1468313113827.000000,22521760588.000000,2563439579.000000,19958321009.000000,22521760588.000000,2075670379.000000,,743974923317.000000,2239597029811.000000,,418443179500.000000,30292149898.000000,-136102056170.000000,2000000000.000000,-138102056170.000000,-136102056170.000000,34433184952.000000,347066458180.000000,2586663487991.000000,4184431795.000000
12M 2021,,12450754000.000000,64735668284.000000,99984725723.000000,1814861500000.000000,,927985688.000000,2170384050127.000000,,2171312035815.000000,30123236623.000000,1635358624.000000,3544280759.000000,,450709588904.000000,4649357148732.000000,,,51501145529.000000,2124024215739.000000,1068214247110.000000,1055809968629.000000,2124024215739.000000,161203282828.000000,14435597.000000,161188847231.000000,161203282828.000000,25397749278.000000,,983959852525.000000,3346086245899.000000,,1168293357100.000000,28888724813.000000,56372562023.000000,2000000000.000000,54372562023.000000,56372562023.000000,49716258897.000000,1303270902833.000000,4649357148732.000000,11682933571.000000
12M 2022,,3173579300.000000,305945558821.000000,374938237140.000000,1896710000000.000000,,161747513207.000000,6991329895264.000000,,7153077408471.000000,154808892729.000000,,61942976956.000000,,1108359749468.000000,11058956402885.000000,,,138770930759.000000,4415647912731.000000,2012650356660.000000,2402997556071.000000,4415647912731.000000,39873.000000,39873.000000,,39873.000000,10624955181.000000,932187110.000000,81711440469.000000,4647687466123.000000,,2173025644200.000000,3868733223522.000000,326401973216.000000,2024618193.000000,324377355023.000000,326401973216.000000,43108095824.000000,6411268936762.000000,11058956402885.000000,21730256442.000000
