Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Minyak Dan Gas Bumi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Properti Investasi,Aset Tetap,Aset Eksplorasi Dan Evaluasi,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Obligasi,Utang Pajak,Utang Pemegang Saham,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Dari Pihak Ketiga,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Dari Pihak Ketiga,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1281486804.000000,,14289857087.000000,14289857087.000000,,14289857087.000000,35624040851.000000,,35624040851.000000,35624040851.000000,17848482880.000000,5378163706.000000,74422031328.000000,,,,1740055340.000000,,,,,,736740000.000000,44192185930.000000,,,6739712747.000000,53408694017.000000,127830725345.000000,,,82455278107.000000,25918720618.000000,,,6948350565.000000,6948350565.000000,10950000000.000000,2778167868.000000,,6663857370.000000,,,6663857370.000000,28663258782.000000,,,,,,532922904.000000,82455278107.000000,25721019783.000000,,,,19814014816.000000,19814014816.000000,5907004967.000000,25721019783.000000,108176297890.000000,,334161400000.000000,3504064650.000000,-318011037195.000000,100000000.000000,-318111037195.000000,-318011037195.000000,,,19654427455.000000,127830725345.000000,2566456000.000000
12M 2009,,,17655037363.000000,,7654440363.000000,7654440363.000000,,7654440363.000000,1203172750.000000,,1203172750.000000,1203172750.000000,20642154414.000000,3724792955.000000,50879597845.000000,,9002113493.000000,,1959357866.000000,,,,,,736740000.000000,38117395115.000000,,,8659888370.000000,58475494844.000000,109355092689.000000,,,42703057252.000000,10000000000.000000,,,3373315971.000000,3373315971.000000,9400000000.000000,1780613318.000000,,14350430670.000000,,,14350430670.000000,2051817321.000000,,,,,,1746879972.000000,42703057252.000000,38072536303.000000,,,,29507764883.000000,29507764883.000000,8564771420.000000,38072536303.000000,80775593555.000000,,334161400000.000000,3504064650.000000,-309085965516.000000,100000000.000000,-309185965516.000000,-309085965516.000000,,,28579499134.000000,109355092689.000000,2566456000.000000
12M 2010,,,29631218043.000000,,13291151187.000000,13291151187.000000,,13291151187.000000,672177081.000000,,672177081.000000,672177081.000000,16269842457.000000,5551218483.000000,65415607251.000000,,8224424014.000000,,1805634662.000000,,,,,,1800972000.000000,32892470687.000000,,,4785616742.000000,49509118105.000000,114924725356.000000,,,51602492354.000000,10000000000.000000,,,4371413356.000000,4371413356.000000,8991000000.000000,2964713569.000000,,13545675513.000000,,,13545675513.000000,4751551808.000000,,,,6746058308.000000,6746058308.000000,232079800.000000,51602492354.000000,27814717367.000000,,,,21108727307.000000,21108727307.000000,6705990060.000000,27814717367.000000,79417209721.000000,,334161400000.000000,3504064650.000000,-302493624015.000000,,-302493624015.000000,-302493624015.000000,,335675000.000000,35507515635.000000,114924725356.000000,2566456000.000000
12M 2011,,,25484829771.000000,,21659499750.000000,21659499750.000000,,21659499750.000000,54725108.000000,,54725108.000000,54725108.000000,18681298569.000000,2898444683.000000,68778797881.000000,,7024743132.000000,,2487793894.000000,,,,,,2593283000.000000,27547396647.000000,,,9534780959.000000,49187997632.000000,117966795513.000000,,,43215510662.000000,10000000000.000000,,,5333868950.000000,5333868950.000000,9068000000.000000,4820099212.000000,,10391323367.000000,,,10391323367.000000,3523881611.000000,,,,,,78337522.000000,43215510662.000000,11944975341.000000,,,,,,11944975341.000000,11944975341.000000,55160486003.000000,,334161400000.000000,3504064650.000000,-275014260140.000000,,-275014260140.000000,-275014260140.000000,,155105000.000000,62806309510.000000,117966795513.000000,2566456000.000000
12M 2012,,,33277276437.000000,,25556823269.000000,25556823269.000000,,25556823269.000000,266547548.000000,,266547548.000000,266547548.000000,18825967746.000000,2525351612.000000,80451966612.000000,,5886226490.000000,,2324745989.000000,,,,,,2213000000.000000,42576152216.000000,,,15088641028.000000,68088765723.000000,148540732335.000000,,,30859482120.000000,10000000000.000000,,,7249733088.000000,7249733088.000000,,2404810326.000000,,7696721265.000000,,,7696721265.000000,809142411.000000,,201133332.000000,2194038997.000000,,2395172329.000000,303902701.000000,30859482120.000000,22871516997.000000,,217894437.000000,7165834984.000000,,7383729421.000000,15487787576.000000,22871516997.000000,53730999117.000000,,66832280000.000000,9853143050.000000,18203020168.000000,,18203020168.000000,18203020168.000000,,-78710000.000000,94809733218.000000,148540732335.000000,2566456000.000000
12M 2013,,,50006905442.000000,,18579762739.000000,18579762739.000000,,18579762739.000000,46367670.000000,,46367670.000000,46367670.000000,27619612311.000000,2262857921.000000,98515506083.000000,,4900117314.000000,,2288831798.000000,,,,,,2213000000.000000,35024014530.000000,,,14051899754.000000,58477863396.000000,156993369479.000000,,,25220775266.000000,10000000000.000000,,,6406561811.000000,6406561811.000000,,2287914310.000000,,2484004684.000000,,,2484004684.000000,847660464.000000,,201133332.000000,2458038143.000000,,2659171475.000000,535462522.000000,25220775266.000000,20208907462.000000,,16761093.000000,4719626203.000000,,4736387296.000000,15472520166.000000,20208907462.000000,45429682728.000000,,66832280000.000000,9853143050.000000,35072723701.000000,,35072723701.000000,35072723701.000000,,-194460000.000000,111563686751.000000,156993369479.000000,2566456000.000000
12M 2014,,,47588297793.000000,,35630594809.000000,35630594809.000000,,35630594809.000000,7814773386.000000,,7814773386.000000,7814773386.000000,48838907814.000000,5238066748.000000,145110640550.000000,,3978774479.000000,131832698723.000000,1265634422.000000,,,,,,2213000000.000000,28102541921.000000,,30869255060.000000,19306264508.000000,217568169113.000000,362678809663.000000,,,57931096147.000000,10000000000.000000,,,15137961561.000000,15137961561.000000,,20743528787.000000,,,,810605381.000000,810605381.000000,6460368622.000000,,8380548.000000,4724684348.000000,,4733064896.000000,45566900.000000,57931096147.000000,30967822565.000000,,,,,,30967822565.000000,30967822565.000000,88898918712.000000,,79664560000.000000,139899957422.000000,43051490861.000000,,43051490861.000000,43051490861.000000,-2318010414.000000,13481893082.000000,273779890951.000000,362678809663.000000,1283228000.000000
12M 2015,,,80462371807.000000,,20542542733.000000,20542542733.000000,,20542542733.000000,9014990406.000000,,9014990406.000000,9014990406.000000,27552303181.000000,80676523223.000000,218248731350.000000,,297451140.000000,4955370925.000000,2631632884.000000,13283133547.000000,,,,,4328000000.000000,1444888367.000000,,,3739279601.000000,30679756464.000000,248928487814.000000,,,117280609454.000000,10000000000.000000,,,9495781742.000000,9495781742.000000,,24683965838.000000,,,232870869.000000,203016859.000000,435887728.000000,1649089110.000000,,,,,,71015885036.000000,117280609454.000000,20734349882.000000,,,,,,20734349882.000000,20734349882.000000,138014959336.000000,,79664560000.000000,139899957422.000000,-132502551066.000000,,-132502551066.000000,-132502551066.000000,-4796825436.000000,28648387558.000000,110913528478.000000,248928487814.000000,1283228000.000000
12M 2016,,,16003601056.000000,,26866673916.000000,26866673916.000000,,26866673916.000000,2706144452.000000,,2706144452.000000,2706144452.000000,23198803244.000000,136363642045.000000,205138864713.000000,,,1892187043.000000,2026434605.000000,13156555383.000000,,,,,2069944000.000000,1194295622.000000,,,3970240281.000000,24309656934.000000,229448521647.000000,,,120437594367.000000,10000000000.000000,,,6700736039.000000,6700736039.000000,,24832347498.000000,,,201540000.000000,4228890639.000000,4430430639.000000,1671214721.000000,,,,,,72802865470.000000,120437594367.000000,21837525624.000000,,,,,,21837525624.000000,21837525624.000000,142275119991.000000,,79664560000.000000,139899957422.000000,-155660826914.000000,,-155660826914.000000,-155660826914.000000,-5496165255.000000,28765876403.000000,87173401656.000000,229448521647.000000,1283228000.000000
12M 2017,,,21138919094.000000,,17143154771.000000,17143154771.000000,,17143154771.000000,2412506788.000000,,2412506788.000000,2412506788.000000,30714594745.000000,85887284883.000000,157296460281.000000,,,565419412.000000,,51136435421.000000,16257527451.000000,16257527451.000000,,16257527451.000000,3200144000.000000,976791632.000000,,,4293747986.000000,76430065902.000000,233726526183.000000,,,126344141646.000000,10000000000.000000,,,6481450089.000000,6481450089.000000,,26448215426.000000,,,203220000.000000,4266686857.000000,4469906857.000000,689067604.000000,,,,,,78255501670.000000,126344141646.000000,24406900591.000000,,,,,,24406900591.000000,24406900591.000000,150751042237.000000,,82231016000.000000,154785402222.000000,-179044958307.000000,,-179044958307.000000,-179044958307.000000,-4679505140.000000,29683529171.000000,82975483946.000000,233726526183.000000,1411550800.000000
