Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,92953417113.000000,-53142280651.000000,39811136462.000000,-26284125284.000000,-16648624077.000000,-9635501207.000000,-26284125284.000000,13527011178.000000,-12350869339.000000,80413853.000000,-7415108968.000000,-3532989223.000000,,,-1483185001.000000,-12350869339.000000,1176141839.000000,-1173833115.000000,,-1626663200.000000,452830085.000000,-1173833115.000000,,2308724.000000,,,,,2308724.000000,2308724.000000,,2308724.000000,,,,
12M 2009,68328469105.000000,-48282390488.000000,20046078617.000000,-19582112868.000000,-10629180069.000000,-8952932799.000000,-19582112868.000000,463965749.000000,9529869184.000000,225081643.000000,-3698513665.000000,5672494536.000000,,,7330806670.000000,9529869184.000000,9993834933.000000,-1068763254.000000,,-1288065780.000000,219302526.000000,-1068763254.000000,,8925071679.000000,,,,,8925071679.000000,8925071679.000000,,8925071679.000000,,,,
12M 2010,85140507102.000000,-52490792470.000000,32649714632.000000,-26764599399.000000,-14244433051.000000,-12520166348.000000,-26764599399.000000,5885115233.000000,448595190.000000,318981843.000000,-2507288190.000000,2004811572.000000,,,632089965.000000,448595190.000000,6333710423.000000,-2302685800.000000,,-2154291600.000000,-148394200.000000,-2302685800.000000,,4031024623.000000,,,,,4031024623.000000,4031024623.000000,,4031024623.000000,,,,
12M 2011,139394287082.000000,-90435512429.000000,48958774653.000000,-14608757891.000000,-3046835083.000000,-11561922808.000000,-14608757891.000000,34350016762.000000,-97257719.000000,740478352.000000,-1794193013.000000,307874464.000000,,,648582478.000000,-97257719.000000,34252759043.000000,-6773395168.000000,,-7455554400.000000,682159232.000000,-6773395168.000000,,27479363875.000000,-180570000.000000,-180570000.000000,-180570000.000000,27298793875.000000,27479363875.000000,27479363875.000000,,27479363875.000000,27298793875.000000,27298793875.000000,,27298793875.000000
12M 2012,150825364700.000000,-104203143365.000000,46622221335.000000,-17942258965.000000,-2325192599.000000,-15617066366.000000,-17942258965.000000,28679962370.000000,-791616232.000000,1033295814.000000,-346339773.000000,-1609993535.000000,,,131421262.000000,-791616232.000000,27888346138.000000,-5797671705.000000,,-5634623800.000000,-163047905.000000,-5797671705.000000,,22090674433.000000,-41670000.000000,-41670000.000000,-41670000.000000,22049004433.000000,22090674433.000000,22090674433.000000,,22090674433.000000,22049004433.000000,22049004433.000000,,22049004433.000000
12M 2013,139985891541.000000,-95683484150.000000,44302407391.000000,-16844333648.000000,-1503112810.000000,-15341220838.000000,-16844333648.000000,27458073743.000000,298738381.000000,2281705805.000000,-656359108.000000,-1888624037.000000,,,562015721.000000,298738381.000000,27756812124.000000,-5754196591.000000,,-5718282400.000000,-35914191.000000,-5754196591.000000,,22002615533.000000,-115750000.000000,-115750000.000000,-115750000.000000,21886865533.000000,22002615533.000000,22002615533.000000,,22002615533.000000,21886865533.000000,21886865533.000000,,21886865533.000000
12M 2014,169300649568.000000,-128895780646.000000,40404868922.000000,-32625983033.000000,-1871730134.000000,-30754252899.000000,-32625983033.000000,7778885889.000000,4051138447.000000,1664468175.000000,-471494119.000000,2445890955.000000,,,412273436.000000,4051138447.000000,11830024336.000000,-4220800604.000000,,-3197603228.000000,-1023197376.000000,-4220800604.000000,,7609223732.000000,15174341202.000000,15174341202.000000,15174341202.000000,22783564934.000000,7609223732.000000,7978767160.000000,-369543428.000000,7609223732.000000,22783564934.000000,21285576814.000000,1497988120.000000,22783564934.000000
12M 2015,31375452390.000000,-62994345033.000000,-31618892643.000000,-18901249091.000000,,,-18901249091.000000,-50520141734.000000,-142954140926.000000,639586308.000000,-105025877.000000,27312461.000000,,,-143516013818.000000,-142954140926.000000,-193474282660.000000,-1740150362.000000,,,,-1740150362.000000,15653738369.000000,-179560694653.000000,16694332180.000000,16694332180.000000,16694332180.000000,-162866362473.000000,-179560694653.000000,-175412525857.000000,-4148168796.000000,-179560694653.000000,-162866362473.000000,-160387547451.000000,-2478815022.000000,-162866362473.000000
12M 2016,23847470324.000000,-24226241199.000000,-378770875.000000,-15140769086.000000,,,-15140769086.000000,-15519539961.000000,-4533751665.000000,688431079.000000,,,,,-5222182744.000000,-4533751665.000000,-20053291626.000000,-1217185526.000000,,-1322632244.000000,105446718.000000,-1217185526.000000,-2091555485.000000,-23362032637.000000,-378094185.000000,-378094185.000000,-378094185.000000,-23740126822.000000,-23362032637.000000,-22683889459.000000,-678143178.000000,-23362032637.000000,-23740126822.000000,-23040787003.000000,-699339819.000000,-23740126822.000000
12M 2017,28672612639.000000,-19323267109.000000,9349345530.000000,-11709599247.000000,,,-11709599247.000000,-2360253717.000000,-16804867807.000000,95971943.000000,-15022100982.000000,,,,-1878738768.000000,-16804867807.000000,-19165121524.000000,-3575346317.000000,,-1590245043.000000,-1985101274.000000,-3575346317.000000,-613892816.000000,-23354360657.000000,1204468357.000000,1204468357.000000,1204468357.000000,-22149892300.000000,-23354360657.000000,-23607532023.000000,253171366.000000,-23354360657.000000,-22149892300.000000,-22466478625.000000,316586325.000000,-22149892300.000000
12M 2018,34975091118.000000,-24039972221.000000,10935118897.000000,-11012409729.000000,,,-11012409729.000000,-77290832.000000,11084964508.000000,2449049472.000000,-335429303.000000,,,,8971344339.000000,11084964508.000000,11007673676.000000,-1939794085.000000,,-1939794085.000000,,-1939794085.000000,-1584903170.000000,7482976421.000000,-14417801827.000000,-14417801827.000000,-14417801827.000000,-6934825406.000000,7482976421.000000,7969972805.000000,-486996384.000000,7482976421.000000,-6934825406.000000,-6322673944.000000,-612151462.000000,-6934825406.000000
12M 2019,,,,-9421415790.000000,,,-9421415790.000000,-9421415790.000000,-78512964258.000000,2197054299.000000,,,,,-80710018557.000000,-78512964258.000000,-87934380048.000000,,,,,,,-87934380048.000000,715132352.000000,715132352.000000,715132352.000000,-87219247696.000000,-87934380048.000000,-89951060203.000000,2016680155.000000,-87934380048.000000,-87219247696.000000,-89301348941.000000,2082101245.000000,-87219247696.000000
12M 2020,,,,-9859317028.000000,,,-9859317028.000000,-9859317028.000000,6624593476.000000,32135977.000000,,,,,6592457499.000000,6624593476.000000,-3234723552.000000,7273893571.000000,,7273893571.000000,,7273893571.000000,,4039170019.000000,-1383436094.000000,-1383436094.000000,-1383436094.000000,2655733925.000000,4039170019.000000,2293238800.000000,1745931219.000000,4039170019.000000,2655733925.000000,1014823598.000000,1640910327.000000,2655733925.000000
12M 2021,46303564507.000000,-26022294610.000000,20281269897.000000,-15852043808.000000,,,-15852043808.000000,4429226089.000000,3691808329.000000,387959424.000000,-118693414.000000,-448411402.000000,,,3870953721.000000,3691808329.000000,8121034418.000000,1103749521.000000,,890193797.000000,213555724.000000,1103749521.000000,,9224783939.000000,-5492299970.000000,-5492299970.000000,-5492299970.000000,3732483969.000000,9224783939.000000,10185604594.000000,-960820655.000000,9224783939.000000,3732483969.000000,6981365641.000000,-3248881672.000000,3732483969.000000
