Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pihak Ketiga Dan Untuk Beban Operasional,Adjustment,Penerimaan Atas Pendapatan Keuangan,Pembayaran Atas Beban Keuangan,Pembayaran Pensiun,Pembayaran (Penerimaan) Pajak Penghasilan,Pembayaran Pajak Final,Pemberian Pinjaman Piutang Lain-Lain,Penerimaan (Pembayaran) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Kas Dan Bank Entitas Yang Dilepas,Investasi Pada Perusahaan Anak,Penerimaan Dari Uang Muka Penjualan,Penambahan Aset Minyak Dan Gas Bumi,Pembayaran Transaksi Beli Efek Dengan Janji Jual Kembali,Penerimaan Dari Penjualan Properti Investasi,Penerimaan Dari Divestasi Aset,Penempatan Deposito Berjangka,Pencairan Deposito Berjangka,Investasi Pada Entitas Asosiasi,Kenaikan Aset Lain-Lain,Pembayaran Uang Muka,Penerimaan Dari Penjualan Aset Tetap,Jaminan Sewa Pembiayaan,Perolehan Investasi Pada Entitas Asosiasi,Perolehan Aset Reverse Repo,Penerimaan Aset Keuangan Tersedia Untuk Dijual,Akuisisi Entitas Anak,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Kas Yang Diperoleh Dari Akuisisi Terbalik,Kenaikan Uang Muka Pembelian Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Kepada Pemegang Saham,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Penerimaan Setoran Modal,Setoran Modal Pada Entitas Anak Oleh Kepentingan Non-Pengendali,Setoran Modal Melalui Penerbitan Saham Dengan Hmetd,Pembayaran Beban Terkait Hmetd,Penurunan Utang Kepada Pemegang Saham,Penerimaan Pinjaman Jangka Pendek,Penerimaan Utang Pihak Berelasi,Pelunasan Atas Obligasi Kepada Pihak Ketiga,Pembayaran Pinjaman Pihak Berelasi,Pembayaran Atas Liabilitas Sewa,Pinjaman Yang Diberikan Kepada Pihak Berelasi,Pembayaran Dividen Kas Kepada Kepentingan Non-Pengendali,Pembayaran Atas Pinjaman Bank Jangka Pendek,Pembayaran Atas Utang Pihak Ketiga,Pembayaran Atas Utang Sewa Pembiayaan,Pembayaran Atas Utang Pembiayaan Konsumen,Pelunasan Atas Pinjaman Untuk Pembelian Aset Tetap,Hutang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Penurunan Bersih Kas Dan Setara Kas,Kenaikan Bersih Kas Dan Bank Dari Operasi Yang Dihentikan,Kas Dan Setara Kas Awal Periode,Kas Dari Anak Usaha Yang Diambil Alih,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,1377364263.000000,81103371687.000000,,-51040407621.000000,,-51040407621.000000,-28033123550.000000,,80413853.000000,,,-267893560.000000,,-2082468495.000000,1617471949.000000,1377364263.000000,-944535506.000000,,,,,,,,,,,,,,,,,,,,,,,-944535506.000000,-944535506.000000,-8866779038.000000,,,,,,,,,,,,,,,,-8848918616.000000,,,-17860422.000000,,-8866779038.000000,,-8433950281.000000,,9715437085.000000,,,1281486804.000000
12M 2009,22965826384.000000,76177842896.000000,,-47807844924.000000,,-47807844924.000000,-17039024513.000000,,225081643.000000,,,-2609325016.000000,,,14019096298.000000,22965826384.000000,-2842275825.000000,,,,,,,,,,,,,,,,,,,,,,,-2842275825.000000,-2842275825.000000,-3750000000.000000,,,,,,,,,,,,,,,,-3750000000.000000,,,,,-3750000000.000000,,16373550559.000000,,1281486804.000000,,,17655037363.000000
12M 2010,13686708330.000000,78298962446.000000,,-46974813872.000000,,-46974813872.000000,-19660592353.000000,,318981843.000000,,,-2234836395.000000,,,3939006661.000000,13686708330.000000,-57548382.000000,,,,,,,500000000.000000,,,,,,,25681818.000000,,,,,,,,,-583230200.000000,-57548382.000000,-1652979268.000000,,,,,,,,,,,,,,,,-1652979268.000000,,,,,-1652979268.000000,,11976180680.000000,,17655037363.000000,,,29631218043.000000
12M 2011,23053216047.000000,130994091275.000000,,-85051929307.000000,,-85051929307.000000,-14599264132.000000,,732338651.000000,-4404627172.000000,,-4617393268.000000,,,,23053216047.000000,-163772600.000000,,,,,,,,,,,,,,,,,,,,,,,-163772600.000000,-163772600.000000,-27035831719.000000,,,,,,,,,,,,,,,,-27035831719.000000,,,,,-27035831719.000000,,-4146388272.000000,,29631218043.000000,,,25484829771.000000
12M 2012,21646289326.000000,147047627190.000000,,-99128446237.000000,,-99128446237.000000,-17544550217.000000,,985187323.000000,-303319020.000000,,-9410209713.000000,,,,21646289326.000000,-2706064410.000000,,,,,,,,,,,,,,10125000000.000000,-2914750000.000000,,,,,,,,-9916314410.000000,-2706064410.000000,-11147778250.000000,,,,,,,,,,-9985680000.000000,,,,,,,-695126019.000000,-466972231.000000,,,-11147778250.000000,,7792446666.000000,,25484829771.000000,,,33277276437.000000
12M 2013,24342226981.000000,146911150433.000000,,-102218034448.000000,,-102218034448.000000,-16096498454.000000,,2289845505.000000,-656359108.000000,,-5887876947.000000,,,,24342226981.000000,-98114700.000000,,,,,,,,,,,,,,,,,,,,,,,-98114700.000000,-98114700.000000,-7514483276.000000,-5131140297.000000,,,,,,,,,,,,,,,,-2182209635.000000,-201133344.000000,,,-7514483276.000000,,16729629005.000000,,33277276437.000000,,,50006905442.000000
12M 2014,12482799469.000000,169316057160.000000,,-114752962230.000000,,-114752962230.000000,-37881616903.000000,,1660474386.000000,-471494119.000000,,-5387658825.000000,,,,12482799469.000000,-155118007615.000000,,,-153711627749.000000,,-961809866.000000,,,,,,,,,,,,,,,,,,-444570000.000000,-155118007615.000000,140216600497.000000,,,142879094372.000000,,,,,,,,,,,,,,-2452979998.000000,-209513877.000000,,,140216600497.000000,,-2418607649.000000,,50006905442.000000,,,47588297793.000000
12M 2015,-8415139633.000000,30797028081.000000,,-24408957351.000000,,-24408957351.000000,-15337770794.000000,,639586308.000000,-105025877.000000,,,,,,-8415139633.000000,-15055358544.000000,,,,38740000000.000000,-548267238.000000,-35382481481.000000,,,,,,,-3980400000.000000,331090175.000000,,-13365000000.000000,,,,,,,-850300000.000000,-15055358544.000000,-4733064896.000000,,,,,,,,,,,,,,,,,-4724684348.000000,-8380548.000000,,,-4733064896.000000,,-28203563073.000000,61077637087.000000,47588297793.000000,,,80462371807.000000
12M 2016,-9442083525.000000,20140308495.000000,,-18990771939.000000,,-18990771939.000000,-11280051160.000000,,688431079.000000,,,,,,,-9442083525.000000,-58044451666.000000,,,,,,,,,,,,,-58044451666.000000,,,,,,,,,,,-58044451666.000000,,,,,,,,,,,,,,,,,,,,,,,,-67486535191.000000,3027764440.000000,80462371807.000000,,,16003601056.000000
12M 2017,3435023363.000000,31693902824.000000,,-19022248645.000000,,-19022248645.000000,-9332602759.000000,,95971943.000000,,,,,,,3435023363.000000,-21576430173.000000,,,,,,,,,,,-17451900800.000000,,-4614507069.000000,,,,,,500227696.000000,,,,-10250000.000000,-21576430173.000000,17451900800.000000,,,17451900800.000000,,,,,,,,,,,,,,,,,,17451900800.000000,,-689506010.000000,5753372354.000000,16003601056.000000,,71451694.000000,21138919094.000000
