Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari,Pelanggan,Operator Lain,Telepon Tidak Bergerak,Telepon Seluler,Interkoneksi,"Data, Internet, Dan Jasa Teknologi Informasi",Jaringan,Jasa Telekomunikasi Lainnya,Total Penerimaan Dari,Pendapatan Bunga Diterima,Pembayaran Pajak Pertambahan Nilai,Penerimaan / Pengembalian Kas Dari Pelanggan,Pembayaran Kas Untuk Beban,Pembayaran Kas Kepada Karyawan,Pembayaran Tagihan Restirusi Pajak,Penerimaan Restitusi Pajak,Pembayaran Pajak Penghasilan,Beban Bunga Dibayar,Pembayaran Sewa Jangka Pendek,Penerimaan Kas Lainya - Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pelepasan Bisnis,Pembelian Bisnis,Pelepasan Penyertaan Jangka Panjang,Hasil Dari Penjualan Aset Keuangan Tersedia Untuk Dijual Dan Dividen Yang Diterima,Pelepasan Perusahaan Asosiasi,Hasil Dari Penjualan Aset Tetap,Penambahan Penyertaan Jangka Panjang,Penempatan Deposito Berjangka,Hasil Dari Pencairan Deposito Berjangka Dan Pembelian Aset Keuangan Tersedia Untuk Dijual,Hasil Dari Claim Asuransi,Perolehan Aset Tetap,Penambahan Investasi Jangka Panjang Pada Instrumen Keuangan,Akuisisi Tower Oleh Anak Perusahaan,Penempatan Pada Rekening Penampungan,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Pembelian Investasi Jangka Panjang,Penurunan/Kenaikan Rekening Escrow,Penerimaan Dari Akuisisi Entitas Anak Setelah Dikurangi Kas Yang Diperolah,Penambahan Kepemilikan Pada Entitas Anak Dari Kepentingan Non Pengendali,Penambahan/Penurunan Uang Muka Dan Aset Lainnya,Penerimaan Dividen,Hasil Dari Pelepasan Anak Perusahaan,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hasil Dari Penjualan Saham Yang Diperoleh Kembali,Hasil Dari Hutang Bank,Hasil Dari Hutang Bank Jangka Pendek,Hasil Dari Wesel Bayar,Hasil Wesel Jangka Menengah,Utang Obligasi,Hasil Dari Obligasi,Penerimaan Setoran Modal Pada Entitas Anak Dari Pemegang Saham Non Pengendali,Pembayaran Untuk Pembelian Kembali Saham Yang Telah Diterbitkan,Pencairan Medium Term Notes,Pembayaran Dividen Kas Kepada,Pemegang Saham Perusahaan,Pemegang Saham Non Pengendali Entitas Anak,Total Pembayaran Dividen Kas Kepada,Hasil Dari Pinjaman Penerusan Dan Utang Bank,Pembayaran Pinjaman Penerusan Hutang Bank,Pembayaran Pinjaman Jangka Panjang,Pembayaran Wesel Bayar,Pembayaran Hutang Sewa Pembiayaan,Pembayaran Hutang Bank Jangka Pendek,Pembayaran Utang Bank Dan Pinjaman Lainnya,Pembayaran Kewajiban Sewa,Pencairan Utang Bank Dan Pinjaman Lainnya,Hasil Dari Penawaran Saham Perdana Anak Perusahaan,Pembayaran Wesel Jangka Menengah,Pembelian Saham Kembali Pemegang Saham Nonpengendali Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penyisihan Kerugian Kredit Ekspektasian,Saldo Akhir Anak Perusahaan Yang Dijual,Kas Dan Setara Kas Akhir Periode
12M 2007,27727272000000.000000,,,,10987600000000.000000,22720191000000.000000,9621688000000.000000,14822515000000.000000,3797000000.000000,1122607000000.000000,59278398000000.000000,514524000000.000000,,-18876000000.000000,-23612680000000.000000,,,,-6963766000000.000000,-1470328000000.000000,,,27727272000000.000000,-15138863000000.000000,,,,510000000.000000,,39105000000.000000,-13782000000.000000,-84444000000.000000,11804000000.000000,10626000000.000000,-15056802000000.000000,,,,15710000000.000000,,,,,-61590000000.000000,,,,-15138863000000.000000,-10957038000000.000000,,5119000000000.000000,1130435000000.000000,,,,-465000000000.000000,,-1224400000000.000000,,,-6047431000000.000000,-3693137000000.000000,-9740568000000.000000,,,-3317415000000.000000,-199365000000.000000,-26392000000.000000,-1233333000000.000000,,,,,-1000000000000.000000,,-10957038000000.000000,1631371000000.000000,8315836000000.000000,193584000000.000000,,,10140791000000.000000
12M 2008,24316297000000.000000,,,,9166209000000.000000,25682026000000.000000,8751684000000.000000,14828097000000.000000,,1848260000000.000000,60276276000000.000000,659450000000.000000,,-1168000000.000000,-26637184000000.000000,,,,-8551296000000.000000,-1429781000000.000000,,,24316297000000.000000,-16545727000000.000000,,,,3637000000.000000,,3598000000.000000,-28249000000.000000,-158582000000.000000,28676000000.000000,11159000000.000000,-15863840000000.000000,,,,224291000000.000000,,,-287403000000.000000,,-112127000000.000000,,,-366887000000.000000,-16545727000000.000000,-11348436000000.000000,,8433000000000.000000,54235000000.000000,,,,,,-2087462000000.000000,,,-8033511000000.000000,-3732401000000.000000,-11765912000000.000000,,,-4865401000000.000000,-200813000000.000000,-333888000000.000000,-582195000000.000000,,,,,,,-11348436000000.000000,-3577866000000.000000,10140791000000.000000,327020000000.000000,,,6889945000000.000000
12M 2009,29715574000000.000000,,,,8451263000000.000000,27109711000000.000000,7593197000000.000000,18032677000000.000000,,2560121000000.000000,63746969000000.000000,471965000000.000000,,-32519000000.000000,-27693555000000.000000,,348021000000.000000,,-5035463000000.000000,-2089844000000.000000,,,29715574000000.000000,-21828879000000.000000,,,,2575000000.000000,,12465000000.000000,-18760000000.000000,-80081000000.000000,24820000000.000000,,-20479460000000.000000,,,,74850000000.000000,,,,-600154000000.000000,-101432000000.000000,,,-663702000000.000000,-21828879000000.000000,-6652664000000.000000,,9536558000000.000000,117673000000.000000,,70000000000.000000,,,,,,,-6364898000000.000000,-2831023000000.000000,-9195921000000.000000,,,-6669574000000.000000,-123927000000.000000,-268944000000.000000,-118529000000.000000,,,,,,,-6652664000000.000000,1234031000000.000000,6889945000000.000000,-318516000000.000000,,,7805460000000.000000
12M 2010,27758763000000.000000,,,,12384188000000.000000,28904281000000.000000,3630369000000.000000,20670321000000.000000,,2607353000000.000000,68196512000000.000000,419576000000.000000,,386290000000.000000,-25079528000000.000000,-9167438000000.000000,658818000000.000000,,-5829422000000.000000,-1826045000000.000000,,,27758763000000.000000,-16518304000000.000000,,,,4520000000.000000,,11702000000.000000,-115358000000.000000,-5671000000.000000,26304000000.000000,,-14951864000000.000000,,,,-641166000000.000000,,,-116503000000.000000,-95576000000.000000,88438000000.000000,,,-723130000000.000000,-16518304000000.000000,-9819578000000.000000,,4840252000000.000000,163133000000.000000,291058000000.000000,35000000000.000000,,,2990759000000.000000,,,,-5417952000000.000000,-3624089000000.000000,-9042041000000.000000,,,-8715798000000.000000,-19741000000.000000,-206873000000.000000,-151077000000.000000,,,,,-4250000000.000000,,-9819578000000.000000,1420881000000.000000,7805460000000.000000,-106492000000.000000,,,9119849000000.000000
12M 2011,30553000000000.000000,,67519000000000.000000,3586000000000.000000,,,,,,,71105000000000.000000,549000000000.000000,,-226000000000.000000,-25416000000000.000000,-8509000000000.000000,,,-5359000000000.000000,-1591000000000.000000,,,30553000000000.000000,-14505000000000.000000,,,,59000000000.000000,,56000000000.000000,,-33000000000.000000,,13000000000.000000,-13197000000000.000000,,,,-834000000000.000000,,,,,34000000000.000000,,,-603000000000.000000,-14505000000000.000000,-15539000000000.000000,,,316000000000.000000,559000000000.000000,20000000000.000000,,,,-2059000000000.000000,,,-6069000000000.000000,-3033000000000.000000,-9102000000000.000000,2694000000000.000000,-7334000000000.000000,,-171000000000.000000,-176000000000.000000,-272000000000.000000,,,,,-14000000000.000000,,-15539000000000.000000,509000000000.000000,9120000000000.000000,5000000000.000000,,,9634000000000.000000
12M 2012,27941000000000.000000,,71910000000000.000000,3993000000000.000000,,,,,,,75903000000000.000000,585000000000.000000,,-37000000000.000000,-33651000000000.000000,-8162000000000.000000,,,-5586000000000.000000,-1111000000000.000000,,,27941000000000.000000,-11311000000000.000000,,-230000000000.000000,,53000000000.000000,,360000000000.000000,-49000000000.000000,-4008000000000.000000,,1875000000000.000000,-8221000000000.000000,,,,-487000000000.000000,,,,-33000000000.000000,-134000000000.000000,,,-437000000000.000000,-11311000000000.000000,-13314000000000.000000,,3936000000000.000000,590000000000.000000,351000000000.000000,10000000000.000000,,,120000000000.000000,-1744000000000.000000,,,-7127000000000.000000,-3607000000000.000000,-10734000000000.000000,,-4259000000000.000000,,-403000000000.000000,-418000000000.000000,-654000000000.000000,,,,,-109000000000.000000,,-13314000000000.000000,3316000000000.000000,9634000000000.000000,168000000000.000000,,,13118000000000.000000
12M 2013,36574000000000.000000,,77013000000000.000000,4521000000000.000000,,,,,,,81534000000000.000000,832000000000.000000,,186000000000.000000,-27440000000000.000000,-9883000000000.000000,,,-7395000000000.000000,-1476000000000.000000,,216000000000.000000,36574000000000.000000,-22702000000000.000000,926000000000.000000,-201000000000.000000,153000000000.000000,49000000000.000000,,466000000000.000000,-20000000000.000000,-2288000000000.000000,,60000000000.000000,-19644000000000.000000,,,,-775000000000.000000,,,,,-791000000000.000000,,,-637000000000.000000,-22702000000000.000000,-13327000000000.000000,,2665000000000.000000,813000000000.000000,60000000000.000000,,,,50000000000.000000,2368000000000.000000,,,-8354000000000.000000,-4690000000000.000000,-13044000000000.000000,,-4803000000000.000000,,-471000000000.000000,-550000000000.000000,-407000000000.000000,,,,,-8000000000.000000,,-13327000000000.000000,545000000000.000000,13118000000000.000000,1039000000000.000000,,-6000000000.000000,14696000000000.000000
12M 2014,37736000000000.000000,,84748000000000.000000,4379000000000.000000,,,,,,,89127000000000.000000,1236000000000.000000,-514000000000.000000,,-33124000000000.000000,-9594000000000.000000,,,-7436000000000.000000,-1911000000000.000000,,-48000000000.000000,37736000000000.000000,-24748000000000.000000,,-110000000000.000000,5000000000.000000,16000000000.000000,,501000000000.000000,-1487000000000.000000,6178000000000.000000,,212000000000.000000,-24798000000000.000000,,,-2121000000000.000000,-1808000000000.000000,,,,,-8000000000.000000,,,-1328000000000.000000,-24748000000000.000000,-10083000000000.000000,,6626000000000.000000,3580000000000.000000,28000000000.000000,,,,74000000000.000000,2541000000000.000000,220000000000.000000,,-9943000000000.000000,-5485000000000.000000,-15428000000000.000000,,-4538000000000.000000,,-271000000000.000000,-668000000000.000000,-2247000000000.000000,,,,,,,-10083000000000.000000,2905000000000.000000,14696000000000.000000,71000000000.000000,,,17672000000000.000000
12M 2015,43669000000000.000000,,98002000000000.000000,2700000000000.000000,,,,,,,100702000000000.000000,1386000000000.000000,-210000000000.000000,,-35922000000000.000000,-10940000000000.000000,,,-9299000000000.000000,-2623000000000.000000,,575000000000.000000,43669000000000.000000,-27421000000000.000000,,-114000000000.000000,,,,733000000000.000000,-62000000000.000000,-146000000000.000000,,119000000000.000000,-26499000000000.000000,,,,-67000000000.000000,,,,,36000000000.000000,18000000000.000000,,-1439000000000.000000,-27421000000000.000000,-6407000000000.000000,,10698000000000.000000,2558000000000.000000,,,-1005000000000.000000,6985000000000.000000,5000000000.000000,68000000000.000000,320000000000.000000,,-8783000000000.000000,-7831000000000.000000,-16614000000000.000000,,-4749000000000.000000,,-76000000000.000000,-610000000000.000000,-3987000000000.000000,,,,,,,-6407000000000.000000,9841000000000.000000,17672000000000.000000,604000000000.000000,,,28117000000000.000000
12M 2016,47231000000000.000000,,113288000000000.000000,2828000000000.000000,,,,,,,116116000000000.000000,1736000000000.000000,-2696000000000.000000,,-42433000000000.000000,-11207000000000.000000,,,-11304000000000.000000,-3455000000000.000000,,474000000000.000000,47231000000000.000000,-27557000000000.000000,,-137000000000.000000,,,,765000000000.000000,-43000000000.000000,-983000000000.000000,2159000000000.000000,60000000000.000000,-26787000000000.000000,,,,-1338000000000.000000,,,,-138000000000.000000,-40000000000.000000,23000000000.000000,,-1098000000000.000000,-27557000000000.000000,-17905000000000.000000,,,,,,,,183000000000.000000,3259000000000.000000,,,-11213000000000.000000,-7058000000000.000000,-18271000000000.000000,,,,,,,-10555000000000.000000,,7479000000000.000000,,,,-17905000000000.000000,1769000000000.000000,28117000000000.000000,-119000000000.000000,,,29767000000000.000000
