Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,"27,727 B","(15,041 B)","12,686 B",0.00
12M 2008,"24,316 B","(16,006 B)","8,310 B",412.20
12M 2009,"29,716 B","(21,068 B)","8,647 B",428.93
12M 2010,"27,759 B","(16,316 B)","11,443 B",567.59
12M 2011,"30,553 B","(14,634 B)","15,919 B",789.63
12M 2012,"27,941 B","(9,145 B)","18,796 B",932.34
12M 2013,"36,574 B","(21,056 B)","15,518 B",153.95
12M 2014,"37,736 B","(27,934 B)","9,802 B",97.24
12M 2015,"43,669 B","(28,005 B)","15,664 B",155.40
12M 2016,"47,231 B","(29,223 B)","18,008 B",178.65
12M 2017,"49,405 B","(33,292 B)","16,113 B",159.85
12M 2018,"45,671 B","(34,834 B)","10,837 B",109.40
12M 2019,"54,949 B","(37,226 B)","17,723 B",178.91
12M 2020,"65,317 B","(32,098 B)","33,219 B",335.33
12M 2021,"68,353 B","(32,557 B)","35,796 B",361.35
12M 2022,"73,354 B","(38,397 B)","34,957 B",352.88
12M 2023,"60,581 B","(36,418 B)","24,163 B",243.92
12M 2024,"61,600 B","(29,663 B)","31,937 B",322.39
