Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Usaha,Beban Usaha,Beban Penyusutan,Beban Karyawan,Beban Interkoneksi,Beban Umum Dan Administrasi,Beban Penjualan,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,62494615000000.000000,62494615000000.000000,62494615000000.000000,-35988097000000.000000,-9590596000000.000000,-9440476000000.000000,-8494890000000.000000,-3054604000000.000000,-3672194000000.000000,-1769147000000.000000,-294774000000.000000,328584000000.000000,-35988097000000.000000,26506518000000.000000,-910865000000.000000,518663000000.000000,-1436165000000.000000,6637000000.000000,,-910865000000.000000,25595653000000.000000,-7927823000000.000000,-7233874000000.000000,-693949000000.000000,-7927823000000.000000,17667830000000.000000,-4810812000000.000000,12857018000000.000000,,,12857018000000.000000,17667830000000.000000,-4810812000000.000000,12857018000000.000000,,,,
12M 2008,63953344000000.000000,63953344000000.000000,63953344000000.000000,-42751025000000.000000,-12217685000000.000000,-11069575000000.000000,-9116634000000.000000,-3263562000000.000000,-3628686000000.000000,-2349729000000.000000,-1613759000000.000000,508605000000.000000,-42751025000000.000000,21202319000000.000000,-889513000000.000000,671834000000.000000,-1581818000000.000000,20471000000.000000,,-889513000000.000000,20312806000000.000000,-5639695000000.000000,-5823558000000.000000,183863000000.000000,-5639695000000.000000,14673111000000.000000,-4053643000000.000000,10619468000000.000000,,,10619468000000.000000,14673111000000.000000,-4053643000000.000000,10619468000000.000000,,,,
12M 2009,67525895000000.000000,67525895000000.000000,67525895000000.000000,-43609038000000.000000,-14582285000000.000000,-12565928000000.000000,-8533157000000.000000,-2929260000000.000000,-4052664000000.000000,-2259460000000.000000,972947000000.000000,340769000000.000000,-43609038000000.000000,23916857000000.000000,-1567569000000.000000,462169000000.000000,-2000023000000.000000,-29715000000.000000,,-1567569000000.000000,22349288000000.000000,-6373076000000.000000,-6029701000000.000000,-343375000000.000000,-6373076000000.000000,15976212000000.000000,-4644072000000.000000,11332140000000.000000,,,11332140000000.000000,15976212000000.000000,-4644072000000.000000,11332140000000.000000,,,,
12M 2010,68629181000000.000000,68629181000000.000000,68629181000000.000000,-45692527000000.000000,-16046414000000.000000,-14611458000000.000000,-7516470000000.000000,-3086355000000.000000,-2352146000000.000000,-2525218000000.000000,42948000000.000000,402586000000.000000,-45692527000000.000000,22936654000000.000000,-1520303000000.000000,421354000000.000000,-1928035000000.000000,-13622000000.000000,,-1520303000000.000000,21416351000000.000000,-5546039000000.000000,-4669394000000.000000,-876645000000.000000,-5546039000000.000000,15870312000000.000000,-4333313000000.000000,11536999000000.000000,,,11536999000000.000000,15870312000000.000000,-4333313000000.000000,11536999000000.000000,,,,
12M 2011,71253000000000.000000,,71253000000000.000000,-49295000000000.000000,-16372000000000.000000,-14863000000000.000000,-8555000000000.000000,-3555000000000.000000,-2935000000000.000000,-3278000000000.000000,-210000000000.000000,473000000000.000000,-49295000000000.000000,21958000000000.000000,-1101000000000.000000,546000000000.000000,-1637000000000.000000,-10000000000.000000,,-1101000000000.000000,20857000000000.000000,-5387000000000.000000,-5673000000000.000000,286000000000.000000,-5387000000000.000000,15470000000000.000000,,15470000000000.000000,11000000000.000000,15481000000000.000000,15470000000000.000000,10965000000000.000000,4505000000000.000000,15470000000000.000000,15481000000000.000000,10976000000000.000000,4505000000000.000000,15481000000000.000000
12M 2012,77143000000000.000000,,77143000000000.000000,-51445000000000.000000,-16803000000000.000000,-14456000000000.000000,-9786000000000.000000,-4667000000000.000000,-3036000000000.000000,-3094000000000.000000,-189000000000.000000,586000000000.000000,-51445000000000.000000,25698000000000.000000,-1470000000000.000000,596000000000.000000,-2055000000000.000000,-11000000000.000000,,-1470000000000.000000,24228000000000.000000,-5866000000000.000000,-6628000000000.000000,762000000000.000000,-5866000000000.000000,18362000000000.000000,,18362000000000.000000,26000000000.000000,18388000000000.000000,18362000000000.000000,12850000000000.000000,5512000000000.000000,18362000000000.000000,18388000000000.000000,12876000000000.000000,5512000000000.000000,18388000000000.000000
12M 2013,82967000000000.000000,,82967000000000.000000,-55121000000000.000000,-19332000000000.000000,-15780000000000.000000,-9733000000000.000000,-4927000000000.000000,-4155000000000.000000,-3044000000000.000000,-249000000000.000000,2099000000000.000000,-55121000000000.000000,27846000000000.000000,-697000000000.000000,836000000000.000000,-1504000000000.000000,-29000000000.000000,,-697000000000.000000,27149000000000.000000,-6859000000000.000000,-6995000000000.000000,136000000000.000000,-6859000000000.000000,20290000000000.000000,,20290000000000.000000,112000000000.000000,20402000000000.000000,20290000000000.000000,14205000000000.000000,6085000000000.000000,20290000000000.000000,20402000000000.000000,14317000000000.000000,6085000000000.000000,20402000000000.000000
12M 2014,89696000000000.000000,,89696000000000.000000,-60319000000000.000000,-22288000000000.000000,-17131000000000.000000,-9616000000000.000000,-4893000000000.000000,-3963000000000.000000,-3092000000000.000000,-14000000000.000000,678000000000.000000,-60319000000000.000000,29377000000000.000000,-593000000000.000000,1238000000000.000000,-1814000000000.000000,-17000000000.000000,,-593000000000.000000,28784000000000.000000,-7338000000000.000000,-7616000000000.000000,278000000000.000000,-7338000000000.000000,21446000000000.000000,,21446000000000.000000,25000000000.000000,21471000000000.000000,21446000000000.000000,14638000000000.000000,6808000000000.000000,21446000000000.000000,21471000000000.000000,14663000000000.000000,6808000000000.000000,21471000000000.000000
12M 2015,102470000000000.000000,,102470000000000.000000,-70052000000000.000000,-28116000000000.000000,-18534000000000.000000,-11874000000000.000000,-3586000000000.000000,-4204000000000.000000,-3275000000000.000000,-46000000000.000000,-417000000000.000000,-70052000000000.000000,32418000000000.000000,-1076000000000.000000,1407000000000.000000,-2481000000000.000000,-2000000000.000000,,-1076000000000.000000,31342000000000.000000,-8025000000000.000000,-8365000000000.000000,340000000000.000000,-8025000000000.000000,23317000000000.000000,,23317000000000.000000,631000000000.000000,23948000000000.000000,23317000000000.000000,15489000000000.000000,7828000000000.000000,23317000000000.000000,23948000000000.000000,16130000000000.000000,7818000000000.000000,23948000000000.000000
12M 2016,116333000000000.000000,,116333000000000.000000,-77138000000000.000000,-31263000000000.000000,-18532000000000.000000,-13612000000000.000000,-3218000000000.000000,-4610000000000.000000,-4132000000000.000000,-52000000000.000000,-1719000000000.000000,-77138000000000.000000,39195000000000.000000,-1006000000000.000000,1716000000000.000000,-2810000000000.000000,88000000000.000000,,-1006000000000.000000,38189000000000.000000,-9017000000000.000000,-10738000000000.000000,1721000000000.000000,-9017000000000.000000,29172000000000.000000,,29172000000000.000000,-2099000000000.000000,27073000000000.000000,29172000000000.000000,19352000000000.000000,9820000000000.000000,29172000000000.000000,27073000000000.000000,17331000000000.000000,9742000000000.000000,27073000000000.000000
12M 2017,128256000000000.000000,,128256000000000.000000,-84323000000000.000000,-36603000000000.000000,-20446000000000.000000,-13529000000000.000000,-2987000000000.000000,-5260000000000.000000,-5268000000000.000000,51000000000.000000,-281000000000.000000,-84323000000000.000000,43933000000000.000000,-1274000000000.000000,1434000000000.000000,-2769000000000.000000,61000000000.000000,,-1274000000000.000000,42659000000000.000000,-9958000000000.000000,-11357000000000.000000,1399000000000.000000,-9958000000000.000000,32701000000000.000000,,32701000000000.000000,-2332000000000.000000,30369000000000.000000,32701000000000.000000,22145000000000.000000,10556000000000.000000,32701000000000.000000,30369000000000.000000,19952000000000.000000,10417000000000.000000,30369000000000.000000
12M 2018,130784000000000.000000,,130784000000000.000000,-91939000000000.000000,-43791000000000.000000,-21406000000000.000000,-13178000000000.000000,-4283000000000.000000,-6137000000000.000000,-4214000000000.000000,68000000000.000000,1002000000000.000000,-91939000000000.000000,38845000000000.000000,-2440000000000.000000,1014000000000.000000,-3507000000000.000000,53000000000.000000,,-2440000000000.000000,36405000000000.000000,-9426000000000.000000,-9432000000000.000000,6000000000.000000,-9426000000000.000000,26979000000000.000000,,26979000000000.000000,4942000000000.000000,31921000000000.000000,26979000000000.000000,18032000000000.000000,8947000000000.000000,26979000000000.000000,31921000000000.000000,22844000000000.000000,9077000000000.000000,31921000000000.000000
12M 2019,135567000000000.000000,,135567000000000.000000,-93173000000000.000000,-42226000000000.000000,-23178000000000.000000,-13012000000000.000000,-5077000000000.000000,-6696000000000.000000,-3724000000000.000000,-86000000000.000000,826000000000.000000,-93173000000000.000000,42394000000000.000000,-4486000000000.000000,1092000000000.000000,-4240000000000.000000,-166000000000.000000,-1172000000000.000000,-4486000000000.000000,37908000000000.000000,-10316000000000.000000,-10619000000000.000000,303000000000.000000,-10316000000000.000000,27592000000000.000000,,27592000000000.000000,-2192000000000.000000,25400000000000.000000,27592000000000.000000,18663000000000.000000,8929000000000.000000,27592000000000.000000,25400000000000.000000,16624000000000.000000,8776000000000.000000,25400000000000.000000
12M 2020,136462000000000.000000,,136462000000000.000000,-92957000000000.000000,-34593000000000.000000,-28892000000000.000000,-14390000000000.000000,-5406000000000.000000,-6511000000000.000000,-3482000000000.000000,-86000000000.000000,403000000000.000000,-92957000000000.000000,43505000000000.000000,-4730000000000.000000,799000000000.000000,-4520000000000.000000,-246000000000.000000,-763000000000.000000,-4730000000000.000000,38775000000000.000000,-9212000000000.000000,-9798000000000.000000,586000000000.000000,-9212000000000.000000,29563000000000.000000,,29563000000000.000000,-3577000000000.000000,25986000000000.000000,29563000000000.000000,20804000000000.000000,8759000000000.000000,29563000000000.000000,25986000000000.000000,17595000000000.000000,8391000000000.000000,25986000000000.000000
12M 2021,143210000000000.000000,,143210000000000.000000,-95647000000000.000000,-38133000000000.000000,-31816000000000.000000,-15524000000000.000000,-5181000000000.000000,-5016000000000.000000,-3633000000000.000000,50000000000.000000,3606000000000.000000,-95647000000000.000000,47563000000000.000000,-3885000000000.000000,558000000000.000000,-4365000000000.000000,-78000000000.000000,,-3885000000000.000000,43678000000000.000000,-9730000000000.000000,-9556000000000.000000,-174000000000.000000,-9730000000000.000000,33948000000000.000000,,33948000000000.000000,1980000000000.000000,35928000000000.000000,33948000000000.000000,24760000000000.000000,9188000000000.000000,33948000000000.000000,35928000000000.000000,26767000000000.000000,9161000000000.000000,35928000000000.000000
12M 2022,147306000000000.000000,,147306000000000.000000,-107725000000000.000000,-38184000000000.000000,-33255000000000.000000,-14907000000000.000000,-5440000000000.000000,-5854000000000.000000,-3929000000000.000000,256000000000.000000,-6412000000000.000000,-107725000000000.000000,39581000000000.000000,-3242000000000.000000,878000000000.000000,-4033000000000.000000,-87000000000.000000,,-3242000000000.000000,36339000000000.000000,-8659000000000.000000,-9259000000000.000000,600000000000.000000,-8659000000000.000000,27680000000000.000000,,27680000000000.000000,1767000000000.000000,29447000000000.000000,27680000000000.000000,20753000000000.000000,6927000000000.000000,27680000000000.000000,29447000000000.000000,22468000000000.000000,6979000000000.000000,29447000000000.000000
