Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.81,1604.48,0.81,1604.48,41 B,0 B,41 B,6 B,(27 B)
12M 2009,0.71,1985.70,0.71,1985.70,0 B,,0 B,(83 B),64 B
12M 2010,0.79,2657.93,0.79,2657.93,,,,(144 B),115 B
12M 2011,0.88,3081.76,0.88,3081.76,100 B,,100 B,74 B,(116 B)
12M 2012,0.99,3546.05,0.99,3546.05,40 B,0 B,40 B,28 B,(77 B)
12M 2013,1.15,4268.08,1.15,4268.08,166 B,,166 B,159 B,(256 B)
12M 2014,1.04,5028.92,1.04,5028.92,,,,(85 B),(20 B)
12M 2015,1.01,5913.56,1.01,5913.56,,,,(299 B),202 B
12M 2016,1.47,6802.32,1.47,6802.32,1 B,1 B,1 B,(459 B),394 B
12M 2017,0.78,7644.95,0.78,7644.95,2 B,,2 B,(494 B),432 B
12M 2018,0.64,8606.48,0.64,8606.48,0 B,,0 B,(486 B),422 B
12M 2019,0.59,9392.50,0.59,9392.50,0 B,0 B,0 B,(202 B),153 B
12M 2020,0.52,10181.00,0.52,10181.00,0 B,0 B,1 B,(191 B),196 B
12M 2021,0.62,10806.07,0.62,10806.07,0 B,,0 B,(181 B),317 B
12M 2022,0.84,11058.52,0.84,11058.52,,,,(414 B),433 B
12M 2023,1.33,10733.62,1.33,10733.62,,,,(579 B),419 B
12M 2024,1.30,11305.42,1.30,11305.42,,,,(417 B),680 B
