Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Utang Bank,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Surat Berharga Yang Diterbitkan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Surat Berharga Yang Diterbitkan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,35248378252.000000,24391158501.000000,24391158501.000000,24391158501.000000,157462471.000000,,,157462471.000000,15297156311.000000,5677541953.000000,80771697488.000000,,1955045457.000000,2938731531.000000,494068068552.000000,1197534000.000000,500159379540.000000,580931077028.000000,,,107511521353.000000,,,6811604973.000000,6811604973.000000,,3946306732.000000,3946306732.000000,4011489277.000000,,2612549232.000000,,13638352500.000000,166479652.000000,27375000000.000000,,41179832152.000000,48949738987.000000,107511521353.000000,42134715889.000000,,,29488696.000000,,,29488696.000000,42105227193.000000,42134715889.000000,149646237242.000000,,134400000000.000000,9414000000.000000,287569052924.000000,3700000000.000000,283869052924.000000,,287569052924.000000,-98213138.000000,431284839786.000000,580931077028.000000,268800000.000000
12M 2009,,,82871237763.000000,29065372912.000000,29065372912.000000,29065372912.000000,338750478.000000,,,338750478.000000,15639896263.000000,5818132868.000000,133733390284.000000,,2029925812.000000,15260161651.000000,496224610338.000000,3932021362.000000,517446719163.000000,651180109447.000000,,,69431085331.000000,,,9709202321.000000,9709202321.000000,,483721270.000000,483721270.000000,3756354071.000000,,2679512332.000000,,,29488696.000000,,,29488696.000000,52772806641.000000,69431085331.000000,47991874558.000000,,,,,,,47991874558.000000,47991874558.000000,117422959889.000000,,134400000000.000000,9414000000.000000,390118472696.000000,3750000000.000000,386368472696.000000,,390118472696.000000,-175323138.000000,533757149558.000000,651180109447.000000,268800000.000000
12M 2010,,,143834800816.000000,33559257224.000000,33559257224.000000,33559257224.000000,742151120.000000,,,742151120.000000,21473977149.000000,13772396869.000000,213382583178.000000,,2045940178.000000,127411962881.000000,500216234181.000000,9390753530.000000,639064890770.000000,852447473948.000000,,,98038937265.000000,,,15218093440.000000,15218093440.000000,,12386327174.000000,12386327174.000000,2521597084.000000,,4208856590.000000,,,,,,,63704062977.000000,98038937265.000000,39956192602.000000,,,,,,,39956192602.000000,39956192602.000000,137995129867.000000,,134400000000.000000,9414000000.000000,570843459719.000000,3800000000.000000,567043459719.000000,,570843459719.000000,-205115638.000000,714452344081.000000,852447473948.000000,268800000.000000
12M 2011,,,25880510382.000000,35864477694.000000,35864477694.000000,35864477694.000000,771540630.000000,,,771540630.000000,15643795010.000000,9185856709.000000,87346180425.000000,,1938614978.000000,147865699562.000000,823851611286.000000,21290045824.000000,994945971650.000000,1082292152075.000000,,,203332477826.000000,,,11802196415.000000,11802196415.000000,,22647899437.000000,22647899437.000000,2007661936.000000,,3460038683.000000,,100000000000.000000,,,,100000000000.000000,63414681355.000000,203332477826.000000,50583681254.000000,,,,,,,50583681254.000000,50583681254.000000,253916159080.000000,,134400000000.000000,9414000000.000000,684803911133.000000,3850000000.000000,680953911133.000000,,684803911133.000000,-241918138.000000,828375992995.000000,1082292152075.000000,268800000.000000
12M 2012,,,11775789427.000000,73442801248.000000,73442801248.000000,73442801248.000000,748388214.000000,520281214.000000,228107000.000000,748388214.000000,15208531462.000000,19899323387.000000,121074833738.000000,,1630437347.000000,154835277714.000000,929490192551.000000,874539000.000000,1086830446612.000000,1207905280350.000000,,,198173643646.000000,,,21082751626.000000,21082751626.000000,,4940076004.000000,4940076004.000000,2418300443.000000,,4349963448.000000,,38626929190.000000,917937825.000000,,,39544867015.000000,125837685110.000000,198173643646.000000,56553788345.000000,,,61973507.000000,,,61973507.000000,56491814838.000000,56553788345.000000,254727431991.000000,,134400000000.000000,9414000000.000000,809621889497.000000,3900000000.000000,805721889497.000000,,809621889497.000000,-258041138.000000,953177848359.000000,1207905280350.000000,268800000.000000
12M 2013,,,7326502044.000000,42085321025.000000,42085321025.000000,42085321025.000000,548397745.000000,,548397745.000000,548397745.000000,88107000.000000,30909250238.000000,80957578052.000000,,1556956374.000000,154592278897.000000,1311693569823.000000,874539000.000000,1468717344094.000000,1549674922146.000000,,,336618162391.000000,105139936145.000000,,15109352237.000000,15109352237.000000,,2831882539.000000,2831882539.000000,3460678060.000000,,4889261411.000000,,61111111106.000000,,,,61111111106.000000,144075940893.000000,336618162391.000000,65797822534.000000,,,,,,,65797822534.000000,65797822534.000000,402415984925.000000,,134400000000.000000,9414000000.000000,1007851731359.000000,3950000000.000000,1003901731359.000000,,1007851731359.000000,-4406794138.000000,1147258937221.000000,1549674922146.000000,268800000.000000
12M 2014,,,84891810756.000000,70093472569.000000,70093472569.000000,70093472569.000000,1981406314.000000,,1981406314.000000,1981406314.000000,88107000.000000,26826770182.000000,183881566821.000000,,1616942995.000000,158008817745.000000,1299035085748.000000,898679000.000000,1459559525488.000000,1643441092309.000000,,,203600613024.000000,,,5437364066.000000,5437364066.000000,,4613235609.000000,4613235609.000000,8342507819.000000,,5005243518.000000,,,,,,,180202262012.000000,203600613024.000000,88065979258.000000,,,,,,,88065979258.000000,88065979258.000000,291666592282.000000,,134400000000.000000,9414000000.000000,1212370098165.000000,4000000000.000000,1208370098165.000000,,1212370098165.000000,-4409598138.000000,1351774500027.000000,1643441092309.000000,268800000.000000
12M 2015,,,298959515149.000000,53823461832.000000,53823461832.000000,53823461832.000000,2818265051.000000,2730158051.000000,88107000.000000,2818265051.000000,,37461793197.000000,393063035229.000000,,1709710123.000000,157253545720.000000,1318804847349.000000,1327471108.000000,1479095574300.000000,1872158609529.000000,,,190680585085.000000,,,4907742776.000000,4907742776.000000,,4777367748.000000,4777367748.000000,6819422100.000000,,5445537827.000000,,,,,,,168730514634.000000,190680585085.000000,91913075713.000000,,,,,,,91913075713.000000,91913075713.000000,282593660798.000000,,134400000000.000000,9414000000.000000,1449396288990.000000,4050000000.000000,1445346288990.000000,,1449396288990.000000,-3645340259.000000,1589564948731.000000,1872158609529.000000,268800000.000000
12M 2016,,,459932108871.000000,48661106534.000000,48661106534.000000,48661106534.000000,4193378193.000000,4193378193.000000,,4193378193.000000,1191117184.000000,54242951418.000000,568220662200.000000,,1774120974.000000,156839588455.000000,1363785963252.000000,11133453973.000000,1533533126654.000000,2101753788854.000000,,,174693849365.000000,,,4848538747.000000,4848538747.000000,,3431544627.000000,3431544627.000000,7076756883.000000,,4522541148.000000,,,758257323.000000,,,758257323.000000,154056210637.000000,174693849365.000000,98596811505.000000,,,539857634.000000,,,539857634.000000,98056953871.000000,98596811505.000000,273290660870.000000,,134400000000.000000,9449000000.000000,1688722345427.000000,4100000000.000000,1684622345427.000000,,1688722345427.000000,-4108217443.000000,1828463127984.000000,2101753788854.000000,268800000.000000
12M 2017,,,496200829379.000000,9814323378.000000,9814323378.000000,9814323378.000000,2823350382.000000,2823350382.000000,,2823350382.000000,1347621967.000000,41083356052.000000,551269481158.000000,,1588632171.000000,1635012071260.000000,15742246563.000000,76849286837.000000,1729192236831.000000,2280461717989.000000,,,119405075125.000000,,,5908284095.000000,5908284095.000000,,1904232904.000000,1904232904.000000,997889969.000000,,5627630399.000000,,,2023997834.000000,,,2023997834.000000,102943039924.000000,119405075125.000000,106094876403.000000,,,,,,,106094876403.000000,106094876403.000000,225499951528.000000,,134400000000.000000,10351220354.000000,1911914071279.000000,4150000000.000000,1907764071279.000000,,1911914071279.000000,-1703525172.000000,2054961766461.000000,2280461717989.000000,268800000.000000
