Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Final,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Others,Total Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,205571854353.000000,-110791452425.000000,94780401928.000000,-14044429432.000000,-7002445908.000000,-7041983524.000000,,-14044429432.000000,80735972496.000000,-5149110970.000000,391534161.000000,6353802642.000000,-4738704205.000000,,-7871161360.000000,715417792.000000,-5149110970.000000,75586861526.000000,-18476879468.000000,,-13650220651.000000,,-13650220651.000000,-4826658817.000000,-18476879468.000000,57109982058.000000,,57109982058.000000,,,,,57109982058.000000,57109982058.000000,,57109982058.000000,,,,
12M 2009,236065642088.000000,-114251201447.000000,121814440641.000000,-11018270164.000000,-2362328900.000000,-8655941264.000000,,-11018270164.000000,110796170477.000000,7945538626.000000,3308853943.000000,4033556850.000000,-1619483761.000000,,2229992092.000000,-7380498.000000,7945538626.000000,118741709103.000000,-16192289331.000000,,-16267169686.000000,,-16267169686.000000,74880355.000000,-16192289331.000000,102549419772.000000,,102549419772.000000,,,,,102549419772.000000,102549419772.000000,,102549419772.000000,,,,
12M 2010,260801945138.000000,-120384707237.000000,140417237901.000000,-12773374355.000000,-1570710997.000000,-11202663358.000000,,-12773374355.000000,127643863546.000000,62367482341.000000,6781658088.000000,53235211332.000000,-241388889.000000,,182081236.000000,2409920574.000000,62367482341.000000,190011345887.000000,-19111576611.000000,,-17901781727.000000,-1225809250.000000,-19127590977.000000,16014366.000000,-19111576611.000000,170899769276.000000,,170899769276.000000,,,,,170899769276.000000,170899769276.000000,,170899769276.000000,,,,
12M 2011,295908494634.000000,-149611080968.000000,146297413666.000000,-12938018556.000000,-1780383225.000000,-11157635331.000000,,-12938018556.000000,133359395110.000000,127639849.000000,1871417293.000000,1009853541.000000,,,-278254212.000000,-2475376773.000000,127639849.000000,133487034959.000000,-19526583545.000000,,-19289707845.000000,-129550500.000000,-19419258345.000000,-107325200.000000,-19526583545.000000,113960451414.000000,,113960451414.000000,-36802500.000000,-36802500.000000,-36802500.000000,113923648914.000000,113960451414.000000,113960451414.000000,,113960451414.000000,113923648914.000000,113923648914.000000,,113923648914.000000
12M 2012,329558250873.000000,-170823579508.000000,158734671365.000000,-16708391575.000000,-2058541267.000000,-14649850308.000000,,-16708391575.000000,142026279790.000000,6123002461.000000,292473281.000000,1324020374.000000,-1619296221.000000,,-1169914657.000000,7295719684.000000,6123002461.000000,148149282251.000000,-23331303887.000000,,-23023126256.000000,,-23023126256.000000,-308177631.000000,-23331303887.000000,124817978364.000000,,124817978364.000000,-16123000.000000,-16123000.000000,-16123000.000000,124801855364.000000,124817978364.000000,124817978364.000000,,124817978364.000000,124801855364.000000,124801855364.000000,,124801855364.000000
12M 2013,418118999949.000000,-167504643524.000000,250614356425.000000,-18440459238.000000,-1951895464.000000,-16488563774.000000,,-18440459238.000000,232173897187.000000,-459711896.000000,258651399.000000,68779166.000000,-5735058986.000000,,492008421.000000,4455908104.000000,-459711896.000000,231714185291.000000,-33484343327.000000,,-33410862354.000000,,-33410862354.000000,-73480973.000000,-33484343327.000000,198229841964.000000,,198229841964.000000,-19628000.000000,-19628000.000000,-19628000.000000,198210213964.000000,198229841964.000000,198229841964.000000,,198229841964.000000,198210213964.000000,198210213964.000000,,198210213964.000000
12M 2014,431414723990.000000,-152759588713.000000,278655135277.000000,-20182826846.000000,-1037537384.000000,-19145289462.000000,,-20182826846.000000,258472308431.000000,4338777670.000000,1576342011.000000,1459752877.000000,-6835424112.000000,,1431867579.000000,6706239315.000000,4338777670.000000,262811086101.000000,-39750317446.000000,,,,,,-39750317446.000000,223060768655.000000,,223060768655.000000,9573794389.000000,9573794389.000000,9573794389.000000,232634563044.000000,223060768655.000000,223060768655.000000,,223060768655.000000,232634563044.000000,232634563044.000000,,232634563044.000000
12M 2015,422254497423.000000,-111032611363.000000,311221886060.000000,-62736291085.000000,-1072467414.000000,-19438373929.000000,-42225449742.000000,-62736291085.000000,248485594975.000000,7548634328.000000,12996728340.000000,280146023.000000,,,2876673815.000000,-8604913850.000000,7548634328.000000,256034229303.000000,228272047.000000,,,,,,228272047.000000,256262501350.000000,2394073287.000000,258656574637.000000,1981558252.000000,1981558252.000000,1981558252.000000,260638132889.000000,258656574637.000000,258656574637.000000,,258656574637.000000,260638132889.000000,260638132889.000000,,260638132889.000000
12M 2016,406872943034.000000,-105142580069.000000,301730362965.000000,-70635020894.000000,-7249152598.000000,-22698573993.000000,-40687294303.000000,-70635020894.000000,231095342071.000000,25979271098.000000,22222640805.000000,2888811075.000000,,,-1763008223.000000,2630827441.000000,25979271098.000000,257364075673.000000,29851985.000000,-50355250.000000,,,-50355250.000000,80207235.000000,29851985.000000,257393927658.000000,2615548360.000000,260009476018.000000,-1061296585.000000,-1061296585.000000,-1061296585.000000,258948179433.000000,260009476018.000000,257393927658.000000,2615548360.000000,260009476018.000000,258948179433.000000,258948179433.000000,,258948179433.000000
12M 2017,395780873819.000000,-118946610222.000000,276834263597.000000,-66877085658.000000,,,,-66877085658.000000,209957177939.000000,39185311326.000000,29346619451.000000,602356686.000000,-108700927.000000,,227243063.000000,9117793053.000000,39185311326.000000,249142489265.000000,-199297431.000000,,,,,,-199297431.000000,248943191834.000000,-2033470260.000000,246909721574.000000,1336881261.000000,1336881261.000000,1336881261.000000,248246602835.000000,246909721574.000000,246909721574.000000,,246909721574.000000,248246602835.000000,248246602835.000000,,248246602835.000000
12M 2018,400870293046.000000,-109225790262.000000,291644502784.000000,-70741773393.000000,,,,-70741773393.000000,220902729391.000000,48057138763.000000,25938297593.000000,526520835.000000,-55325212.000000,,1233618716.000000,20414026831.000000,48057138763.000000,268959868154.000000,-420126022.000000,,,,,,-420126022.000000,268539742132.000000,-1155171309.000000,267384570823.000000,2399942682.000000,2399942682.000000,2399942682.000000,269784513505.000000,267384570823.000000,267384570823.000000,,267384570823.000000,269784513505.000000,269784513505.000000,,269784513505.000000
12M 2019,399418917052.000000,-116895141204.000000,282523775848.000000,-30528072960.000000,,,,-30528072960.000000,251995702888.000000,-18638888390.000000,22356365013.000000,787700000.000000,-25179727.000000,-39941891605.000000,-1320454443.000000,-495427628.000000,-18638888390.000000,233356814498.000000,-85803601.000000,,,,,,-85803601.000000,233271010897.000000,-497730098.000000,232773280799.000000,2700345242.000000,2700345242.000000,2700345242.000000,235473626041.000000,232773280799.000000,232773280799.000000,,232773280799.000000,235473626041.000000,235473626041.000000,,235473626041.000000
12M 2020,400749812577.000000,-104153242450.000000,296596570127.000000,-32772073795.000000,,,,-32772073795.000000,263824496332.000000,-26869494202.000000,9471466319.000000,-36257813.000000,-47699870.000000,-40074981258.000000,174246046.000000,3643732374.000000,-26869494202.000000,236955002130.000000,-137729358.000000,,,,,,-137729358.000000,236817272772.000000,-729385246.000000,236087887526.000000,51154922.000000,51154922.000000,51154922.000000,236139042448.000000,236087887526.000000,236087887526.000000,,236087887526.000000,236139042448.000000,236139042448.000000,,236139042448.000000
12M 2021,413584008445.000000,-166303391108.000000,247280617337.000000,-41259718686.000000,,,,-41259718686.000000,206020898651.000000,-9635962029.000000,11685482458.000000,96426148.000000,-24178819.000000,-41358400845.000000,103940854.000000,19860768175.000000,-9635962029.000000,196384936622.000000,-14336288.000000,,,,,,-14336288.000000,196370600334.000000,-564118681.000000,195806481653.000000,8500858690.000000,8500858690.000000,8500858690.000000,204307340343.000000,195806481653.000000,196370600334.000000,-564118681.000000,195806481653.000000,204307340343.000000,204307340343.000000,,204307340343.000000
12M 2022,509518139997.000000,-182031885610.000000,327486254387.000000,-43201750272.000000,,,,-43201750272.000000,284284504115.000000,-12180589915.000000,11545036419.000000,322500000.000000,-8258779.000000,-50951814000.000000,552275076.000000,26359671369.000000,-12180589915.000000,272103914200.000000,-1003034263.000000,,,,,,-1003034263.000000,271100879937.000000,-284154662.000000,270816725275.000000,-2700527726.000000,-2700527726.000000,-2700527726.000000,268116197549.000000,270816725275.000000,270816725275.000000,,270816725275.000000,268116197549.000000,268116197549.000000,,268116197549.000000
12M 2023,533305976033.000000,-203978702372.000000,329327273661.000000,-35219821827.000000,,,,-35219821827.000000,294107451834.000000,9644735262.000000,28037725062.000000,705622917.000000,-26720401.000000,-53330597603.000000,-100512887.000000,34359218174.000000,9644735262.000000,303752187096.000000,-16082520.000000,,,,,,-16082520.000000,303736104576.000000,-933851853.000000,302802252723.000000,4999642322.000000,4999642322.000000,4999642322.000000,307801895045.000000,302802252723.000000,302802252723.000000,,302802252723.000000,307801895045.000000,307801895045.000000,,307801895045.000000
12M 2024,530656527387.000000,-200972924537.000000,329683602850.000000,-35365923427.000000,,,,-35365923427.000000,294317679423.000000,-5368438682.000000,32568123318.000000,442288665.000000,-11853012.000000,-53065652739.000000,257347255.000000,14441307831.000000,-5368438682.000000,288949240741.000000,-68098199.000000,,,,,,-68098199.000000,288881142542.000000,-1012744491.000000,287868398051.000000,3188294271.000000,,3188294271.000000,291056692322.000000,287868398051.000000,287868398051.000000,,287868398051.000000,291056692322.000000,291056692322.000000,,291056692322.000000
