Period,Total Pendapatan,Premi Bruto,Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Hasil Investasi,Others,Total Pendapatan,Total Beban Usaha,Klaim Bruto,Klaim Reasuransi,Kenaikan Manfaat Polis Masa Depan,Beban Akuisisi,Beban Pemasaran,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,5003805000000.000000,4353240000000.000000,-15140000000.000000,-22212000000.000000,644460000000.000000,43457000000.000000,5003805000000.000000,-4697030000000.000000,-3755304000000.000000,12383000000.000000,-306964000000.000000,-331560000000.000000,-45253000000.000000,-269426000000.000000,-906000000.000000,-4697030000000.000000,306775000000.000000,90266000000.000000,90266000000.000000,90266000000.000000,397041000000.000000,-54505000000.000000,342536000000.000000,-448933000000.000000,-106397000000.000000,342536000000.000000,342536000000.000000,,342536000000.000000,-106397000000.000000,-106397000000.000000,,-106397000000.000000
12M 2019,4438222000000.000000,3567363000000.000000,-15778000000.000000,-5401000000.000000,847747000000.000000,44291000000.000000,4438222000000.000000,-4063511000000.000000,-2953954000000.000000,6542000000.000000,-470699000000.000000,-311809000000.000000,-36227000000.000000,-297794000000.000000,430000000.000000,-4063511000000.000000,374711000000.000000,-23940000000.000000,-23940000000.000000,-23940000000.000000,350771000000.000000,-64087000000.000000,286684000000.000000,356852000000.000000,643536000000.000000,286684000000.000000,286684000000.000000,,286684000000.000000,643536000000.000000,643536000000.000000,,643536000000.000000
12M 2020,4335846000000.000000,3668659000000.000000,-12983000000.000000,-15310000000.000000,655201000000.000000,40279000000.000000,4335846000000.000000,-3964697000000.000000,-4024862000000.000000,4380000000.000000,699907000000.000000,-288473000000.000000,-50640000000.000000,-306816000000.000000,1807000000.000000,-3964697000000.000000,371149000000.000000,33335000000.000000,33335000000.000000,33335000000.000000,404484000000.000000,-73545000000.000000,330939000000.000000,97472000000.000000,428411000000.000000,330939000000.000000,330939000000.000000,,330939000000.000000,428411000000.000000,428411000000.000000,,428411000000.000000
12M 2021,4028028000000.000000,3649057000000.000000,-50341000000.000000,-6224000000.000000,391845000000.000000,43691000000.000000,4028028000000.000000,-3897382000000.000000,-2321347000000.000000,38348000000.000000,-850246000000.000000,-383543000000.000000,-34630000000.000000,-354295000000.000000,8331000000.000000,-3897382000000.000000,130646000000.000000,8579000000.000000,8579000000.000000,8579000000.000000,139225000000.000000,-65401000000.000000,73824000000.000000,-16065000000.000000,57759000000.000000,73824000000.000000,73824000000.000000,,73824000000.000000,57759000000.000000,57759000000.000000,,57759000000.000000
12M 2022,3370631000000.000000,2610679000000.000000,-25975000000.000000,-5186000000.000000,764994000000.000000,26119000000.000000,3370631000000.000000,-3033456000000.000000,-3071806000000.000000,16629000000.000000,902996000000.000000,-463171000000.000000,-72672000000.000000,-343457000000.000000,-1975000000.000000,-3033456000000.000000,337175000000.000000,91486000000.000000,91486000000.000000,91486000000.000000,428661000000.000000,-60888000000.000000,367773000000.000000,-184550000000.000000,183223000000.000000,367773000000.000000,367773000000.000000,,367773000000.000000,183223000000.000000,183223000000.000000,,183223000000.000000
12M 2023,3447316000000.000000,2700081000000.000000,-45437000000.000000,-85686000000.000000,818646000000.000000,59712000000.000000,3447316000000.000000,-3181101000000.000000,-2594336000000.000000,16083000000.000000,600615000000.000000,-729924000000.000000,-88397000000.000000,-406464000000.000000,21322000000.000000,-3181101000000.000000,266215000000.000000,-67104000000.000000,-67104000000.000000,-67104000000.000000,199111000000.000000,-72623000000.000000,126488000000.000000,47046000000.000000,173534000000.000000,126488000000.000000,126488000000.000000,,126488000000.000000,173534000000.000000,173534000000.000000,,173534000000.000000
12M 2024,3715605000000.000000,3255100000000.000000,-49295000000.000000,-95402000000.000000,569018000000.000000,36184000000.000000,3715605000000.000000,-3405264000000.000000,-2688403000000.000000,44146000000.000000,605778000000.000000,-773042000000.000000,-87864000000.000000,-485383000000.000000,-20496000000.000000,-3405264000000.000000,310341000000.000000,111864000000.000000,111864000000.000000,111864000000.000000,422205000000.000000,-70748000000.000000,351457000000.000000,-113161000000.000000,238296000000.000000,351457000000.000000,351457000000.000000,,351457000000.000000,238296000000.000000,238296000000.000000,,238296000000.000000
