Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari:,Premi,Ujrah,Komisi Reasuransi Dan Klaim,Lain-Lain,Total Penerimaan Dari:,Pembayaran Untuk:,Klaim Dan Manfaat,Komisi Dan Tunjangan Agen,Beban Operasi,Imbalan Kerja Karyawan,Premi Reasuransi,Lain-Lain,Total Pembayaran Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil (Beban) Investasi,Hasil Penjualan Aset Tetap,Penurunan (Kenaikan) Deposito Berjangka,Penurunan (Kenaikan) Efek Tersedia Untuk Dijual,Penurunan (Kenaikan) Pinjaman Polis,(Penurunan) Kenaikan Dana Investasi Peserta - Syariah,Penurunan (Kenaikan) Efek Yang Diukur Pada Nilai Wajar Melalui Laba Rugi,Penurunan (Kenaikan) Pinjaman Hipotik,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Kenaikan Efek Pada Biaya Perolehan Dimiliki Hingga Jatuh Tempo,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2018,-34831000000.000000,,4303213000000.000000,47102000000.000000,5332000000.000000,43305000000.000000,4398952000000.000000,,-3789042000000.000000,-321216000000.000000,-310793000000.000000,-7346000000.000000,-5386000000.000000,,-4433783000000.000000,-34831000000.000000,893226000000.000000,564902000000.000000,517696000000.000000,473047000000.000000,43780000000.000000,151000000.000000,-240270000000.000000,-325856000000.000000,-2730000000.000000,-9526000000.000000,,-127968000000.000000,893226000000.000000,-1100000000000.000000,,-1100000000000.000000,-1100000000000.000000,-241605000000.000000,981000000000.000000,5184000000.000000,744579000000.000000
12M 2019,-365675000000.000000,,3543726000000.000000,46644000000.000000,15848000000.000000,63644000000.000000,3669862000000.000000,,-2959812000000.000000,-713923000000.000000,-306939000000.000000,-33820000000.000000,-21043000000.000000,,-4035537000000.000000,-365675000000.000000,686521000000.000000,822767000000.000000,7196000000.000000,-699840000000.000000,869337000000.000000,1019000000.000000,-136834000000.000000,-212099000000.000000,-376000000.000000,-7733000000.000000,,43084000000.000000,686521000000.000000,-380000000000.000000,,-380000000000.000000,-380000000000.000000,-59154000000.000000,744579000000.000000,-3559000000.000000,681866000000.000000
12M 2020,-820348000000.000000,,3728704000000.000000,37992000000.000000,4909000000.000000,63567000000.000000,3835172000000.000000,,-3995414000000.000000,-300212000000.000000,-343945000000.000000,-490000000.000000,-15459000000.000000,,-4655520000000.000000,-820348000000.000000,1145245000000.000000,229603000000.000000,1170000000.000000,857820000000.000000,723908000000.000000,163000000.000000,-126009000000.000000,-376526000000.000000,1082000000.000000,-5641000000.000000,,-160325000000.000000,1145245000000.000000,-182322000000.000000,-26922000000.000000,-155400000000.000000,-182322000000.000000,142575000000.000000,681866000000.000000,986000000.000000,825427000000.000000
12M 2021,899828000000.000000,,3783061000000.000000,43615000000.000000,17449000000.000000,75280000000.000000,3919405000000.000000,,-2365222000000.000000,-374603000000.000000,-268629000000.000000,-699000000.000000,-10424000000.000000,,-3019577000000.000000,899828000000.000000,334318000000.000000,149195000000.000000,4889000000.000000,1606718000000.000000,200521000000.000000,285000000.000000,-32971000000.000000,-1573809000000.000000,-18000000.000000,-16466000000.000000,-4026000000.000000,,334318000000.000000,-527832000000.000000,-17532000000.000000,-510300000000.000000,-527832000000.000000,706314000000.000000,825427000000.000000,1155000000.000000,1532896000000.000000
12M 2022,-1321488000000.000000,,2441033000000.000000,44085000000.000000,19183000000.000000,86438000000.000000,2590739000000.000000,,-3041318000000.000000,-508919000000.000000,-308509000000.000000,-1965000000.000000,-51516000000.000000,,-3912227000000.000000,-1321488000000.000000,1230020000000.000000,478061000000.000000,3078000000.000000,223495000000.000000,-297293000000.000000,-68000000.000000,56463000000.000000,775889000000.000000,1872000000.000000,-5563000000.000000,-5914000000.000000,,1230020000000.000000,-83153000000.000000,-11753000000.000000,-71400000000.000000,-83153000000.000000,-174621000000.000000,1532896000000.000000,9067000000.000000,1367342000000.000000
12M 2023,-875047000000.000000,,2703080000000.000000,54236000000.000000,12362000000.000000,137495000000.000000,2907173000000.000000,,-2575703000000.000000,-767346000000.000000,-420636000000.000000,-837000000.000000,-17698000000.000000,,-3782220000000.000000,-875047000000.000000,674417000000.000000,728770000000.000000,1669000000.000000,-188911000000.000000,-463795000000.000000,-191000000.000000,-37290000000.000000,643769000000.000000,1359000000.000000,-2137000000.000000,-8826000000.000000,,674417000000.000000,-382441000000.000000,-10741000000.000000,-371700000000.000000,-382441000000.000000,-583071000000.000000,1367342000000.000000,-1720000000.000000,782551000000.000000
12M 2024,-603929000000.000000,,3245052000000.000000,38879000000.000000,15233000000.000000,39690000000.000000,3338854000000.000000,,-2701728000000.000000,-742954000000.000000,-470784000000.000000,-1333000000.000000,-25984000000.000000,,-3942783000000.000000,-603929000000.000000,576954000000.000000,754410000000.000000,1534000000.000000,275350000000.000000,-1313252000000.000000,-155000000.000000,-59288000000.000000,789596000000.000000,469000000.000000,-5852000000.000000,-10858000000.000000,145000000000.000000,576954000000.000000,-89259000000.000000,-9459000000.000000,-79800000000.000000,-89259000000.000000,-116234000000.000000,782551000000.000000,4302000000.000000,670619000000.000000
