Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,5 B,(0 B),5 B,148206.02
12M 2021,5 B,(4 B),1 B,32567.61
12M 2022,7 B,(9 B),(1 B),-0.52
12M 2023,(4 B),(10 B),(14 B),-5.52
12M 2024,16 B,(0 B),16 B,6.16
