Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Dari Penghasilan Bunga,Pembayaran Beban Keuangan,Penerimaan (Pengeluaran) Atas Piutang Non-Usaha,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pencairan Investasi,Imbal Hasil Investasi,Penempatan Uang Muka Investasi,Penempatan Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham,Penerimaan Tambahan Modal Disetor Dari Ipo,Penerimaan Dari Penerbitan Saham Baru Dari Eksekusi Waran,Pembagian Dividen,Pembayaran Utang Lain-Lain Dari Pihak Berelasi,Penambahan Utang Lain-Lain Atas Investasi Ke Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,5231447000.000000,17202166000.000000,-7569281000.000000,-3677528000.000000,105772000.000000,-1330000.000000,,-828352000.000000,5231447000.000000,-4147497000.000000,-47497000.000000,,,,-4100000000.000000,-4147497000.000000,,,,,,,,,1083950000.000000,,670445000.000000,1754395000.000000
12M 2021,4784323000.000000,23683385000.000000,-19123036000.000000,-4926709000.000000,226649000.000000,-2788000.000000,5775509000.000000,-848687000.000000,4784323000.000000,484919000.000000,-3645173000.000000,4130092000.000000,,,,484919000.000000,,,,,,,,,5269242000.000000,,1754395000.000000,7023637000.000000
12M 2022,7248451000.000000,30206106000.000000,-14400161000.000000,-6484008000.000000,66731000.000000,-4300000.000000,,-2135917000.000000,7248451000.000000,-39020149000.000000,-8540587000.000000,,1520438000.000000,,-32000000000.000000,-39020149000.000000,30903200000.000000,2500000000.000000,30403200000.000000,,-2000000000.000000,,,30903200000.000000,-868498000.000000,,7023637000.000000,6155139000.000000
12M 2023,-3789239000.000000,24151319000.000000,-19598453000.000000,-6889835000.000000,238583000.000000,,,-1690853000.000000,-3789239000.000000,7714252000.000000,-10291977000.000000,,3006229000.000000,,15000000000.000000,7714252000.000000,4882643000.000000,,,4882643000.000000,,,,4882643000.000000,8807656000.000000,,6155139000.000000,14962795000.000000
12M 2024,15792875000.000000,27673054000.000000,-2599063000.000000,-8237766000.000000,286680000.000000,,,-1330030000.000000,15792875000.000000,-7413976000.000000,-80724000.000000,,2284748000.000000,-11250000000.000000,1632000000.000000,-7413976000.000000,-11823938000.000000,,,,-11624138000.000000,-199800000.000000,,-11823938000.000000,-3445039000.000000,,14962795000.000000,11517756000.000000
