Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2020,1.47,1.47,0.0,1.88,0.0,0.0,-0.15,0.0,0.88
12M 2021,2.54,2.54,0.0,1.39,0.0,0.0,-0.45,0.0,0.39
12M 2022,7.02,7.02,0.0,1.16,0.0,0.0,-0.12,0.0,0.16
12M 2023,10.53,10.53,0.0,1.08,0.0,0.0,-0.24,0.0,0.08
12M 2024,9.87,9.87,0.0,1.1,0.0,0.0,-0.21,0.0,0.1
