Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,86717.85,0.00,0.00,,13.73%,25.81%,64.54%,41.74
12M 2021,0.00 B,109321.29,0.00,0.00,,17.65%,24.55%,26.89%,18.94
12M 2022,2.50 B,2.35,120.85,23.42,,9.70%,11.23%,15.76%,91.94
12M 2023,2.55 B,2.01,82.59,17.79,,7.61%,8.22%,5.17%,
12M 2024,2.55 B,1.43,79.02,10.46,,5.99%,6.62%,5.40%,
