Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,18793995000.000000,-11490367000.000000,7303628000.000000,-2944533000.000000,-2944533000.000000,-2944533000.000000,4359095000.000000,-497526000.000000,,104442000.000000,-601968000.000000,-497526000.000000,3861569000.000000,-828352000.000000,,,-828352000.000000,3033217000.000000,,,,3033217000.000000,3033217000.000000,3033217000.000000,,3033217000.000000,3033217000.000000,3033217000.000000,,3033217000.000000
12M 2021,24878124000.000000,-15973185000.000000,8904939000.000000,-4664698000.000000,-4664698000.000000,-4664698000.000000,4240241000.000000,432286000.000000,,223862000.000000,208424000.000000,432286000.000000,4672527000.000000,-848687000.000000,,,-848687000.000000,3823840000.000000,,,,3823840000.000000,3823840000.000000,3823840000.000000,,3823840000.000000,3823840000.000000,3823840000.000000,,3823840000.000000
12M 2022,30319967000.000000,-21529550000.000000,8790417000.000000,-3050591000.000000,-3050591000.000000,-3050591000.000000,5739826000.000000,1635869000.000000,,62431000.000000,1573438000.000000,1635869000.000000,7375695000.000000,-1494197000.000000,,,-1494197000.000000,5881498000.000000,35843000.000000,35843000.000000,35843000.000000,5917341000.000000,5881498000.000000,5881498000.000000,,5881498000.000000,5917341000.000000,5917341000.000000,,5917341000.000000
12M 2023,23780277000.000000,-15963291000.000000,7816986000.000000,-4707922000.000000,-4707922000.000000,-4707922000.000000,3109064000.000000,3258530000.000000,,,3258530000.000000,3258530000.000000,6367594000.000000,-1236218000.000000,,,-1236218000.000000,5131376000.000000,-8182000.000000,-8182000.000000,-8182000.000000,5123194000.000000,5131376000.000000,5131376000.000000,,5131376000.000000,5123194000.000000,5123194000.000000,,5123194000.000000
12M 2024,27533752000.000000,-19473303000.000000,8060449000.000000,-4740982000.000000,-4740982000.000000,-4740982000.000000,3319467000.000000,1463669000.000000,,,1463669000.000000,1463669000.000000,4783136000.000000,-1148630000.000000,,,-1148630000.000000,3634506000.000000,526855000.000000,526855000.000000,526855000.000000,4161361000.000000,3634506000.000000,3634506000.000000,,3634506000.000000,4161361000.000000,4161361000.000000,,4161361000.000000
