Period,Arus Kas Dari Aktivitas Operasi,Bunga Diterima,Bunga Dibayar,Penerimaan Pendapatan (Pembayaran Beban) Operasional Lainnya,Pendapatan Operasional Lainnya Yang Diterima,Pembayaran Beban Operasional Lainnya,Total Penerimaan Pendapatan (Pembayaran Beban) Operasional Lainnya,Beban Tenaga Kerja Yang Dibayar,Beban Umum Dan Administrasi Yang Dibayar,Pembayaran Pajak Final Atas Revaluasi Aset Tetap,Pendapatan (Beban) Non Operasional Diterima (Dibayar),Pembayaran Pajak Penghasilan,Koreksi Fiskal,Keuntungan Kurs Mata Uang Asing - Bersih,Penurunan (Kenaikan) Aset Operasi:,Penempatan Pada Bank Indonesia Dan Bank Lain,Efek-Efek,Obligasi Rekapitalisasi Pemerintah,Wesel Ekspor,Kredit Yang Diberikan,Aset Lain-Lain,Total Penurunan (Kenaikan) Aset Operasi:,Kenaikan (Penurunan) Liabilitas Operasi:,Liabilitas Segera,Simpanan Nasabah,Simpanan Dari Bank Lain,Efek Yang Dijual Dengan Janji Dibeli Kembali,Hutang Pajak,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi:,Total Arus Kas Dari Aktivitas Operasi,Adjustment,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tak Berwujud,Penjualan (Pembelian) Surat Berharga,Perolehan Aset Tetap,Efek Yang Dijual Dengan Janji Dibeli Kembali,Efek Yang Dibeli Dengan Janji Dijual Kembali,Likuidasi Anak Perusahaan,Perolehan Dividen,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penawaran Umum Terbatas Iv,Biaya Emisi Saham,Agio Saham,Tambahan Modal Waran,Tambahan Modal Disetor Lainnya,Pembayaran Pinjaman Diterima,Penawaran Umum Terbatas V Dan Biaya Emisi Saham,Penerimaan Pinjaman Subordinasi,Pembayaran Pinjaman Subordinasi,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Anak Perusahaan Yang Tidak Dikonsolidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-390039357477.000000,1229916222713.000000,-787466655644.000000,,-126684748193.000000,-46886940535.000000,-173571688728.000000,-200362223666.000000,,,1447627520.000000,-14517517200.000000,,,,-71337230325.000000,825415145091.000000,,,-2291130305308.000000,-175489598047.000000,-1712541988589.000000,,-27527637090.000000,1316478007238.000000,,,1584445284.000000,-23477949315.000000,1267056866117.000000,-390039357477.000000,,-21802744515.000000,7405030884.000000,,,-29221726644.000000,,,,13951245.000000,-21802744515.000000,288497218637.000000,,,,,298237539937.000000,-2430175300.000000,,,-7310146000.000000,288497218637.000000,,-123344883355.000000,,,887928402222.000000,764583518867.000000
12M 2009,480532190810.000000,1570439411183.000000,-1093669788443.000000,,97914459262.000000,-238359939661.000000,-140445480399.000000,-203225236404.000000,,,808669223.000000,-22702069960.000000,,,,-322147719699.000000,-757914868105.000000,,,-1164443183893.000000,56313679825.000000,-2188192091872.000000,,-3918688528.000000,2502263089571.000000,,,-5317928858.000000,64492305297.000000,2557518777482.000000,480532190810.000000,,-20675494734.000000,773759889.000000,,,-21449254623.000000,,,,,-20675494734.000000,-9605425420.000000,,,,,,-2295279420.000000,,,-7310146000.000000,-9605425420.000000,,450251270656.000000,,-38695927.000000,764583518867.000000,1214796093596.000000
12M 2010,477534481651.000000,1521983297339.000000,-918249940831.000000,,69009305155.000000,-309793508908.000000,-240784203753.000000,-217608074781.000000,,,-11743400717.000000,-28858059200.000000,,,,-2779499770.000000,-1708643491719.000000,,,-192528754481.000000,625942227685.000000,-1278009518285.000000,,13819825235.000000,1624772117891.000000,,,-3886922394.000000,16099361147.000000,1650804381879.000000,477534481651.000000,,-41184171746.000000,503397419.000000,,,-41687569165.000000,,,,,-41184171746.000000,-111472593540.000000,,,,,,-109265363660.000000,,,-2207229880.000000,-111472593540.000000,,324877716365.000000,,,3239397276324.000000,3564274992689.000000
12M 2011,233810767770.000000,1582747333617.000000,-963084692730.000000,,165919101125.000000,-299203567885.000000,-133284466760.000000,-241868663001.000000,,,1360462809.000000,-31594799023.000000,,,,11431019222.000000,,,,-2220594112839.000000,103641649535.000000,-2105521444082.000000,,-6566463337.000000,1662996198299.000000,,,,468627301978.000000,2125057036940.000000,233810767770.000000,,343023861496.000000,432926825.000000,,357229847934.000000,-14638913263.000000,,,,,343023861496.000000,-104160185660.000000,,,,,,-2204960000.000000,,,-101955225660.000000,-104160185660.000000,,472674443606.000000,3114297086.000000,,3564274992689.000000,4040063733381.000000
12M 2012,-1286379000000.000000,1906161000000.000000,-1034568000000.000000,,56499000000.000000,,56499000000.000000,-245894000000.000000,-723216000000.000000,,-1259000000.000000,-33874000000.000000,,,,-1055000000.000000,,,,-1820246000000.000000,-53435000000.000000,-1874736000000.000000,,47380000000.000000,1073614000000.000000,-2205000000.000000,,,-454281000000.000000,664508000000.000000,-1286379000000.000000,,-120222000000.000000,704000000.000000,,-110820000000.000000,-10106000000.000000,,,,,-120222000000.000000,-54160000000.000000,,,,,50000000000.000000,-2205000000.000000,,,-101955000000.000000,-54160000000.000000,,-1460761000000.000000,47423000000.000000,,4040064000000.000000,2626726000000.000000
12M 2013,52234000000.000000,1943854000000.000000,-934744000000.000000,,-1987000000.000000,,-1987000000.000000,-281128000000.000000,-386429000000.000000,,-13667000000.000000,-29152000000.000000,,,,22756000000.000000,,,,-213678000000.000000,-62418000000.000000,-253340000000.000000,,-21517000000.000000,-35707000000.000000,93299000000.000000,,,-27248000000.000000,8827000000.000000,52234000000.000000,,402928000000.000000,121000000.000000,,434108000000.000000,-31301000000.000000,,,,,402928000000.000000,344399000000.000000,450424000000.000000,,-1865000000.000000,,,-2205000000.000000,,,-101955000000.000000,344399000000.000000,,799561000000.000000,100790000000.000000,,2626726000000.000000,3527077000000.000000
12M 2014,364814000000.000000,2220219000000.000000,-1264893000000.000000,,-161052000000.000000,,-161052000000.000000,-331817000000.000000,-354218000000.000000,,-15181000000.000000,-28077000000.000000,,,,,,,,-1718819000000.000000,-177506000000.000000,-1896325000000.000000,,-14308000000.000000,2210136000000.000000,10601000000.000000,,,-10271000000.000000,2196158000000.000000,364814000000.000000,,-880342000000.000000,1661000000.000000,,-859242000000.000000,-22761000000.000000,,,,,-880342000000.000000,-104160000000.000000,,,,,,-2205000000.000000,,,-101955000000.000000,-104160000000.000000,,-619688000000.000000,9582000000.000000,,3527077000000.000000,2916971000000.000000
12M 2015,1439982000000.000000,2409079000000.000000,-1422694000000.000000,,-378893000000.000000,,-378893000000.000000,-378148000000.000000,-95454000000.000000,-56337000000.000000,-10566000000.000000,-60105000000.000000,,,,,,,,-199938000000.000000,-42542000000.000000,-242480000000.000000,,14986000000.000000,1898423000000.000000,-126306000000.000000,,,-111523000000.000000,1675580000000.000000,1439982000000.000000,,380868000000.000000,3883000000.000000,,417325000000.000000,-40340000000.000000,,,,,380868000000.000000,-101955000000.000000,,,,,,,,,-101955000000.000000,-101955000000.000000,,1718895000000.000000,70674000000.000000,,2916971000000.000000,4706540000000.000000
12M 2016,-1643522000000.000000,2233209000000.000000,-1283939000000.000000,,-396957000000.000000,,-396957000000.000000,-425433000000.000000,-100494000000.000000,,-13988000000.000000,-31261000000.000000,,,,,,,,-1148389000000.000000,-2318000000.000000,-1150707000000.000000,,25374000000.000000,-623162000000.000000,101132000000.000000,,,22704000000.000000,-473952000000.000000,-1643522000000.000000,,-315773000000.000000,1850000000.000000,,-286670000000.000000,-30953000000.000000,,,,,-315773000000.000000,195544000000.000000,,,,,,,297499000000.000000,,-101955000000.000000,195544000000.000000,,-1763751000000.000000,-12602000000.000000,,4706541000000.000000,2930188000000.000000
12M 2017,974511000000.000000,2531918000000.000000,-1210124000000.000000,,-358120000000.000000,,-358120000000.000000,-425114000000.000000,-126904000000.000000,,-15753000000.000000,-34694000000.000000,,,,,,,,-969959000000.000000,51302000000.000000,-918657000000.000000,,6890000000.000000,1427433000000.000000,50693000000.000000,,,46943000000.000000,1531959000000.000000,974511000000.000000,,-1038044000000.000000,327000000.000000,,-1025761000000.000000,-12610000000.000000,,,,,-1038044000000.000000,-101955000000.000000,,,,,,,,,-101955000000.000000,-101955000000.000000,,-165488000000.000000,8616000000.000000,,2930188000000.000000,2773316000000.000000
