Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Keuntungan Penjualan Efek-Efek,Keuntungan Transaksi Mata Uang Asing,Kenaikan Nilai Wajar Aset Keuangan,Provisi Dan Komisi Lainnya,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Kerugian Atas Aset Produktif,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Kerugian Dari Penjualan Aset-Aset Keuangan,Penurunan Nilai Wajar Aset Keuangan Yang Diperdagangkan,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan Dan Non-Keuangan,Others,Total Beban Operasional Lainnya,Adjustment,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1202911364033.000000,1137150294211.000000,65761069822.000000,1202911364033.000000,-807116758619.000000,-807116758619.000000,-807116758619.000000,395794605414.000000,-364200981464.000000,,10332995406.000000,7910834982.000000,,24390471207.000000,17279687477.000000,59913989072.000000,,,-200362223666.000000,-70217082549.000000,,,-174627499.000000,-153361036822.000000,-424114970536.000000,,-364200981464.000000,31593623950.000000,8735505354.000000,1022184540.000000,7713320814.000000,8735505354.000000,,40329129304.000000,-18479354050.000000,-14589187100.000000,-3890166950.000000,-18479354050.000000,21849775254.000000,24275331.000000,21874050585.000000,,,,,21874050585.000000,21849775254.000000,24275331.000000,21874050585.000000,,,,
12M 2009,1612138625356.000000,1566904510814.000000,45234114542.000000,1612138625356.000000,-1114059914388.000000,-1114059914388.000000,-1114059914388.000000,498078710968.000000,-434479802702.000000,,17983372904.000000,9632391049.000000,,14156130256.000000,16175916512.000000,57947810721.000000,,,-203225236404.000000,-73656410440.000000,,,-40250000000.000000,-175295966579.000000,-492427613423.000000,,-434479802702.000000,63598908266.000000,808669223.000000,394896728.000000,413772495.000000,808669223.000000,,64407577489.000000,-22549995205.000000,-22702069960.000000,152074755.000000,-22549995205.000000,41857582284.000000,,41857582284.000000,,,,,41857582284.000000,41857582284.000000,,41857582284.000000,,,,
12M 2010,1505177610345.000000,1475120366501.000000,30057243844.000000,1505177610345.000000,-918249940831.000000,-918249940831.000000,-918249940831.000000,586927669514.000000,-457633178542.000000,,17459016572.000000,6722072540.000000,708066577.000000,16805686994.000000,28073562464.000000,69768405147.000000,,,-217608074781.000000,-80272406511.000000,,,-24028106764.000000,-205492995633.000000,-527401583689.000000,,-457633178542.000000,129294490972.000000,-11743400717.000000,477828853.000000,-12221229570.000000,-11743400717.000000,,117551090255.000000,-33881849761.000000,-28858059200.000000,-5023790561.000000,-33881849761.000000,83669240494.000000,,83669240494.000000,,,,,83669240494.000000,83669240494.000000,,83669240494.000000,,,,
12M 2011,1544765737830.000000,1544760884178.000000,4853652.000000,1544765737830.000000,-961736902118.000000,-961736902118.000000,-961736902118.000000,583028835712.000000,-458650538495.000000,,110000244162.000000,15762886936.000000,5972522337.000000,25678283710.000000,21001735146.000000,178415672291.000000,,,-241868663001.000000,-72947026435.000000,,,-95993979900.000000,-226256541450.000000,-637066210786.000000,,-458650538495.000000,124378297217.000000,1360462808.000000,331345196.000000,1029117612.000000,1360462808.000000,,125738760025.000000,-25308263290.000000,-33156543200.000000,7848279910.000000,-25308263290.000000,100430496735.000000,,100430496735.000000,-546960108.000000,-546960108.000000,-546960108.000000,99883536627.000000,100430496735.000000,100430496735.000000,,100430496735.000000,99883536627.000000,99883536627.000000,,99883536627.000000
12M 2012,1859222000000.000000,,,1859222000000.000000,-1033193000000.000000,-1033193000000.000000,-1033193000000.000000,826029000000.000000,-685796000000.000000,,15834000000.000000,22645000000.000000,,26463000000.000000,18020000000.000000,82962000000.000000,,,-280575000000.000000,-102400000000.000000,,-5211000000.000000,-118899000000.000000,-261673000000.000000,-768758000000.000000,,-685796000000.000000,140233000000.000000,-423000000.000000,,,-423000000.000000,,139810000000.000000,-6461000000.000000,-3040000000.000000,-3421000000.000000,-6461000000.000000,133349000000.000000,,133349000000.000000,,,,133349000000.000000,133349000000.000000,133349000000.000000,,133349000000.000000,133349000000.000000,133349000000.000000,,133349000000.000000
12M 2013,1940361000000.000000,1940361000000.000000,,1940361000000.000000,-942104000000.000000,-942104000000.000000,-942104000000.000000,998257000000.000000,-690885000000.000000,,-20866000000.000000,42254000000.000000,,25593000000.000000,37469000000.000000,84450000000.000000,,,-318096000000.000000,-110700000000.000000,,10000000.000000,-63137000000.000000,-283412000000.000000,-775335000000.000000,,-690885000000.000000,307372000000.000000,-13759000000.000000,,,-13759000000.000000,,293613000000.000000,-67676000000.000000,-73775000000.000000,6099000000.000000,-67676000000.000000,225937000000.000000,,225937000000.000000,,,,225937000000.000000,225937000000.000000,225937000000.000000,,225937000000.000000,225937000000.000000,225937000000.000000,,225937000000.000000
12M 2014,2249421000000.000000,2249421000000.000000,,2249421000000.000000,-1294645000000.000000,-1294645000000.000000,-1294645000000.000000,954776000000.000000,-762803000000.000000,,-3593000000.000000,8855000000.000000,,23775000000.000000,59640000000.000000,88677000000.000000,,,-365203000000.000000,-105454000000.000000,,,-54486000000.000000,-326337000000.000000,-851480000000.000000,,-762803000000.000000,191973000000.000000,-14196000000.000000,,,-14196000000.000000,,177777000000.000000,-67192000000.000000,-70838000000.000000,3646000000.000000,-67192000000.000000,110585000000.000000,,110585000000.000000,,,,110585000000.000000,110585000000.000000,110585000000.000000,,110585000000.000000,110585000000.000000,110585000000.000000,,110585000000.000000
12M 2015,2415224000000.000000,2415224000000.000000,,2415224000000.000000,-1411721000000.000000,-1411721000000.000000,-1411721000000.000000,1003503000000.000000,-910594000000.000000,,,16296000000.000000,,27469000000.000000,65021000000.000000,108786000000.000000,,,-397638000000.000000,-126835000000.000000,,1374000000.000000,-105371000000.000000,-390910000000.000000,-1019380000000.000000,,-910594000000.000000,92909000000.000000,-8651000000.000000,,,-8651000000.000000,,84258000000.000000,-12964000000.000000,-17837000000.000000,4873000000.000000,-12964000000.000000,71294000000.000000,,71294000000.000000,3470000000.000000,3470000000.000000,3470000000.000000,74764000000.000000,71294000000.000000,71294000000.000000,,71294000000.000000,74764000000.000000,74764000000.000000,,74764000000.000000
12M 2016,2268276000000.000000,2268276000000.000000,,2268276000000.000000,-1262671000000.000000,-1262671000000.000000,-1262671000000.000000,1005605000000.000000,-904504000000.000000,,36031000000.000000,8063000000.000000,,35319000000.000000,41447000000.000000,120860000000.000000,,,-468368000000.000000,-148748000000.000000,,,-58026000000.000000,-350222000000.000000,-1025364000000.000000,,-904504000000.000000,101101000000.000000,-8677000000.000000,,,-8677000000.000000,,92424000000.000000,-19581000000.000000,-14606000000.000000,-4975000000.000000,-19581000000.000000,72843000000.000000,,72843000000.000000,1288277000000.000000,1288277000000.000000,1288277000000.000000,1361120000000.000000,72843000000.000000,72843000000.000000,,72843000000.000000,1361120000000.000000,1361120000000.000000,,1361120000000.000000
12M 2017,2398933000000.000000,2398933000000.000000,,2398933000000.000000,-1214406000000.000000,-1214406000000.000000,-1214406000000.000000,1184527000000.000000,-1081850000000.000000,,4118000000.000000,17939000000.000000,,30719000000.000000,36203000000.000000,88979000000.000000,,,-450331000000.000000,-169679000000.000000,,,-130371000000.000000,-420448000000.000000,-1170829000000.000000,,-1081850000000.000000,102677000000.000000,-15751000000.000000,,,-15751000000.000000,,86926000000.000000,-18825000000.000000,-21882000000.000000,3057000000.000000,-18825000000.000000,68101000000.000000,,68101000000.000000,14836000000.000000,14836000000.000000,14836000000.000000,82937000000.000000,68101000000.000000,68101000000.000000,,68101000000.000000,82937000000.000000,82937000000.000000,,82937000000.000000
12M 2018,2263784000000.000000,2263784000000.000000,,2263784000000.000000,-1065854000000.000000,-1065854000000.000000,-1065854000000.000000,1197930000000.000000,-1111816000000.000000,,1126000000.000000,13700000000.000000,,21736000000.000000,37268000000.000000,73830000000.000000,,,-419322000000.000000,-130995000000.000000,,,-183706000000.000000,-451623000000.000000,-1185646000000.000000,,-1111816000000.000000,86114000000.000000,-11778000000.000000,,,-11778000000.000000,,74336000000.000000,-20715000000.000000,-21387000000.000000,672000000.000000,-20715000000.000000,53621000000.000000,,53621000000.000000,25578000000.000000,25578000000.000000,25578000000.000000,79199000000.000000,53621000000.000000,53621000000.000000,,53621000000.000000,79199000000.000000,79199000000.000000,,79199000000.000000
12M 2019,1976522000000.000000,1976522000000.000000,,1976522000000.000000,-1049601000000.000000,-1049601000000.000000,-1049601000000.000000,926921000000.000000,-998936000000.000000,,597000000.000000,28672000000.000000,,29698000000.000000,47810000000.000000,106777000000.000000,,,-363989000000.000000,-118323000000.000000,,,-228415000000.000000,-394986000000.000000,-1105713000000.000000,,-998936000000.000000,-72015000000.000000,-4324000000.000000,,,-4324000000.000000,,-76339000000.000000,17994000000.000000,,17994000000.000000,17994000000.000000,-58345000000.000000,,-58345000000.000000,7469000000.000000,7469000000.000000,7469000000.000000,-50876000000.000000,-58345000000.000000,-58345000000.000000,,-58345000000.000000,-50876000000.000000,-50876000000.000000,,-50876000000.000000
12M 2020,1688028000000.000000,1688028000000.000000,,1688028000000.000000,-1056241000000.000000,-1056241000000.000000,-1056241000000.000000,631787000000.000000,-588910000000.000000,,-60000000.000000,27224000000.000000,,32077000000.000000,56632000000.000000,115873000000.000000,,,-317883000000.000000,-102042000000.000000,,,253508000000.000000,-538366000000.000000,-704783000000.000000,,-588910000000.000000,42877000000.000000,-12454000000.000000,,,-12454000000.000000,,30423000000.000000,-9051000000.000000,,-9051000000.000000,-9051000000.000000,21372000000.000000,,21372000000.000000,50434000000.000000,50434000000.000000,50434000000.000000,71806000000.000000,21372000000.000000,21372000000.000000,,21372000000.000000,71806000000.000000,71806000000.000000,,71806000000.000000
12M 2021,1534022000000.000000,1534022000000.000000,,1534022000000.000000,-766265000000.000000,-766265000000.000000,-766265000000.000000,767757000000.000000,-971668000000.000000,,5805000000.000000,13484000000.000000,,21935000000.000000,265505000000.000000,306729000000.000000,,,-240331000000.000000,-128630000000.000000,,,-553166000000.000000,-356270000000.000000,-1278397000000.000000,,-971668000000.000000,-203911000000.000000,451000000.000000,,,451000000.000000,,-203460000000.000000,35397000000.000000,,35397000000.000000,35397000000.000000,-168063000000.000000,,-168063000000.000000,71055000000.000000,71055000000.000000,71055000000.000000,-97008000000.000000,-168063000000.000000,-168063000000.000000,,-168063000000.000000,-97008000000.000000,-97008000000.000000,,-97008000000.000000
12M 2022,1441977000000.000000,1441977000000.000000,,1441977000000.000000,-491344000000.000000,-491344000000.000000,-491344000000.000000,950633000000.000000,-887622000000.000000,,1235000000.000000,14731000000.000000,,29056000000.000000,122099000000.000000,167121000000.000000,,,-265404000000.000000,-119167000000.000000,,,-240495000000.000000,-429677000000.000000,-1054743000000.000000,,-887622000000.000000,63011000000.000000,6130000000.000000,,,6130000000.000000,,69141000000.000000,-14144000000.000000,,-14144000000.000000,-14144000000.000000,54997000000.000000,,54997000000.000000,-4576000000.000000,-4576000000.000000,-4576000000.000000,50421000000.000000,54997000000.000000,54997000000.000000,,54997000000.000000,50421000000.000000,50421000000.000000,,50421000000.000000
12M 2023,1484753000000.000000,1484753000000.000000,,1484753000000.000000,-502774000000.000000,-502774000000.000000,-502774000000.000000,981979000000.000000,-794903000000.000000,,28839000000.000000,6968000000.000000,,32589000000.000000,244222000000.000000,312618000000.000000,,,-279962000000.000000,-134270000000.000000,,,-103657000000.000000,-589632000000.000000,-1107521000000.000000,,-794903000000.000000,187076000000.000000,-3719000000.000000,,,-3719000000.000000,,183357000000.000000,-36604000000.000000,,-36604000000.000000,-36604000000.000000,146753000000.000000,,146753000000.000000,19910000000.000000,19910000000.000000,19910000000.000000,166663000000.000000,146753000000.000000,146753000000.000000,,146753000000.000000,166663000000.000000,166663000000.000000,,166663000000.000000
12M 2024,1646064000000.000000,1646064000000.000000,,1646064000000.000000,-735995000000.000000,-735995000000.000000,-735995000000.000000,910069000000.000000,-712802000000.000000,,53289000000.000000,10628000000.000000,,35168000000.000000,258500000000.000000,357585000000.000000,,,-287069000000.000000,-160550000000.000000,,,-75026000000.000000,-547742000000.000000,-1070387000000.000000,,-712802000000.000000,197267000000.000000,-7512000000.000000,,,-7512000000.000000,,189755000000.000000,-37281000000.000000,,-37281000000.000000,-37281000000.000000,152474000000.000000,,152474000000.000000,16189000000.000000,16189000000.000000,16189000000.000000,168663000000.000000,152474000000.000000,152474000000.000000,,152474000000.000000,168663000000.000000,168663000000.000000,,168663000000.000000
