Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,528800320954.000000,-496939633538.000000,31860687416.000000,-20611043958.000000,-8463741131.000000,-12147302827.000000,-20611043958.000000,11249643458.000000,-8788487721.000000,-9585810868.000000,356121728.000000,441201419.000000,-8788487721.000000,2461155737.000000,-562179858.000000,1497711917.000000,-132838582.000000,1364873335.000000,1497711917.000000,1497711917.000000,,1497711917.000000,1364873335.000000,1364873335.000000,,1364873335.000000
12M 2018,593174550805.000000,-549812365049.000000,43362185756.000000,-29288922326.000000,-8755301353.000000,-20533620973.000000,-29288922326.000000,14073263430.000000,-8137252832.000000,-8878814517.000000,371186046.000000,370375639.000000,-8137252832.000000,5936010598.000000,-1391887683.000000,3433628829.000000,-304902295.000000,3128726534.000000,3433628829.000000,3433628829.000000,,3433628829.000000,3128726534.000000,3128726534.000000,,3128726534.000000
12M 2019,630225656438.0,-579241523708.0,50984132730.0,-35262643053.0,-11070684545.0,-24191958508.0,-35262643053.0,15721489677.0,-8876993242.0,-8312363805.0,789069820.0,-1353699257.0,-8876993242.0,6844496435.0,-1567852985.0,5276643450.0,153811084.0,5430454534.0,5276643450.0,5258481889.0,18161561.0,5276643450.0,5430454534.0,5430691575.0,-237041.0,5430454534.0
12M 2020,695490107908.0,-630313006986.0,65177100922.0,-45239093104.0,-13580239711.0,-31658853393.0,-45239093104.0,19938007818.0,-8077309609.0,-9040059681.0,1456347656.0,-493597584.0,-8077309609.0,11860698209.0,-2415569668.0,9445128541.0,-596040498.0,8849088043.0,9445128541.0,9389201826.0,55926715.0,9445128541.0,8849088043.0,8801612768.0,47475275.0,8849088043.0
12M 2021,699754460946.0,-625493213327.0,74261247619.0,-62908746146.0,-17829123874.0,-45079622272.0,-62908746146.0,11352501473.0,4439194087.0,-12545185110.0,1704462826.0,15279916371.0,4439194087.0,15791695560.0,-3724945603.0,12066749957.0,457810998.0,12524560955.0,12066749957.0,11983914353.0,82835604.0,12066749957.0,12524560955.0,12441642079.0,82918876.0,12524560955.0
12M 2022,770201918908.0,-696843449247.0,73358469661.0,-63723799887.0,-34717974037.0,-29005825850.0,-63723799887.0,9634669774.0,7690911651.0,-8610941804.0,1988948910.0,14312904545.0,7690911651.0,17325581425.0,-4657791710.0,12667789715.0,4721171859.0,17388961574.0,12667789715.0,12573504434.0,94285281.0,12667789715.0,17388961574.0,17289917887.0,99043687.0,17388961574.0
12M 2023,881782218431.0,-796263234703.0,85518983728.0,-78062211774.0,-38365286240.0,-39696925534.0,-78062211774.0,7456771954.0,10953507795.0,-8606461009.0,3203539344.0,16356429460.0,10953507795.0,18410279749.0,-5357803024.0,13052476725.0,732424925.0,13784901650.0,13052476725.0,12938274065.0,114202660.0,13052476725.0,13784901650.0,13669093536.0,115808114.0,13784901650.0
12M 2024,1011703216884.0,-913486532304.0,98216684580.0,-88547649683.0,-47455179968.0,-41092469715.0,-88547649683.0,9669034897.0,15312017146.0,-8574565562.0,4241882654.0,19644700054.0,15312017146.0,24981052043.0,-5920468111.0,19060583932.0,115527506.0,19176111438.0,19060583932.0,18896885367.0,163698565.0,19060583932.0,19176111438.0,19011708636.0,164402802.0,19176111438.0
