Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga Bersih,Pembayaran Bunga Pinjaman,Pembayaran Untuk Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penambahan Aset Lain - Lain,Penurunan Aset Lain - Lain,Investasi Kepada Entitas Anak Dan Asosiasi,Uang Muka Untuk Perolehan Aset Tetap,Deviden Dari Entitas Anak,Aset Hak Guna,Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Tambahan Setoran Modal,Pembayaran Biaya Emisi,Pembayaran Dividen,Pembayaran Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,3273057561.000000,545358391286.000000,-526026415091.000000,-5822274104.000000,17739832.000000,-9585810868.000000,-668573494.000000,3273057561.000000,-4219001838.000000,-2461918505.000000,,,,,,,-1757083333.000000,,-4219001838.000000,8020107320.000000,487777873318.000000,-482865932323.000000,9376260313.000000,-5899020791.000000,,,,-369073197.000000,8020107320.000000,7074163043.000000,4820318590.000000,11894481633.000000
12M 2018,2533198034.000000,581818577803.000000,-559859166321.000000,-9028791734.000000,17918902.000000,-8878814517.000000,-1536526099.000000,2533198034.000000,-2169053358.000000,-1110303358.000000,,,,,,,-1058750000.000000,,-2169053358.000000,-3610096092.000000,523869022086.000000,-525715847443.000000,7633086850.000000,-9050534000.000000,,,,-345823585.000000,-3610096092.000000,-3245951416.000000,11894481633.000000,8648530217.000000
12M 2019,32495668898.000000,626122096516.000000,-570822807781.000000,-12665339040.000000,26821582.000000,-8312363805.000000,-1852738574.000000,32495668898.000000,-82315151597.000000,-10782451861.000000,,,,-990000000.000000,-69710000000.000000,,-832699736.000000,,-82315151597.000000,49809751461.000000,801318915027.000000,-821288913522.000000,7000000000.000000,-7633086850.000000,70700000000.000000,,,-287163194.000000,49809751461.000000,-9731238.000000,8648530217.000000,8638798979.000000
12M 2020,3631760164.000000,703532749783.000000,-669272670871.000000,-19537322970.000000,24437823.000000,-9040059681.000000,-2075373920.000000,3631760164.000000,-21950780602.000000,-19650725047.000000,65000000.000000,,135500000.000000,-1125000000.000000,,,-1375555555.000000,,-21950780602.000000,16259902545.000000,783414799090.000000,-765276648894.000000,,-1700000000.000000,,,,-178247651.000000,16259902545.000000,-2059117893.000000,8638798979.000000,6579681086.000000
12M 2021,4364564917.000000,698259248459.000000,-659259505289.000000,-19771378351.000000,44436362.000000,-12545185110.000000,-2363051154.000000,4364564917.000000,-86406902917.000000,-50997746379.000000,122727272.000000,,-30000000000.000000,-4500000000.000000,,1485000000.000000,-2516883810.000000,,-86406902917.000000,82288708937.000000,594879249752.000000,-545104693325.000000,,-5300000000.000000,42741937500.000000,-3275562500.000000,-1515000000.000000,-137222490.000000,82288708937.000000,246370937.000000,6579681086.000000,6826052023.000000
12M 2022,31468457481.000000,769694884696.000000,-700554908573.000000,-23967253086.000000,-24000359.000000,-8610941804.000000,-5069323393.000000,31468457481.000000,22109211456.000000,-4870975422.000000,562686878.000000,,30000000000.000000,,,,-3582500000.000000,,22109211456.000000,-46427628430.000000,1088100915161.000000,-1134405913842.000000,,,,,,-122629749.000000,-46427628430.000000,7150040507.000000,6826052023.000000,13976092530.000000
12M 2023,12569841065.000000,883437086468.000000,-830375092740.000000,-27199403877.000000,,-8606461009.000000,-4686287777.000000,12569841065.000000,-13704282018.000000,-11016954679.000000,50450450.000000,,,,,,-2737777789.000000,,-13704282018.000000,-1446980098.000000,1020313695133.000000,-1021544504780.000000,,,,,,-216170451.000000,-1446980098.000000,-2581421051.000000,13976092530.000000,11394671479.000000
12M 2024,16212714637.000000,1014340596049.000000,-949274500146.000000,-31187107888.000000,,-8574565562.000000,-9091707816.000000,16212714637.000000,-22640575199.000000,-20856836002.000000,90015426.000000,,,,,,-2874328503.000000,1000573880.000000,-22640575199.000000,3544634271.000000,1789343690039.000000,-1782084957143.000000,,,,,-3202500000.000000,-511598625.000000,3544634271.000000,-2883226291.000000,11394671479.000000,8511445188.000000
