Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Keuangan,Pembayaran Untuk Beban Operasional,Pembayaran Pajak,Penerimaan (Pengeluaran) Kas Atas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penyertaan Saham,Perolehan Aset Lain-Lain,Penerimaan Atas Piutang Pihak Berelasi,Pembayaran Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Utang Sewa Pembiayaan,Penerimaan (Pembayaran) Utang Bank,Pembayaran Utang Bank,Penerimaan (Pembayaran) Utang Lain-Lain,Penerimaan (Pembayaran) Piutang Lain-Lain,Penerimaan (Pembayaran) Utang Pihak Berelasi,Penambahan Modal Saham,Setoran Modal Saham Melalui Penawaran Umum Perdana,Biaya Emisi Saham,Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,7945592707.000000,85287215210.000000,-64342281268.000000,,-2269431681.000000,-10831642813.000000,-542719500.000000,644452759.000000,7945592707.000000,-5459697826.000000,-393221871.000000,,,,-5066475955.000000,,,-5459697826.000000,-12707827868.000000,-1550075660.000000,,-11979107208.000000,,,,821355000.000000,,,,,-12707827868.000000,-10221932987.000000,-8856499933.000000,-19078432920.000000
12M 2018,-12319240793.000000,86518648861.000000,-79949062254.000000,,-2390653193.000000,-14087917494.000000,-812494500.000000,-1597762213.000000,-12319240793.000000,-1491416030.000000,-1098616030.000000,,,,100000000.000000,,-492800000.000000,-1491416030.000000,29606061809.000000,-392958806.000000,,29999020615.000000,,,,,,,,,29606061809.000000,15795404986.000000,-19078432920.000000,-3283027934.000000
12M 2019,10058606962.000000,73698239978.000000,-54169483343.000000,,-3431999684.000000,-6698416467.000000,-577872285.000000,1238138763.000000,10058606962.000000,-12393869117.000000,-1273336984.000000,,,,1700000000.000000,-12820532133.000000,,-12393869117.000000,-3051395565.000000,-421336741.000000,,-3304526725.000000,,,,674467901.000000,,,,,-3051395565.000000,-5386657720.000000,-3283027934.000000,-8669685654.000000
12M 2020,2283929612.000000,33712210764.000000,-18259154646.000000,,-3643596559.000000,-7800318562.000000,,-1725211385.000000,2283929612.000000,-3494029523.000000,-1415208608.000000,172444975.000000,,,,-2744065890.000000,492800000.000000,-3494029523.000000,844758713.000000,-184037653.000000,,1064796366.000000,,,,-36000000.000000,,,,,844758713.000000,-365341198.000000,-8669685654.000000,-9035026852.000000
12M 2021,-83251060303.000000,43856440991.000000,-117182512414.000000,,-3970991571.000000,-6838932428.000000,,884935119.000000,-83251060303.000000,-9919727949.000000,-12480333814.000000,,,,,2560605865.000000,,-9919727949.000000,95895675212.000000,-157322422.000000,,,-37591014.000000,,,,,100496706000.000000,-4406117352.000000,,95895675212.000000,2724886960.000000,-9035026852.000000,-6310139892.000000
12M 2022,-2893671921.000000,83089958300.000000,-71417721879.000000,,-3868603841.000000,-8438498897.000000,,-2258805604.000000,-2893671921.000000,-46553757.000000,-213877555.000000,167323798.000000,,,,,,-46553757.000000,216679492.000000,-129385356.000000,,149581189170.000000,-149235124322.000000,,,,,,,,216679492.000000,-2723546186.000000,-6310139892.000000,-9033686078.000000
12M 2023,-18030665388.000000,49660469335.000000,-53924751997.000000,,-3928421255.000000,-7750528371.000000,,-2087433100.000000,-18030665388.000000,-141005000.000000,-196005000.000000,55000000.000000,,,,,,-141005000.000000,18123785874.000000,-79662626.000000,,55205670884.000000,-37240862584.000000,,,,238640200.000000,,,,18123785874.000000,-47884514.000000,139412416.000000,91527902.000000
12M 2024,-5964847687.000000,10625118792.000000,-4210391018.000000,,-5051327138.000000,-6981039079.000000,,-347209244.000000,-5964847687.000000,-4900000.000000,-4900000.000000,,,,,,,-4900000.000000,5892750163.000000,-30863000.000000,,10304200000.000000,-4380586837.000000,,,,,,,,5892750163.000000,-76997524.000000,91527902.000000,14530378.000000
