Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Untuk Imbalan Kerja,Pembayaran Kas Untuk Aktivitas Operasi Lainnya,Penerimaan Bunga,Pembayaran Bunga,Pengembalian Pajak Penghasilan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Hasil Penjualan Tanah Yang Dimiliki Untuk Dijual,Perolehan Aset Tak Berwujud,Kenaikan (Penurunan) Beban Ditangguhkan,Hasil Pelepasan Investasi Pada Perusahaan Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank Jangka Pendek,Pembayaran Dari Pinjaman Bank Jangka Pendek,Penerimaan Dari Pinjaman Bank Jangka Panjang,Pembayaran Atas Liabilitas Sewa,Pembayaran Dividen Kepada Pemegang Saham,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,414922000000.000000,2337603000000.000000,-1301276000000.000000,-272162000000.000000,-18066000000.000000,-269288000000.000000,8606000000.000000,-1056000000.000000,55712000000.000000,-125151000000.000000,414922000000.000000,-116250000000.000000,-123982000000.000000,1906000000.000000,,,,5826000000.000000,-116250000000.000000,-143039000000.000000,-108319000000.000000,,,,-34720000000.000000,-143039000000.000000,-4827000000.000000,150806000000.000000,109832000000.000000,260638000000.000000
12M 2009,341732000000.000000,1886472000000.000000,-1099476000000.000000,-221398000000.000000,-30239000000.000000,-111018000000.000000,5208000000.000000,-276000000.000000,,-87541000000.000000,341732000000.000000,-432004000000.000000,-433798000000.000000,1794000000.000000,,,,,-432004000000.000000,-17360000000.000000,441216000000.000000,-441216000000.000000,,,-17360000000.000000,-17360000000.000000,1670000000.000000,-105962000000.000000,260638000000.000000,154676000000.000000
12M 2010,481895000000.000000,2392144000000.000000,-1440425000000.000000,-243241000000.000000,-37863000000.000000,-113713000000.000000,8201000000.000000,,,-83208000000.000000,481895000000.000000,-72998000000.000000,-87052000000.000000,14054000000.000000,,,,,-72998000000.000000,-17360000000.000000,,,,,-17360000000.000000,-17360000000.000000,-5111000000.000000,386426000000.000000,154676000000.000000,541102000000.000000
12M 2011,335387000000.000000,2561598000000.000000,-1667938000000.000000,-271025000000.000000,-36205000000.000000,-120723000000.000000,12564000000.000000,,,-142884000000.000000,335387000000.000000,-255909000000.000000,-276999000000.000000,21090000000.000000,,,,,-255909000000.000000,-34720000000.000000,,,,,-34720000000.000000,-34720000000.000000,991000000.000000,45749000000.000000,541102000000.000000,586851000000.000000
12M 2012,411135000000.000000,2833802000000.000000,-1841201000000.000000,-339880000000.000000,,-140440000000.000000,13124000000.000000,,,-114270000000.000000,411135000000.000000,-321152000000.000000,-325143000000.000000,3991000000.000000,,,,,-321152000000.000000,-34720000000.000000,,,,,-34720000000.000000,-34720000000.000000,5907000000.000000,61170000000.000000,586851000000.000000,648021000000.000000
12M 2013,551871000000.000000,3127029000000.000000,-2009004000000.000000,-407579000000.000000,,-76434000000.000000,20983000000.000000,,,-103124000000.000000,551871000000.000000,-329214000000.000000,-337027000000.000000,7813000000.000000,,,,,-329214000000.000000,-34720000000.000000,,,,,-34720000000.000000,-34720000000.000000,25661000000.000000,213598000000.000000,648021000000.000000,861619000000.000000
12M 2014,564250000000.000000,3694422000000.000000,-2373919000000.000000,-451008000000.000000,,-184581000000.000000,41041000000.000000,,,-161705000000.000000,564250000000.000000,-287413000000.000000,-312259000000.000000,828000000.000000,29110000000.000000,-5092000000.000000,,,-287413000000.000000,-34720000000.000000,,,,,-34720000000.000000,-34720000000.000000,3675000000.000000,245792000000.000000,861619000000.000000,1107411000000.000000
12M 2015,366837000000.000000,3666690000000.000000,-2442161000000.000000,-446251000000.000000,,-296902000000.000000,38429000000.000000,,,-152968000000.000000,366837000000.000000,-532039000000.000000,-531215000000.000000,165000000.000000,,-989000000.000000,,,-532039000000.000000,-34720000000.000000,,,,,-34720000000.000000,-34720000000.000000,24272000000.000000,-175650000000.000000,1107411000000.000000,931761000000.000000
12M 2016,333042000000.000000,3709384000000.000000,-2499945000000.000000,-463394000000.000000,,-294121000000.000000,11175000000.000000,-12423000000.000000,,-117634000000.000000,333042000000.000000,-1602842000000.000000,-1603231000000.000000,1848000000.000000,,-1459000000.000000,,,-1602842000000.000000,663952000000.000000,,,698672000000.000000,,-34720000000.000000,663952000000.000000,-5086000000.000000,-610934000000.000000,931761000000.000000,320827000000.000000
12M 2017,299081000000.000000,3882899000000.000000,-2599273000000.000000,-653281000000.000000,,-288637000000.000000,2016000000.000000,-21054000000.000000,36905000000.000000,-60494000000.000000,299081000000.000000,-1017775000000.000000,-1017648000000.000000,723000000.000000,,-850000000.000000,,,-1017775000000.000000,742946000000.000000,,-119098000000.000000,896764000000.000000,,-34720000000.000000,742946000000.000000,1116000000.000000,25368000000.000000,320827000000.000000,346195000000.000000
