Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Bank Jangka Pendek,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,260638000000.000000,155967000000.000000,19214000000.000000,619342000000.000000,47880000000.000000,1103041000000.000000,,8470000000.000000,874547000000.000000,,12928000000.000000,895945000000.000000,1998986000000.000000,,,319553000000.000000,,128983000000.000000,33280000000.000000,162263000000.000000,,,64211000000.000000,49010000000.000000,,,,,44069000000.000000,319553000000.000000,200054000000.000000,,,,,200054000000.000000,200054000000.000000,519607000000.000000,,217000000000.000000,165083000000.000000,1097296000000.000000,57250000000.000000,1040046000000.000000,1097296000000.000000,,,1479379000000.000000,1998986000000.000000,434000000.000000
12M 2009,,,154676000000.000000,185223000000.000000,9474000000.000000,426289000000.000000,10837000000.000000,786499000000.000000,,25120000000.000000,1143946000000.000000,,16832000000.000000,1185898000000.000000,1972397000000.000000,,,235167000000.000000,,122357000000.000000,35524000000.000000,157881000000.000000,,,12490000000.000000,43993000000.000000,,,,,20803000000.000000,235167000000.000000,207918000000.000000,,,,,207918000000.000000,207918000000.000000,443085000000.000000,,217000000000.000000,165083000000.000000,1147229000000.000000,60000000000.000000,1087229000000.000000,1147229000000.000000,,,1529312000000.000000,1972397000000.000000,434000000.000000
12M 2010,,,541102000000.000000,224362000000.000000,15651000000.000000,490140000000.000000,12457000000.000000,1283712000000.000000,,31578000000.000000,1037313000000.000000,,20054000000.000000,1088945000000.000000,2372657000000.000000,,,325854000000.000000,,156078000000.000000,53364000000.000000,209442000000.000000,,,46784000000.000000,57194000000.000000,,,,,12434000000.000000,325854000000.000000,203878000000.000000,,,,,203878000000.000000,203878000000.000000,529732000000.000000,,217000000000.000000,165083000000.000000,1460842000000.000000,60700000000.000000,1400142000000.000000,1460842000000.000000,,,1842925000000.000000,2372657000000.000000,434000000.000000
12M 2011,,,586851000000.000000,256979000000.000000,11630000000.000000,594380000000.000000,23585000000.000000,1473425000000.000000,,37449000000.000000,1152779000000.000000,,26942000000.000000,1217170000000.000000,2690595000000.000000,,,333132000000.000000,,162526000000.000000,77613000000.000000,240139000000.000000,,,18605000000.000000,62330000000.000000,,,,,12058000000.000000,333132000000.000000,212263000000.000000,,,,,212263000000.000000,212263000000.000000,545395000000.000000,,217000000000.000000,165083000000.000000,1763117000000.000000,64000000000.000000,1699117000000.000000,1763117000000.000000,,,2145200000000.000000,2690595000000.000000,434000000.000000
12M 2012,,,648021000000.000000,287845000000.000000,22273000000.000000,671664000000.000000,28665000000.000000,1658468000000.000000,,45231000000.000000,1384995000000.000000,,26727000000.000000,1456953000000.000000,3115421000000.000000,,,426669000000.000000,,190965000000.000000,48043000000.000000,239008000000.000000,,,27454000000.000000,63635000000.000000,,,,,96572000000.000000,426669000000.000000,231663000000.000000,,,,,231663000000.000000,231663000000.000000,658332000000.000000,,217000000000.000000,165083000000.000000,2075006000000.000000,67500000000.000000,2007506000000.000000,2075006000000.000000,,,2457089000000.000000,3115421000000.000000,434000000.000000
12M 2013,,,861619000000.000000,378342000000.000000,22104000000.000000,689093000000.000000,28958000000.000000,1980116000000.000000,,50154000000.000000,1478147000000.000000,,30976000000.000000,1559277000000.000000,3539393000000.000000,,,473960000000.000000,,228484000000.000000,53016000000.000000,281500000000.000000,,,41648000000.000000,93349000000.000000,,,,,57463000000.000000,473960000000.000000,304706000000.000000,,,,,304706000000.000000,304706000000.000000,778666000000.000000,,217000000000.000000,165083000000.000000,2378644000000.000000,71000000000.000000,2307644000000.000000,2378644000000.000000,,,2760727000000.000000,3539393000000.000000,434000000.000000
12M 2014,,,1107411000000.000000,354306000000.000000,29511000000.000000,745048000000.000000,27452000000.000000,2263728000000.000000,,52220000000.000000,1530836000000.000000,,71607000000.000000,1654663000000.000000,3918391000000.000000,,,398238000000.000000,,219459000000.000000,26087000000.000000,245546000000.000000,,,25455000000.000000,101106000000.000000,,,,,26131000000.000000,398238000000.000000,335511000000.000000,,,,,335511000000.000000,335511000000.000000,733749000000.000000,,217000000000.000000,165083000000.000000,2802559000000.000000,74500000000.000000,2728059000000.000000,2802559000000.000000,,,3184642000000.000000,3918391000000.000000,434000000.000000
12M 2015,,,931761000000.000000,353443000000.000000,51485000000.000000,861194000000.000000,33298000000.000000,2231181000000.000000,,75378000000.000000,1822896000000.000000,6188000000.000000,134632000000.000000,2039094000000.000000,4270275000000.000000,,,479376000000.000000,277988000000.000000,,,277988000000.000000,,,18659000000.000000,138521000000.000000,,,,,44208000000.000000,479376000000.000000,400676000000.000000,,,,,400676000000.000000,400676000000.000000,880052000000.000000,,217000000000.000000,165083000000.000000,3008140000000.000000,79000000000.000000,2929140000000.000000,3008140000000.000000,,,3390223000000.000000,4270275000000.000000,434000000.000000
12M 2016,,,320827000000.000000,358377000000.000000,26888000000.000000,957425000000.000000,124206000000.000000,1787723000000.000000,,89264000000.000000,3520207000000.000000,5514000000.000000,102182000000.000000,3717167000000.000000,5504890000000.000000,,,885086000000.000000,308377000000.000000,,,308377000000.000000,,,15996000000.000000,132432000000.000000,,112576000000.000000,112576000000.000000,,315705000000.000000,885086000000.000000,1020540000000.000000,,586096000000.000000,586096000000.000000,,434444000000.000000,1020540000000.000000,1905626000000.000000,,217000000000.000000,165083000000.000000,3217181000000.000000,82500000000.000000,3134681000000.000000,3217181000000.000000,,,3599264000000.000000,5504890000000.000000,434000000.000000
12M 2017,,,346195000000.000000,367771000000.000000,36485000000.000000,1144420000000.000000,108450000000.000000,2003321000000.000000,,92409000000.000000,4068690000000.000000,3998000000.000000,99398000000.000000,4264495000000.000000,6267816000000.000000,,,996903000000.000000,331917000000.000000,,,331917000000.000000,,,8669000000.000000,156632000000.000000,,298484000000.000000,298484000000.000000,,201201000000.000000,996903000000.000000,1722036000000.000000,,1194366000000.000000,1194366000000.000000,,527670000000.000000,1722036000000.000000,2718939000000.000000,,217000000000.000000,165083000000.000000,3166794000000.000000,82500000000.000000,3084294000000.000000,3166794000000.000000,,,3548877000000.000000,6267816000000.000000,434000000.000000
