Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,2235021000000.000000,-1624014000000.000000,611007000000.000000,-287218000000.000000,-225863000000.000000,-39985000000.000000,1370000000.000000,-22740000000.000000,,-287218000000.000000,323789000000.000000,15368000000.000000,8606000000.000000,-1056000000.000000,7818000000.000000,15368000000.000000,339157000000.000000,-111863000000.000000,,,-111863000000.000000,227294000000.000000,,227294000000.000000,227294000000.000000,227294000000.000000,,227294000000.000000,227294000000.000000,227294000000.000000,,227294000000.000000
12M 2009,1912966000000.000000,-1601663000000.000000,311303000000.000000,-224062000000.000000,-182032000000.000000,-37144000000.000000,-4295000000.000000,-591000000.000000,,-224062000000.000000,87241000000.000000,4183000000.000000,5208000000.000000,-276000000.000000,-749000000.000000,4183000000.000000,91424000000.000000,-24131000000.000000,,,-24131000000.000000,67293000000.000000,,67293000000.000000,67293000000.000000,67293000000.000000,,67293000000.000000,67293000000.000000,67293000000.000000,,67293000000.000000
12M 2010,2426138000000.000000,-1774246000000.000000,651892000000.000000,-221421000000.000000,-190532000000.000000,-36320000000.000000,12186000000.000000,-6755000000.000000,,-221421000000.000000,430471000000.000000,8538000000.000000,8201000000.000000,,337000000.000000,8538000000.000000,439009000000.000000,-108036000000.000000,,,-108036000000.000000,330973000000.000000,,330973000000.000000,330973000000.000000,330973000000.000000,,330973000000.000000,330973000000.000000,330973000000.000000,,330973000000.000000
12M 2011,2596271000000.000000,-1919036000000.000000,677235000000.000000,-243138000000.000000,-221840000000.000000,-39646000000.000000,18161000000.000000,1361000000.000000,-1174000000.000000,-243138000000.000000,434097000000.000000,12564000000.000000,12564000000.000000,,,12564000000.000000,446661000000.000000,-109666000000.000000,,,-109666000000.000000,336995000000.000000,,336995000000.000000,336995000000.000000,336995000000.000000,,336995000000.000000,336995000000.000000,336995000000.000000,,336995000000.000000
12M 2012,2857310000000.000000,-2137698000000.000000,719612000000.000000,-270992000000.000000,-240624000000.000000,-43274000000.000000,,,12906000000.000000,-270992000000.000000,448620000000.000000,15192000000.000000,15192000000.000000,,,15192000000.000000,463812000000.000000,-117203000000.000000,,,-117203000000.000000,346609000000.000000,,346609000000.000000,346609000000.000000,346609000000.000000,,346609000000.000000,346609000000.000000,346609000000.000000,,346609000000.000000
12M 2013,3216480000000.000000,-2488570000000.000000,727910000000.000000,-298535000000.000000,-298992000000.000000,-44264000000.000000,,,44721000000.000000,-298535000000.000000,429375000000.000000,21378000000.000000,21378000000.000000,,,21378000000.000000,450753000000.000000,-112395000000.000000,,,-112395000000.000000,338358000000.000000,,338358000000.000000,338358000000.000000,338358000000.000000,,338358000000.000000,338358000000.000000,338358000000.000000,,338358000000.000000
12M 2014,3672186000000.000000,-2766551000000.000000,905635000000.000000,-349997000000.000000,-338976000000.000000,-43652000000.000000,,,32631000000.000000,-349997000000.000000,555638000000.000000,42169000000.000000,42169000000.000000,,,42169000000.000000,597807000000.000000,-139172000000.000000,,,-139172000000.000000,458635000000.000000,,458635000000.000000,458635000000.000000,458635000000.000000,,458635000000.000000,458635000000.000000,458635000000.000000,,458635000000.000000
12M 2015,3665989000000.000000,-2868674000000.000000,797315000000.000000,-368623000000.000000,-356675000000.000000,-51637000000.000000,,47558000000.000000,-7869000000.000000,-368623000000.000000,428692000000.000000,35571000000.000000,35571000000.000000,,,35571000000.000000,464263000000.000000,-122917000000.000000,,,-122917000000.000000,341346000000.000000,-17843000000.000000,323503000000.000000,341346000000.000000,341346000000.000000,,341346000000.000000,323503000000.000000,323503000000.000000,,323503000000.000000
12M 2016,3724075000000.000000,-2939551000000.000000,784524000000.000000,-433517000000.000000,-353948000000.000000,-53809000000.000000,,-26200000000.000000,440000000.000000,-433517000000.000000,351007000000.000000,-2446000000.000000,10037000000.000000,-12483000000.000000,,-2446000000.000000,348561000000.000000,-88117000000.000000,,,-88117000000.000000,260444000000.000000,-16683000000.000000,243761000000.000000,260444000000.000000,260444000000.000000,,260444000000.000000,243761000000.000000,243761000000.000000,,243761000000.000000
12M 2017,3885791000000.000000,-3298157000000.000000,587634000000.000000,-494292000000.000000,-383080000000.000000,-75247000000.000000,,-7432000000.000000,-28533000000.000000,-494292000000.000000,93342000000.000000,-29753000000.000000,2004000000.000000,-31757000000.000000,,-29753000000.000000,63589000000.000000,-25020000000.000000,,,-25020000000.000000,38569000000.000000,-54236000000.000000,-15667000000.000000,38569000000.000000,38569000000.000000,,38569000000.000000,-15667000000.000000,-15667000000.000000,,-15667000000.000000
