Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Final,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Keuntungan Atas Penjualan Entitas Asosiasi,Keuntungan (Rugi) Atas Transaksi Derivatif,Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,50390543.000000,-44610509.000000,5780034.000000,-2447394.000000,-2447394.000000,,,-2447394.000000,3332640.000000,350144.000000,-2044325.000000,88664.000000,2853363.000000,-304703.000000,5044.000000,,-181302.000000,-66597.000000,350144.000000,3682784.000000,-1575655.000000,2107129.000000,,,2107129.000000,2107129.000000,,2107129.000000,,,,
12M 2009,48909462.000000,-41839354.000000,7070108.000000,-3536145.000000,-2606237.000000,,-929908.000000,-3536145.000000,3533963.000000,724353.000000,-1856522.000000,107269.000000,3553745.000000,-57218.000000,,,,-1022921.000000,724353.000000,4258316.000000,-557140.000000,3701176.000000,,,3701176.000000,3701176.000000,,3701176.000000,,,,
12M 2010,43910968.000000,-37166041.000000,6744927.000000,-3293822.000000,-3307052.000000,,13230.000000,-3293822.000000,3451105.000000,-2359430.000000,-1413286.000000,31664.000000,710545.000000,-132851.000000,,,357862.000000,-1913364.000000,-2359430.000000,1091675.000000,-922163.000000,169512.000000,,,169512.000000,169512.000000,,169512.000000,,,,
12M 2011,49997766.000000,-46769850.000000,3227916.000000,-4517216.000000,-4451711.000000,,-65505.000000,-4517216.000000,-1289300.000000,-2183840.000000,-131208.000000,25079.000000,1164056.000000,31835.000000,,,799817.000000,-4073419.000000,-2183840.000000,-3473140.000000,-1068446.000000,-4541586.000000,147271.000000,-4394315.000000,-4541586.000000,-4541586.000000,,-4541586.000000,-4394315.000000,-4394315.000000,,-4394315.000000
12M 2012,89911956.000000,-69875635.000000,20036321.000000,-10519703.000000,-8522374.000000,,-1997329.000000,-10519703.000000,9516618.000000,-2249234.000000,-3221997.000000,92756.000000,,,,,880007.000000,,-2249234.000000,7267384.000000,-1210854.000000,6056530.000000,,6056530.000000,6056530.000000,6056530.000000,,6056530.000000,6056530.000000,6056530.000000,,6056530.000000
12M 2013,63497478.000000,-60243659.000000,3253819.000000,-5742430.000000,-7052862.000000,,1310432.000000,-5742430.000000,-2488611.000000,-2937616.000000,-4233519.000000,133915.000000,,,,,1161988.000000,,-2937616.000000,-5426227.000000,-1375053.000000,-6801280.000000,,-6801280.000000,-6801280.000000,-6801280.000000,,-6801280.000000,-6801280.000000,-6801280.000000,,-6801280.000000
12M 2014,42710733.000000,-37723603.000000,4987130.000000,-5013053.000000,-3964585.000000,,-1048468.000000,-5013053.000000,-25923.000000,-1451852.000000,-2296430.000000,39039.000000,,,,,805539.000000,,-1451852.000000,-1477775.000000,-644461.000000,-2122236.000000,,-2122236.000000,-2122236.000000,-2122236.000000,,-2122236.000000,-2122236.000000,-2122236.000000,,-2122236.000000
12M 2015,29608622.000000,-33390538.000000,-3781916.000000,-6525853.000000,-3434274.000000,,-3091579.000000,-6525853.000000,-10307769.000000,-1818322.000000,-1729837.000000,18923.000000,,,,,-107408.000000,,-1818322.000000,-12126091.000000,-48622.000000,-12174713.000000,24981.000000,-12149732.000000,-12174713.000000,-12174713.000000,,-12174713.000000,-12149732.000000,-12149732.000000,,-12149732.000000
12M 2016,21349961.000000,-26317826.000000,-4967865.000000,-4176185.000000,-3324375.000000,,-851810.000000,-4176185.000000,-9144050.000000,-3773328.000000,-1280994.000000,36397.000000,,,,,-2528731.000000,,-3773328.000000,-12917378.000000,-134370.000000,-13051748.000000,102476.000000,-12949272.000000,-13051748.000000,-13051748.000000,,-13051748.000000,-12949272.000000,-12949272.000000,,-12949272.000000
12M 2017,23401438.000000,-25782336.000000,-2380898.000000,-4127442.000000,-3588296.000000,,-539146.000000,-4127442.000000,-6508340.000000,-7347119.000000,-1397656.000000,64141.000000,,,,,-4282936.000000,-1730668.000000,-7347119.000000,-13855459.000000,-224598.000000,-14080057.000000,84216.000000,-13995841.000000,-14080057.000000,-14080057.000000,,-14080057.000000,-13995841.000000,-13995841.000000,,-13995841.000000
