Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Pajak Pertambahan Nilai,Pembayaran Pajak Penghasilan,Pembayaran Pajak Lainnya,Penerimaan Pengembalian Pajak,Penerimaan Bunga,Pembayaran Bunga Dan Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Pelunasan Penjualan Asset Untuk Dijual,Hasil Penjualan Aset Tetap,Hasil Penjualan Properti Investasi,Pencairan Investasi Sementara,Investasi Pada Obligasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Penjualan Aset Tersedia Untuk Dijual,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Tunai Anak Sebelum Akuisisioleh Entitas,Pembayaran Dividen Tunai Oleh Entitas Anak,Pembayaran Hutang Jangka Pendek,Pembayaran Pinjaman Bank,Penambahan Pinjaman Bank,Penambahan Hutang Jangka Pendek,Pembayaran Surat Hutang Dari Pihak Berelasi,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Dari Pihak Berelasi,Pembayaran Biaya Pinjaman,Pembayaran Bunga,Kas Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Selisih Kurs Penjabaran,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,10167788.000000,49217270.000000,-36510569.000000,,-674566.000000,,,88664.000000,-1953011.000000,10167788.000000,-9924162.000000,,3224396.000000,,5044.000000,,-13153602.000000,,,-9924162.000000,2091557.000000,-2715943.000000,,,-4500000.000000,9307500.000000,,,,,,,,2091557.000000,2335183.000000,,8924233.000000,11259416.000000
12M 2009,4435450.000000,47005597.000000,-39601011.000000,,-1447424.000000,,200479.000000,107269.000000,-1829460.000000,4435450.000000,-2626402.000000,,4168121.000000,,,,-6794523.000000,,,-2626402.000000,-8121826.000000,-1289826.000000,,,-9332000.000000,2500000.000000,,,,,,,,-8121826.000000,-6312778.000000,,11259416.000000,4946638.000000
12M 2010,9143219.000000,43819240.000000,-33966119.000000,,-606976.000000,,1245149.000000,31664.000000,-1379739.000000,9143219.000000,-2715654.000000,,1328775.000000,,,,-4044429.000000,,,-2715654.000000,-4442500.000000,,,-4307500.000000,-8750000.000000,8615000.000000,,,,,,,,-4442500.000000,1985065.000000,,4946638.000000,6931703.000000
12M 2011,8538322.000000,47170148.000000,-36764353.000000,,-1078278.000000,,112277.000000,25079.000000,-926551.000000,8538322.000000,-1865213.000000,,1332926.000000,,,,-3198139.000000,,,-1865213.000000,-9918000.000000,,,-5000000.000000,-14418000.000000,,,9500000.000000,,,,,,-9918000.000000,-3244891.000000,,6931703.000000,3686812.000000
12M 2012,38053707.000000,102560532.000000,-64225208.000000,,-1160885.000000,,1163666.000000,92756.000000,-377154.000000,38053707.000000,-2372270.000000,,7094123.000000,,,,-9466393.000000,,,-2372270.000000,-36091904.000000,-12000000.000000,,,-6972143.000000,20000000.000000,,-30000000.000000,,-3000000.000000,-450898.000000,,-3668863.000000,-36091904.000000,-410467.000000,,23515174.000000,23104707.000000
12M 2013,12602139.000000,71162669.000000,-56200546.000000,,-1479479.000000,,,133915.000000,-1014420.000000,12602139.000000,-12578850.000000,,2053780.000000,,,,-14632630.000000,,,-12578850.000000,-13755658.000000,,-288100.000000,,-17142857.000000,,,,,,,,3675299.000000,-13755658.000000,-13732369.000000,,23104707.000000,9372338.000000
12M 2014,7241750.000000,41677304.000000,-33096769.000000,,-639424.000000,,-710200.000000,39039.000000,-28200.000000,7241750.000000,-2625395.000000,,37530.000000,,,,-2662925.000000,,,-2625395.000000,-6960937.000000,,-67000.000000,,,,,-5670000.000000,,-1300000.000000,,,76063.000000,-6960937.000000,-2344582.000000,,9372333.000000,7027751.000000
12M 2015,5842038.000000,26776860.000000,-20619070.000000,,-334675.000000,,,18923.000000,,5842038.000000,-2734722.000000,,183823.000000,,,,-2918545.000000,,,-2734722.000000,-6314556.000000,,,,,,,-2400000.000000,,-4180000.000000,,,265444.000000,-6314556.000000,-3207240.000000,,7027756.000000,3820516.000000
12M 2016,8268146.000000,28061256.000000,-17738035.000000,,-342330.000000,,,36397.000000,-1749142.000000,8268146.000000,-3926670.000000,,4694.000000,,,,-3931364.000000,,,-3926670.000000,-1257933.000000,,,,-1500000.000000,20000000.000000,,-18930000.000000,,-520000.000000,-617941.000000,,310008.000000,-1257933.000000,3083543.000000,,3820516.000000,6904059.000000
12M 2017,22136.000000,22398602.000000,-20953156.000000,,-316047.000000,,,64141.000000,-1171404.000000,22136.000000,-132291.000000,,1931997.000000,,,,-2064288.000000,,,-132291.000000,-3962435.000000,,,,-4000000.000000,,,,,,,,37565.000000,-3962435.000000,-4072590.000000,,6904059.000000,2831469.000000
12M 2018,7744860.000000,30051536.000000,-21148435.000000,,-15101.000000,,,2273.000000,-1145413.000000,7744860.000000,-1325338.000000,,4518.000000,1118486.000000,,,-2645340.000000,,196998.000000,-1325338.000000,-5400000.000000,,,,-5400000.000000,,,,,,,,,-5400000.000000,1019522.000000,,2831469.000000,3850991.000000
12M 2019,5610874.000000,27088253.000000,-20772220.000000,,-10893.000000,,,1099.000000,-695365.000000,5610874.000000,1336069.000000,2803002.000000,,,,,-1466933.000000,,,1336069.000000,-6500000.000000,,,,-6500000.000000,,,,,,,,,-6500000.000000,446943.000000,,3850991.000000,4297934.000000
12M 2020,5480177.000000,18000090.000000,-12238402.000000,,-282956.000000,,,1445.000000,,5480177.000000,-5425780.000000,,320593.000000,,,,-5746373.000000,,,-5425780.000000,,,,,,,,,,,,,,,54397.000000,,,54397.000000
12M 2021,6862768.000000,20991751.000000,-13964565.000000,,-162330.000000,,,6397.000000,-8485.000000,6862768.000000,-3633773.000000,5172.000000,,,,,-4718945.000000,,1080000.000000,-3633773.000000,,,,,,,,,,,,,,,3228995.000000,,2639740.000000,5868735.000000
