Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Pada Entitas Pengendalian Bersama,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Tak Berwujud,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Others,Total Utang Pajak,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Liabilitas Swap Bunga,Liabilitas Derivatif,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Dari Pihak Berelasi,Surat Hutang,Utang Bank Jangka Panjang,Liabilitas Swap Bunga,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,11259416.000000,14512427.000000,255436.000000,14256991.000000,14512427.000000,1856308.000000,52867.000000,1803441.000000,1856308.000000,1936476.000000,1733682.000000,31298309.000000,,2738.000000,,247.000000,247.000000,,247.000000,,,,,6573646.000000,,66964107.000000,644573.000000,74185311.000000,105483620.000000,,,21594628.000000,,483811.000000,1681017.000000,2164828.000000,1049559.000000,,1049559.000000,,79929.000000,2199411.000000,2279340.000000,,793401.000000,,,9307500.000000,6000000.000000,,21594628.000000,20848257.000000,,,19500000.000000,806924.000000,,541333.000000,20848257.000000,42442885.000000,,25550755.000000,3145973.000000,35604961.000000,2131062.000000,33473899.000000,35604961.000000,-1260954.000000,63040735.000000,105483620.000000,609130000.000000
12M 2009,,,4946636.000000,15498348.000000,47697.000000,15450651.000000,15498348.000000,3309876.000000,1340389.000000,1969487.000000,3309876.000000,1039170.000000,1543346.000000,26337376.000000,,17575.000000,,7491.000000,7491.000000,,7491.000000,,,,,4694726.000000,,67471738.000000,3568156.000000,75759686.000000,102097062.000000,,,23455838.000000,,263715.000000,3237359.000000,3501074.000000,385718.000000,,385718.000000,,21137.000000,2688101.000000,2709238.000000,,802308.000000,,,9307500.000000,6750000.000000,,23455838.000000,12682142.000000,,,11918000.000000,337479.000000,,426663.000000,12682142.000000,36137980.000000,,25550755.000000,3145973.000000,38062769.000000,2118202.000000,35944567.000000,38062769.000000,-800415.000000,65959082.000000,102097062.000000,609130000.000000
12M 2010,,,6931703.000000,12149250.000000,344149.000000,11805101.000000,12149250.000000,1667781.000000,145850.000000,1521931.000000,1667781.000000,1282316.000000,1705821.000000,23736871.000000,,3835.000000,6131368.000000,1644396.000000,1675.000000,1642721.000000,1644396.000000,,,,,2815806.000000,,63055438.000000,537673.000000,74188516.000000,97925387.000000,,,30651029.000000,,435520.000000,3409954.000000,3845474.000000,470181.000000,,470181.000000,,10419.000000,2305312.000000,2315731.000000,,486643.000000,,,5000000.000000,18533000.000000,,30651029.000000,492620.000000,,,,,,492620.000000,492620.000000,31143649.000000,,25550755.000000,3145973.000000,38232281.000000,2118202.000000,36114079.000000,38232281.000000,-147271.000000,66781738.000000,97925387.000000,609130000.000000
12M 2011,,,3686812.000000,14976868.000000,954331.000000,14022537.000000,14976868.000000,2255904.000000,53147.000000,2202757.000000,2255904.000000,1903519.000000,2724857.000000,25547960.000000,,2140.000000,6397128.000000,25944.000000,25944.000000,,25944.000000,,,,,940318.000000,,56149402.000000,20568.000000,63535500.000000,89083460.000000,,,18635160.000000,,653200.000000,8198329.000000,8851529.000000,482833.000000,,482833.000000,,139703.000000,3046095.000000,3185798.000000,,,,2000000.000000,,4115000.000000,,18635160.000000,8060877.000000,7500000.000000,,,,,560877.000000,8060877.000000,26696037.000000,,25550755.000000,3145973.000000,33690695.000000,2118202.000000,31572493.000000,33690695.000000,,62387423.000000,89083460.000000,609130000.000000
12M 2012,,,23104707.000000,19632769.000000,5350.000000,19627419.000000,19632769.000000,921812.000000,2722.000000,919090.000000,921812.000000,1811952.000000,6581678.000000,52052918.000000,,2485.000000,6759084.000000,,,,,22129.000000,22129.000000,,22129.000000,,,108412537.000000,313721.000000,115509956.000000,167562874.000000,,,28188222.000000,9720224.000000,,,9720224.000000,,361838.000000,361838.000000,2429976.000000,,,2429976.000000,4301135.000000,,,,,11076627.000000,298422.000000,28188222.000000,39317122.000000,33000000.000000,,5659685.000000,,,657437.000000,39317122.000000,67505344.000000,,25550755.000000,3145973.000000,34669644.000000,2118202.000000,32551442.000000,34669644.000000,36691158.000000,100057530.000000,167562874.000000,609130000.000000
12M 2013,,,9372338.000000,12523360.000000,2675.000000,12520685.000000,12523360.000000,3878010.000000,1184.000000,3876826.000000,3878010.000000,1223565.000000,6047884.000000,33045157.000000,,339.000000,7374538.000000,,,,,16812.000000,16812.000000,,16812.000000,,387132.000000,103353513.000000,26061.000000,111158395.000000,144203552.000000,,,17525424.000000,8125708.000000,,,8125708.000000,,861026.000000,861026.000000,5177190.000000,,,5177190.000000,2858917.000000,,,,,,502583.000000,17525424.000000,33709978.000000,33000000.000000,,,,,709978.000000,33709978.000000,51235402.000000,,25550755.000000,39837131.000000,27580264.000000,2118202.000000,25462062.000000,27580264.000000,,92968150.000000,144203552.000000,609130000.000000
12M 2014,,,7027756.000000,13556794.000000,2500.000000,13554294.000000,13556794.000000,4058546.000000,7992.000000,4050554.000000,4058546.000000,715727.000000,5930317.000000,31289140.000000,,993.000000,8177548.000000,,,,,63150.000000,63150.000000,,63150.000000,,383054.000000,93358242.000000,244486.000000,102227473.000000,133516613.000000,,,16009909.000000,6746247.000000,,,6746247.000000,,285204.000000,285204.000000,7580078.000000,,,7580078.000000,1071843.000000,,,,,,326537.000000,16009909.000000,26727785.000000,26030000.000000,,,,,697785.000000,26727785.000000,42737694.000000,,25550755.000000,39837131.000000,25391033.000000,2118202.000000,23272831.000000,25391033.000000,,90778919.000000,133516613.000000,609130000.000000
12M 2015,,,3820516.000000,14623752.000000,,14623752.000000,14623752.000000,916706.000000,21264.000000,895442.000000,916706.000000,601965.000000,5285724.000000,25248663.000000,,71.000000,8233148.000000,,,,,62620.000000,62620.000000,,62620.000000,,383054.000000,84764195.000000,22603.000000,93465691.000000,118714354.000000,,,19810616.000000,9122863.000000,,,9122863.000000,,306222.000000,306222.000000,9303528.000000,,,9303528.000000,918712.000000,,,,,,159291.000000,19810616.000000,20274551.000000,19450000.000000,,,,,824551.000000,20274551.000000,40085167.000000,,25550755.000000,39837131.000000,13241301.000000,2118202.000000,11123099.000000,13241301.000000,,78629187.000000,118714354.000000,609130000.000000
12M 2016,,,6904059.000000,7187216.000000,2500.000000,7184716.000000,7187216.000000,1326825.000000,380239.000000,946586.000000,1326825.000000,1013162.000000,1502330.000000,17933592.000000,,725.000000,6013604.000000,,,,,30618.000000,30618.000000,,30618.000000,,383054.000000,76399746.000000,20031.000000,82847778.000000,100781370.000000,,,34229410.000000,4782896.000000,,,4782896.000000,,608986.000000,608986.000000,8682053.000000,,,8682053.000000,1966324.000000,,,,,17990550.000000,198601.000000,34229410.000000,872045.000000,,,,,,872045.000000,872045.000000,35101455.000000,,25550755.000000,39837131.000000,292029.000000,2118202.000000,-1826173.000000,292029.000000,,65679915.000000,100781370.000000,609130000.000000
12M 2017,,,2831469.000000,8074681.000000,717187.000000,7357494.000000,8074681.000000,1735264.000000,632008.000000,1103256.000000,1735264.000000,1100973.000000,587216.000000,14329603.000000,,584.000000,,,,,,33446.000000,33446.000000,,33446.000000,,383054.000000,63959203.000000,1397103.000000,65773390.000000,80102993.000000,,,27529497.000000,7566211.000000,,,7566211.000000,,586719.000000,586719.000000,4545550.000000,,,4545550.000000,614215.000000,,,,,14216802.000000,,27529497.000000,889422.000000,,,,,,889422.000000,889422.000000,28418919.000000,,25550755.000000,39837131.000000,-13703812.000000,2118202.000000,-15822014.000000,-13703812.000000,,51684074.000000,80102993.000000,609130000.000000
12M 2018,,,3850991.000000,6534140.000000,756023.000000,5778117.000000,6534140.000000,1107236.000000,756237.000000,350999.000000,1107236.000000,1427652.000000,5400342.000000,18320361.000000,,453.000000,,,,,,8049.000000,8049.000000,,8049.000000,,,45005214.000000,46819.000000,45060535.000000,63380896.000000,,,19251818.000000,5246153.000000,,,5246153.000000,,793528.000000,793528.000000,2651428.000000,,,2651428.000000,1283692.000000,,,,,8948803.000000,328214.000000,19251818.000000,861641.000000,,,,,,861641.000000,861641.000000,20113459.000000,,25550755.000000,39837131.000000,-22120449.000000,2118202.000000,-24238651.000000,-22120449.000000,,43267437.000000,63380896.000000,609130000.000000
12M 2019,,,4297934.000000,4796356.000000,715673.000000,4080683.000000,4796356.000000,900361.000000,546433.000000,353928.000000,900361.000000,1225006.000000,1419025.000000,12638682.000000,,453.000000,,,,,,7237.000000,7237.000000,,7237.000000,,,39313081.000000,1686491.000000,41007262.000000,53645944.000000,,,7753189.000000,2859898.000000,,,2859898.000000,,304266.000000,304266.000000,921362.000000,,,921362.000000,1048879.000000,,,,2561904.000000,,56880.000000,7753189.000000,848263.000000,,,,,,848263.000000,848263.000000,8601452.000000,,25550755.000000,39837131.000000,-20343394.000000,2118202.000000,-22461596.000000,-20343394.000000,,45044492.000000,53645944.000000,609130000.000000
12M 2020,,,2639740.000000,3185096.000000,,3185096.000000,3185096.000000,213700.000000,61497.000000,152203.000000,213700.000000,1021566.000000,3599000.000000,10659102.000000,,453.000000,,,,,,,,,,,,31990685.000000,20385.000000,32011523.000000,42670625.000000,,,2829357.000000,,1235.000000,1453238.000000,1454473.000000,405837.000000,,405837.000000,,137195.000000,161813.000000,299008.000000,670039.000000,,,,,,,2829357.000000,696827.000000,,,,,,696827.000000,696827.000000,3526184.000000,,25550755.000000,39837131.000000,-26243445.000000,2118202.000000,-28361647.000000,-26243445.000000,,39144441.000000,42670625.000000,609130000.000000
