Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Provisi Dan Komisi,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Keuntungan Transaksi Mata Uang Asing,Keuntungan Penjualan Efek-Efek,Pemulihan Cadangan Kerugian Penurunan Nilai Aset Keuangan,Pemulihan Kerugian Atas Aset Non-Produktif,Pemulihan Estimasi Kerugian Komitmen Dan Kontinjensi,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,126819333274.000000,122778551020.000000,4040782254.000000,126819333274.000000,-69459707546.000000,-67538074712.000000,-1921632834.000000,-69459707546.000000,57359625728.000000,-27131830070.000000,,2915445298.000000,2500843085.000000,,-2962056406.000000,,-120794467.000000,1023367288.000000,3356804798.000000,,-17685879295.000000,-12802755573.000000,-30488634868.000000,-27131830070.000000,30227795658.000000,-30404030.000000,,-30404030.000000,-30404030.000000,30197391628.000000,-10976001498.000000,-10976001498.000000,,,-10976001498.000000,19221390130.000000,,,,,19221390130.000000,19221390130.000000,,19221390130.000000,,,,
12M 2009,159217148142.000000,154320388602.000000,4896759540.000000,159217148142.000000,-84719952367.000000,-82499531534.000000,-2220420833.000000,-84719952367.000000,74497195775.000000,-24021200848.000000,,3945290615.000000,3163725074.000000,73243244.000000,-1848624344.000000,77214391.000000,-4857387.000000,1324930370.000000,6730921963.000000,,-18429536189.000000,-12322586622.000000,-30752122811.000000,-24021200848.000000,50475994927.000000,164723695.000000,94479794.000000,70243901.000000,164723695.000000,50640718622.000000,-13690471899.000000,-13690471899.000000,,,-13690471899.000000,36950246723.000000,,,,,36950246723.000000,36950246723.000000,,36950246723.000000,,,,
12M 2010,167356311294.000000,167105702949.000000,250608345.000000,167356311294.000000,-81993761170.000000,-79423964503.000000,-2569796667.000000,-81993761170.000000,85362550124.000000,-37120823458.000000,,6430728774.000000,2121639280.000000,34967850.000000,-8630322275.000000,90776925.000000,-1268236619.000000,519576395.000000,-700869670.000000,,-21129852357.000000,-15290101431.000000,-36419953788.000000,-37120823458.000000,48241726666.000000,-174624748.000000,162999996.000000,-337624744.000000,-174624748.000000,48067101918.000000,-12974986045.000000,-12974986045.000000,,,-12974986045.000000,35092115873.000000,,,,,35092115873.000000,35092115873.000000,,35092115873.000000,,,,
12M 2011,177633691334.000000,177328356827.000000,305334507.000000,177633691334.000000,-81127327254.000000,-78367012228.000000,-2760315026.000000,-81127327254.000000,96506364080.000000,-31475106870.000000,,7675202264.000000,5877206402.000000,,-7735958689.000000,104423075.000000,1510990833.000000,527126313.000000,7958990198.000000,,-23844484925.000000,-15589612143.000000,-39434097068.000000,-31475106870.000000,65031257210.000000,-489740434.000000,,-489740434.000000,-489740434.000000,64541516776.000000,-16469247097.000000,-16469247097.000000,,,-16469247097.000000,48072269679.000000,-335183115.000000,-335183115.000000,-335183115.000000,47737086564.000000,48072269679.000000,48072269679.000000,,48072269679.000000,47737086564.000000,47737086564.000000,,47737086564.000000
12M 2012,203913520703.000000,203775380991.000000,138139712.000000,203913520703.000000,-106250963452.000000,-102436945898.000000,-3814017554.000000,-106250963452.000000,97662557251.000000,-23824736417.000000,,8273865284.000000,5596774084.000000,,9414359130.000000,,,502119875.000000,23787118373.000000,,-28739952570.000000,-18871902220.000000,-47611854790.000000,-23824736417.000000,73837820834.000000,83927685.000000,55999999.000000,27927686.000000,83927685.000000,73921748519.000000,-18925507282.000000,-18925507282.000000,,,-18925507282.000000,54996241237.000000,-367477832.000000,-367477832.000000,-367477832.000000,54628763405.000000,54996241237.000000,54996241237.000000,,54996241237.000000,54628763405.000000,54628763405.000000,,54628763405.000000
12M 2013,275920901945.000000,275180754854.000000,740147091.000000,275920901945.000000,-134876471785.000000,-130350405096.000000,-4526066689.000000,-134876471785.000000,141044430160.000000,-31042237189.000000,,12760005305.000000,16214262432.000000,,-5812477851.000000,,,543233461.000000,23705023347.000000,,-32868583000.000000,-21878677536.000000,-54747260536.000000,-31042237189.000000,110002192971.000000,-418813326.000000,315949030.000000,-734762356.000000,-418813326.000000,109583379645.000000,-28088033405.000000,-28088033405.000000,,,-28088033405.000000,81495346240.000000,-402891197.000000,-402891197.000000,-402891197.000000,81092455043.000000,81495346240.000000,81495346240.000000,,81495346240.000000,81092455043.000000,81092455043.000000,,81092455043.000000
12M 2014,441364686582.000000,440007442022.000000,1357244560.000000,441364686582.000000,-266672931215.000000,-260234930064.000000,-6438001151.000000,-266672931215.000000,174691755367.000000,-32660095612.000000,,17593747583.000000,15721347754.000000,,-5910728779.000000,,,782862140.000000,28187228698.000000,,-35846735712.000000,-25000588598.000000,-60847324310.000000,-32660095612.000000,142031659755.000000,-9174039.000000,281220922.000000,-290394961.000000,-9174039.000000,142022485716.000000,-35854755718.000000,-35854755718.000000,,,-35854755718.000000,106167729998.000000,-441725114.000000,-441725114.000000,-441725114.000000,105726004884.000000,106167729998.000000,106167729998.000000,,106167729998.000000,105726004884.000000,105726004884.000000,,105726004884.000000
12M 2015,553935599657.000000,552414395187.000000,1521204470.000000,553935599657.000000,-364277024169.000000,-355160899253.000000,-9116124916.000000,-364277024169.000000,189658575488.000000,-235403307016.000000,,13460480998.000000,10687119483.000000,,-197497235808.000000,,,1028660029.000000,-172320975298.000000,,-36126734284.000000,-26955597434.000000,-63082331718.000000,-235403307016.000000,-45744731528.000000,-1856500322.000000,116400000.000000,-1972900322.000000,-1856500322.000000,-47601231850.000000,2933188355.000000,,2933188355.000000,,2933188355.000000,-44668043495.000000,119187463094.000000,119187463094.000000,119187463094.000000,74519419599.000000,-44668043495.000000,-44668043495.000000,,-44668043495.000000,74519419599.000000,74519419599.000000,,74519419599.000000
12M 2016,408092048733.000000,406669396636.000000,1422652097.000000,408092048733.000000,-247803476655.000000,-240470691104.000000,-7332785551.000000,-247803476655.000000,160288572078.000000,-734281791261.000000,,7915818780.000000,1306967259.000000,,-678723632333.000000,,,768657737.000000,-668732188557.000000,,-34101703491.000000,-31447899213.000000,-65549602704.000000,-734281791261.000000,-573993219183.000000,-1051080695.000000,686572698.000000,-1737653393.000000,-1051080695.000000,-575044299878.000000,70042276830.000000,70042276830.000000,,,70042276830.000000,-505002023048.000000,-1670023264.000000,-1670023264.000000,-1670023264.000000,-506672046312.000000,-505002023048.000000,-505002023048.000000,,-505002023048.000000,-506672046312.000000,-506672046312.000000,,-506672046312.000000
12M 2017,298694462217.000000,298478954361.000000,215507856.000000,298694462217.000000,-180564321313.000000,-174699121409.000000,-5865199904.000000,-180564321313.000000,118130140904.000000,-162858462511.000000,,7683755315.000000,3297467112.000000,,-100639223078.000000,,,3426655945.000000,-86231344706.000000,,-42866738077.000000,-33760379728.000000,-76627117805.000000,-162858462511.000000,-44728321607.000000,-103041065308.000000,403199989.000000,-103444265297.000000,-103041065308.000000,-147769386915.000000,20684449601.000000,,21287335371.000000,-602885770.000000,20684449601.000000,-127084937314.000000,-14960569223.000000,-14960569223.000000,-14960569223.000000,-142045506537.000000,-127084937314.000000,-127084937314.000000,,-127084937314.000000,-142045506537.000000,-142045506537.000000,,-142045506537.000000
