Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Yang Diberikan,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Aset Tetap,Others,Total Aset Tetap,Aset Tak Berwujud,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Aset Pajak Tangguhan,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Liabilitas Akseptasi,Utang Pajak,Beban Akrual,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,14325314041.000000,48704391009.000000,206095396123.000000,,860909612346.000000,33090039433.000000,827819572913.000000,860909612346.000000,,860909612346.000000,14201346701.000000,,,14201346701.000000,,,,,2043077436.000000,,213601186022.000000,1359880323678.000000,,,2796323391.000000,1053812210161.000000,40988511938.000000,1012823698223.000000,1053812210161.000000,337753578.000000,248513948.000000,89239630.000000,337753578.000000,809050000.000000,,4552474154.000000,4526873846.000000,,10372764511.000000,1077207449641.000000,,173600000000.000000,28902005054.000000,,28902005054.000000,80170868983.000000,10000000000.000000,70170868983.000000,80170868983.000000,,282672874037.000000,1359880323678.000000,868000000.000000
12M 2009,,14415393200.000000,148346392295.000000,51879013991.000000,,967683852018.000000,50724482940.000000,916959369078.000000,967683852018.000000,,967683852018.000000,13485769061.000000,,,13485769061.000000,,,,,1979335297.000000,,339588007797.000000,1537377763659.000000,,,2142261152.000000,1210110595931.000000,28313005896.000000,1181797590035.000000,1210110595931.000000,1131216397.000000,23675845.000000,1107540552.000000,1131216397.000000,270050000.000000,541816226.000000,4344727253.000000,4283732045.000000,,12074743895.000000,1234899142899.000000,,173600000000.000000,28902005054.000000,,28902005054.000000,99761115706.000000,10000000000.000000,89761115706.000000,99761115706.000000,215500000.000000,302478620760.000000,1537377763659.000000,868000000.000000
12M 2010,,14790932333.000000,103875409526.000000,114600905710.000000,,1050806763120.000000,29443415253.000000,1021363347867.000000,1050806763120.000000,,1050806763120.000000,16204045639.000000,,,16204045639.000000,,,,,2330446002.000000,,267723267159.000000,1570331769489.000000,,,1185334007.000000,1226475305026.000000,31026071913.000000,1195449233113.000000,1226475305026.000000,800658142.000000,4332167.000000,796325975.000000,800658142.000000,158145000.000000,2784365408.000000,2219973891.000000,,,17992750864.000000,1251616532338.000000,,173600000000.000000,28902005054.000000,,28902005054.000000,113801916843.000000,14000000000.000000,99801916843.000000,113801916843.000000,2411315254.000000,318715237151.000000,1570331769489.000000,868000000.000000
12M 2011,,20340893383.000000,250194185152.000000,193975759090.000000,,1413686738871.000000,104546675932.000000,1309140062939.000000,1413686738871.000000,,1413686738871.000000,18345887349.000000,,,18345887349.000000,,,,,2722849339.000000,,181161426031.000000,2080427739215.000000,,,5277511446.000000,1675844627534.000000,98981087412.000000,1576863540122.000000,1675844627534.000000,2004597325.000000,59351753.000000,1945245572.000000,2004597325.000000,1812572540.000000,23439611582.000000,5217011220.000000,,,20343483853.000000,1733939415500.000000,,173600000000.000000,28902005054.000000,,28902005054.000000,141910186522.000000,15000000000.000000,126910186522.000000,141910186522.000000,2076132139.000000,346488323715.000000,2080427739215.000000,868000000.000000
12M 2012,,17224002600.000000,225515221383.000000,247972459745.000000,,1825422913747.000000,148053493545.000000,1677369420202.000000,1825422913747.000000,,1825422913747.000000,17687207988.000000,,,17687207988.000000,,155593808.000000,,155593808.000000,3217057195.000000,,203546537444.000000,2540740993910.000000,,,19546902909.000000,1972256325029.000000,139252164244.000000,1833004160785.000000,1972256325029.000000,85134711980.000000,57842029720.000000,27292682260.000000,85134711980.000000,316894137.000000,26054150690.000000,5462651537.000000,,,58200270508.000000,2166971906790.000000,,173600000000.000000,28902005054.000000,,28902005054.000000,169558427759.000000,16000000000.000000,153558427759.000000,169558427759.000000,1708654307.000000,373769087120.000000,2540740993910.000000,868000000.000000
12M 2013,,25103372800.000000,338262360588.000000,207982755509.000000,,2547310331425.000000,154115070178.000000,2393195261247.000000,2547310331425.000000,,2547310331425.000000,20100511016.000000,,,20100511016.000000,,231685739.000000,,231685739.000000,3624773240.000000,,458720076301.000000,3601335866618.000000,,,5600437879.000000,2740214130089.000000,110500451592.000000,2629713678497.000000,2740214130089.000000,245223341350.000000,220480811282.000000,24742530068.000000,245223341350.000000,4026088228.000000,114034185030.000000,8685389383.000000,,,28690752496.000000,3146474324455.000000,,173600000000.000000,28902005054.000000,,28902005054.000000,251053773999.000000,18000000000.000000,233053773999.000000,251053773999.000000,1305763110.000000,454861542163.000000,3601335866618.000000,868000000.000000
12M 2014,,25900713185.000000,344063686309.000000,236971738195.000000,,3157426950171.000000,132750753976.000000,3024676196195.000000,3157426950171.000000,-27559967326.000000,3129866982845.000000,,55159829137.000000,-29307547394.000000,25852281743.000000,,1528242527.000000,-1351924495.000000,176318032.000000,4200289162.000000,,1432152609158.000000,5199184618629.000000,,,426963541635.000000,3585345484205.000000,93272052550.000000,3492073431655.000000,3585345484205.000000,440369178489.000000,375788175019.000000,64581003470.000000,440369178489.000000,3410617011.000000,130151656834.000000,10145662316.000000,,,42210931092.000000,4638597071582.000000,,173600000000.000000,28902005054.000000,,28902005054.000000,357221503997.000000,18000000000.000000,339221503997.000000,357221503997.000000,864037996.000000,560587547047.000000,5199184618629.000000,868000000.000000
12M 2015,,13519538000.000000,409940362071.000000,78963813780.000000,,3592787460232.000000,192929084207.000000,3399858376025.000000,3592787460232.000000,-191332047488.000000,3401455412744.000000,144833690197.000000,,,144833690197.000000,4847557714.000000,,,4847557714.000000,,,2033922406233.000000,6087482780739.000000,,,9576669338.000000,4378123136999.000000,278144135429.000000,4099979001570.000000,4378123136999.000000,442826224804.000000,418508662132.000000,24317562672.000000,442826224804.000000,1585522944.000000,99866533741.000000,6188184776.000000,,1806149085.000000,32622306360.000000,4972594728047.000000,,208320000000.000000,478301320814.000000,,478301320814.000000,312772558726.000000,20000000000.000000,292772558726.000000,312772558726.000000,115494173152.000000,1114888052692.000000,6087482780739.000000,1041600000.000000
12M 2016,,8736913370.000000,234751556085.000000,118973564367.000000,,2500162612061.000000,65757882389.000000,2434404729672.000000,2500162612061.000000,-308214862425.000000,2191947749636.000000,,163180724673.000000,-21259275660.000000,141921449013.000000,,7277315587.000000,-4476133741.000000,2801181846.000000,68642299894.000000,,1538298835688.000000,4306073549899.000000,,,3228712059.000000,3023224858960.000000,31048415388.000000,2992176443572.000000,3023224858960.000000,111117902985.000000,98641789986.000000,12476112999.000000,111117902985.000000,31666410.000000,33585350185.000000,3522954897.000000,,,23146098023.000000,3197857543519.000000,,208320000000.000000,478301320814.000000,,478301320814.000000,-192229464322.000000,20000000000.000000,-212229464322.000000,-192229464322.000000,613824149888.000000,1108216006380.000000,4306073549899.000000,1041600000.000000
12M 2017,,13001601065.000000,274386548748.000000,730976090307.000000,,2152865502315.000000,147557096717.000000,2005308405598.000000,2152865502315.000000,-51115519598.000000,2101749982717.000000,,149161502517.000000,-22902773678.000000,126258728839.000000,,8730466462.000000,-5779907607.000000,2950558855.000000,91116544177.000000,,1146888807265.000000,4487328861973.000000,,,4300210728.000000,3176063922890.000000,197937378471.000000,2978126544419.000000,3176063922890.000000,120657220151.000000,57926412146.000000,62730808005.000000,120657220151.000000,4924043.000000,30738694654.000000,4317185375.000000,,,30010608395.000000,3366092766236.000000,,274712629400.000000,1036384635140.000000,,1036384635140.000000,-319314401638.000000,20000000000.000000,-339314401638.000000,-319314401638.000000,129453232835.000000,1121236095737.000000,4487328861973.000000,1373563147.000000
