Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi",Pendapatan Operasional Lainnya,"Pembayaran Bunga, Provisi Dan Komisi",Tenaga Kerja Dan Tunjangan,"Umum, Administrasi, Pemeliharaan Dan Perbaikan",Pendapatan (Beban) Non-Operasional,Pembayaran Beban Pajak,Penurunan (Kenaikan) Aset Operasi:,Penempatan Pada Bank Indonesia Dan Bank Lain,Kredit,Aset Lain-Lain,Total Penurunan (Kenaikan) Aset Operasi:,Kenaikan (Penurunan) Liabilitas Operasi :,Liabilitas Segera,Simpanan,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan (Kenaikan) Efek Yang Dimiliki Hingga Jatuh Tempo,Penurunan (Penambahan) Efek Yang Dibeli Dengan Janji Dijual Kembali,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penawaran Umum Saham,Pembayaran Liabilitas Sewa,Dana Setoran Modal,Tambahan Modal Disetor,Biaya Emisi Saham,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-337621778582.000000,125952284275.000000,730752432.000000,-67613224992.000000,-15579960887.000000,-13199085687.000000,-30404030.000000,-6438159901.000000,,-154536728901.000000,-254373424439.000000,319401036.000000,-408590752304.000000,,2218687333.000000,44972859654.000000,-44774475.000000,47146772512.000000,-337621778582.000000,180839714192.000000,181115064767.000000,,,-275350575.000000,180839714192.000000,138798056100.000000,,,138798056100.000000,,,,138798056100.000000,-17984008290.000000,100621093875.000000,6191514129.000000,88828599714.000000
12M 2009,237593525820.000000,158366308871.000000,6363355325.000000,-84913880307.000000,-17327343337.000000,-9374290132.000000,70243901.000000,-13633219960.000000,,154442382132.000000,-112124481847.000000,-720797492.000000,41597102793.000000,,-654062239.000000,157091848590.000000,7462315.000000,156445248666.000000,237593525820.000000,-138823204220.000000,-137660288740.000000,,168930000.000000,-1331845480.000000,-138823204220.000000,-17360000000.000000,,,,,,-17360000000.000000,-17360000000.000000,81410321600.000000,88828599714.000000,1720427466.000000,171959348780.000000
12M 2010,-44080640757.000000,175211546786.000000,3791176581.000000,-86501674136.000000,-19681455970.000000,-13450866489.000000,-337624744.000000,-15270936973.000000,,,-91449618715.000000,-15885110023.000000,-107334728738.000000,,-956927145.000000,16034150839.000000,4416699232.000000,19493922926.000000,-44080640757.000000,-24013143412.000000,-19604605442.000000,,163000000.000000,-4571537970.000000,-24013143412.000000,-20832000000.000000,,,,,,-20832000000.000000,-20832000000.000000,-88925784169.000000,458223073377.000000,-148611161.000000,369148678047.000000
12M 2011,145819075171.000000,177770798230.000000,20631782946.000000,-80813448147.000000,-23844484927.000000,-24970233853.000000,-342644593.000000,-16861650434.000000,,,-364175111512.000000,-49509833699.000000,-413684945211.000000,,4092177439.000000,450573261691.000000,53268462030.000000,507933901160.000000,145819075171.000000,3970323734.000000,8178732567.000000,,,-4208408833.000000,3970323734.000000,-19964000000.000000,,,,,,-19964000000.000000,-19964000000.000000,129825398905.000000,369148678047.000000,147095841.000000,499121172793.000000
12M 2012,57784500159.000000,202785993484.000000,19511424971.000000,-100812768060.000000,-26763121147.000000,-29051297735.000000,27927684.000000,-19419715138.000000,,,-399664469738.000000,-21052809018.000000,-420717278756.000000,,97399506118.000000,296411697495.000000,38412131243.000000,432223334856.000000,57784500159.000000,-15789641817.000000,-14016005309.000000,,56000000.000000,-1829636508.000000,-15789641817.000000,-27348000000.000000,,,,,,-27348000000.000000,-27348000000.000000,14646858342.000000,499121172793.000000,5363073682.000000,519131104817.000000
12M 2013,225500104532.000000,272886695614.000000,17147474803.000000,-126771833673.000000,-32868583000.000000,-26531360644.000000,-784995733.000000,-23605175877.000000,,,-731030682935.000000,-93092789730.000000,-824123472665.000000,,-7160647181.000000,767957805060.000000,209354197828.000000,970151355707.000000,225500104532.000000,-167863614363.000000,-162539871141.000000,,523490000.000000,-5847233222.000000,-167863614363.000000,,,,,,,,,57636490169.000000,519131104817.000000,16319843988.000000,593087438974.000000
12M 2014,919622766148.000000,413762001985.000000,26698717425.000000,-255957854286.000000,-33544672024.000000,-28613021316.000000,-290394961.000000,-36980200388.000000,,,-588107900697.000000,-56557719734.000000,-644665620431.000000,,421363103756.000000,845131354116.000000,212719352272.000000,1479213810144.000000,919622766148.000000,-484322949918.000000,-475972358578.000000,,362750000.000000,-8713341340.000000,-484322949918.000000,,,,,,,,,435299816230.000000,593087438974.000000,14607221749.000000,1042994476953.000000
12M 2015,-115558924161.000000,544468452386.000000,19974496604.000000,-361435272145.000000,-50874043802.000000,-24818649330.000000,-1971535381.000000,-28104774789.000000,,,-435360510061.000000,-154955625794.000000,-590316135855.000000,,-417386872296.000000,792777652794.000000,2127757653.000000,377518538151.000000,-115558924161.000000,-838577280902.000000,-836556092821.000000,,116399865.000000,-2137587946.000000,-838577280902.000000,484119315760.000000,484119315760.000000,,,,,,484119315760.000000,-470016889303.000000,1042994476953.000000,13107738830.000000,586085326480.000000
12M 2016,-997737476197.000000,402122585180.000000,8684476517.000000,-248104038657.000000,-34101703491.000000,-23286028272.000000,-1737653392.000000,-2665229881.000000,,,584668954729.000000,20871707823.000000,605540662552.000000,,-6047395276.000000,-1686606599858.000000,-11536551619.000000,-1704190546753.000000,-997737476197.000000,335143656221.000000,335891400725.000000,,692466746.000000,-1440211250.000000,335143656221.000000,500000000000.000000,500000000000.000000,,,,,,500000000000.000000,-162593819976.000000,586085326480.000000,-2352153454.000000,421139353050.000000
12M 2017,-374577105945.000000,322049599479.000000,32051756849.000000,-180060812235.000000,-39927760126.000000,-30682899698.000000,-103442862850.000000,-13073809432.000000,,,-93288733795.000000,-429802083010.000000,-523090816805.000000,,1071498668.000000,162378381096.000000,-1849380891.000000,161600498873.000000,-374577105945.000000,337781077931.000000,339351526868.000000,,405257968.000000,-1975706905.000000,337781077931.000000,155065595896.000000,30589652170.000000,,124475943726.000000,,,,155065595896.000000,118269567882.000000,421139353050.000000,-888051547.000000,538520869385.000000
