Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Bunga,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pengelolaan Dana Investasi,Penerimaan Pendapatan Bunga,Penjualan Aset Tetap,Uang Muka Pengedokan,Perolehan Aset Tetap,Penerimaan Atas Pelepasan Entitas Anak,Akuisisi Entitas Anak Dari Kepentingan Non Pengendali,Uang Muka Pembangunan Kapal,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pinjaman Bank Jangka Pendek,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Pendek,Pinjaman Bank Jangka Panjang,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Panjang,Pembayaran Bunga,Pembayaran Dividen Entitas Anak,Dana Yang Dibatasi Penggunaannya,Penarikan,Penempatan,Total Dana Yang Dibatasi Penggunaannya,Pembayaran Liabilitas Sewa,"Hasil Penawaran Umum Perdana, Dikurangi Biaya Penerbiatan Saham",Penerimaan Dari Konversi Waran,Pembayaran Dividen,Pinjaman Pemegang Saham,Penerimaan,Pembayaran,Total Pinjaman Pemegang Saham,Pinajaman Dari Pihak Ketiga,Penerimaan,Pembayaran,Total Pinajaman Dari Pihak Ketiga,Penerimaan Dari Penawaran Saham Perdana Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Aset Dimiliki Untuk Dijual Akhir Tahun,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,24593442.000000,60678307.000000,,-24154358.000000,-10819220.000000,-34973578.000000,,-1111287.000000,24593442.000000,-4455609.000000,,318692.000000,1282051.000000,-1220696.000000,-4835656.000000,,,,,-4455609.000000,-12264957.000000,,521918.000000,-549451.000000,-27533.000000,,520035.000000,-1566991.000000,-1046956.000000,-2112217.000000,-2276400.000000,,118184.000000,,118184.000000,-5612477.000000,,,,,724690.000000,-2494995.000000,-1770305.000000,,462747.000000,,462747.000000,,-12264957.000000,-58961.000000,7813915.000000,,12777488.000000,20591403.000000
12M 2021,6064384.000000,61320510.000000,,-43087725.000000,-11198621.000000,-54286346.000000,,-969780.000000,6064384.000000,-10021197.000000,-7005603.000000,156029.000000,2428666.000000,,-5038997.000000,,,,-561292.000000,-10021197.000000,-933900.000000,,,,,,2060411.000000,-1746225.000000,314186.000000,-2322695.000000,-2940000.000000,,,-568407.000000,-568407.000000,-11143894.000000,,,,,527415.000000,,527415.000000,,,-462747.000000,-462747.000000,15662242.000000,-933900.000000,-132550.000000,-5023263.000000,,20591404.000000,15568141.000000
12M 2022,37465999.000000,97457242.000000,,-46589851.000000,-12035907.000000,-58625758.000000,,-1365485.000000,37465999.000000,-3256134.000000,1915825.000000,154530.000000,82583.000000,-255548.000000,-5153524.000000,,,,,-3256134.000000,-23291468.000000,,2995679.000000,-319634.000000,2676045.000000,,2695167.000000,-4680143.000000,-1984976.000000,-2208920.000000,-2825160.000000,,107944.000000,-2648345.000000,-2540401.000000,-16408056.000000,,,,,,,,,,,,,-23291468.000000,-1103969.000000,9814428.000000,-1781929.000000,15568141.000000,23600640.000000
12M 2023,10888030.000000,91448501.000000,,-64795803.000000,-14238329.000000,-79034132.000000,,-1526339.000000,10888030.000000,-14235306.000000,,566969.000000,3300000.000000,-798672.000000,-8979568.000000,2999965.000000,-1207567.000000,-8591918.000000,-1524515.000000,-14235306.000000,20458604.000000,,932716.000000,-3519355.000000,-2586639.000000,,20538416.000000,-3622832.000000,16915584.000000,-2695626.000000,-1365120.000000,,3109434.000000,-1208499.000000,1900935.000000,-8319528.000000,16608998.000000,,,,,,,,,,,,20458604.000000,661945.000000,17773273.000000,,23600640.000000,41373913.000000
12M 2024,28056617.000000,120378690.000000,,-73022771.000000,-17356072.000000,-90378843.000000,,-1943230.000000,28056617.000000,-28067096.000000,-3599090.000000,837143.000000,,-64727.000000,-31726125.000000,,,8485703.000000,-2000000.000000,-28067096.000000,3210353.000000,,3037457.000000,-1605919.000000,1431538.000000,,27285211.000000,-6927907.000000,20357304.000000,-4747884.000000,-2427709.000000,,,-1836605.000000,-1836605.000000,-8381315.000000,,810.000000,-1185786.000000,,,,,,,,,,3210353.000000,-3434537.000000,-234663.000000,,41373913.000000,41139250.000000
