Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,755045.32,0.00,0.00,589.99 B,4.59%,11.04%,21.14%,5.72
12M 2021,0.00 B,-1019561.64,-0.00,0.00,384.21 B,-6.21%,-16.47%,-0.43%,-0.17
12M 2022,15.34 B,10.61,0.00,0.00,644.90 B,4.88%,9.01%,9.72%,4.66
12M 2023,15.34 B,12.62,11.97,1.43,484.26 B,4.61%,8.80%,7.70%,4.36
12M 2024,15.34 B,11.90,4.20,0.38,589.53 B,3.76%,7.45%,7.27%,2.87
