Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2020,0.00,2579776.55,0.00,2579776.55,243 B,3 B,245 B,225 B,121 B
12M 2021,0.00,1957157.42,0.00,1957157.42,138 B,0 B,139 B,124 B,54 B
12M 2022,0.00,1766983.86,0.00,1766983.86,144 B,,144 B,133 B,75 B
12M 2023,1.39,145.26,1.39,145.26,149 B,,149 B,105 B,112 B
12M 2024,1.67,146.10,1.67,146.10,171 B,,171 B,147 B,116 B
