Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,715801139611.000000,-451259714014.000000,264541425597.000000,-233326658576.000000,-81633528726.000000,-151693129850.000000,,-233326658576.000000,31214767021.000000,-20442010631.000000,26516169.000000,-22852651205.000000,2384124405.000000,-20442010631.000000,10772756390.000000,-6144563886.000000,-6144563886.000000,,-6144563886.000000,4628192504.000000,465033660.000000,5093226164.000000,4628192504.000000,4628192504.000000,,4628192504.000000,5093226164.000000,5093226164.000000,,5093226164.000000
12M 2021,380917396523.000000,-202764214283.000000,178153182240.000000,-155579510196.000000,-47896559087.000000,-105251716971.000000,-2431234138.000000,-155579510196.000000,22573672044.000000,-10462523896.000000,31456735.000000,-12349175240.000000,1855194609.000000,-10462523896.000000,12111148148.000000,-3985849340.000000,-3985849340.000000,,-3985849340.000000,8125298808.000000,2929045080.000000,11054343888.000000,8125298808.000000,8125298808.000000,,8125298808.000000,11054343888.000000,11054343888.000000,,11054343888.000000
12M 2022,398734563525.000000,-216979619172.000000,181754944353.000000,-148529537112.000000,-46449274541.000000,-102393695290.000000,313432719.000000,-148529537112.000000,33225407241.000000,-10504696107.000000,16819935.000000,-11610601261.000000,1089085219.000000,-10504696107.000000,22720711134.000000,-6143210480.000000,-6143210480.000000,,-6143210480.000000,16577500654.000000,16143660.000000,16593644314.000000,16577500654.000000,16577500654.000000,,16577500654.000000,16593644314.000000,16593644314.000000,,16593644314.000000
12M 2023,441136955186.000000,-251135849466.000000,190001105720.000000,-158290648530.000000,-49405860078.000000,-108884788452.000000,,-158290648530.000000,31710457190.000000,-10925890946.000000,28421034.000000,-11285828317.000000,331516337.000000,-10925890946.000000,20784566244.000000,-5447009608.000000,-5447009608.000000,,-5447009608.000000,15337556636.000000,243428640.000000,15580985276.000000,15337556636.000000,15337556636.000000,,15337556636.000000,15580985276.000000,15580985276.000000,,15580985276.000000
12M 2024,412069281686.000000,-225112392333.000000,186956889353.000000,-169341984038.000000,-50288223568.000000,-119053760470.000000,,-169341984038.000000,17614905315.000000,-9580267426.000000,28865192.000000,-10777756885.000000,1168624267.000000,-9580267426.000000,8034637889.000000,-3019688367.000000,-3019688367.000000,,-3019688367.000000,5014949522.000000,188752980.000000,5203702502.000000,5014949522.000000,5014949522.000000,,5014949522.000000,5203702502.000000,5203702502.000000,,5203702502.000000
