Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2020,1.42,0.81,0.95,2.24,0.0,0.0,0.87,0.43,1.23
12M 2021,1.31,1.0,0.71,1.97,0.0,0.0,0.64,0.36,0.97
12M 2022,1.39,0.98,0.82,2.19,0.0,0.0,0.75,0.37,1.19
12M 2023,1.57,1.29,0.61,1.89,0.0,0.0,0.43,0.32,0.89
12M 2024,1.53,1.29,0.69,2.0,0.0,0.0,0.6,0.35,1.0
