Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Operasional Lainnya,Penerimaan Pendapatan Bunga,Pembayaran Untuk Biaya Keuangan,Penerimaan Dari Penghasilan Keuangan,Pembayaran Dividen,Penerimaan Tagihan Pajak Penghasilan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Takberwujud,Penerimaan Pembayaran Atas Pemberian Pinjaman Kepada Pihak Berelasi,Penjualan Aset Tetap,Penempatan Investasi Jangka Panjang,Peningkatan Aset Keuangan Lancar Lainnya,Pemberian Pinjaman Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pihak Berelasi,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Kepada Pihak Berelasi,Penerimaan Utang Pembelian Aset Tetap,Pembayaran Utang Pembelian Aset Tetap,Penerimaan Liabilitas Sewa,Pembayaran Dividen Kas,Pembayaran Liabilitas Sewa,Pembayaran Emisi Saham,Penerbitan Modal Saham,Penerimaan Hasil Penerbitan Saham Pada Penawaran Umum Perdana Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kenaikan (Penurunan) Utang Bank Jangka Pendek - Kredit Rekening Koran,Kas Dan Bank Entitas Anak Yang Didekonsolidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,14574771812.000000,1061844001385.000000,-812453658670.000000,-50509776345.000000,-158115445024.000000,,-22852651205.000000,26516169.000000,,757420568.000000,-4121635066.000000,14574771812.000000,-14454316808.000000,-7415402002.000000,-10088514802.000000,,3049599996.000000,,,,-14454316808.000000,4591953430.000000,,9311042369.000000,,,-4690502424.000000,,,,,,-28586515.000000,,,,4591953430.000000,4712408434.000000,11067317809.000000,,5043129968.000000,20822856211.000000
12M 2021,78463071318.000000,435900170819.000000,-197504312386.000000,-32551754954.000000,-110241129575.000000,,-12349175240.000000,31456735.000000,,,-4822184081.000000,78463071318.000000,-1419721357.000000,-2067075108.000000,-765977157.000000,,1413330908.000000,,,,-1419721357.000000,-70046881140.000000,,,,-3463599979.000000,-4583281161.000000,,,,,-62000000000.000000,,,,,-70046881140.000000,6996468821.000000,-11067317809.000000,-2443272216.000000,20822856211.000000,14308735007.000000
12M 2022,-4056572172.000000,378394368207.000000,-202310405870.000000,-26148554217.000000,-134537601725.000000,,-11610601261.000000,16819935.000000,,,-7860597241.000000,-4056572172.000000,-4829506559.000000,-2990114198.000000,-1869392361.000000,,30000000.000000,,,,-4829506559.000000,-2348259314.000000,,,,,-2348259314.000000,,,,,,,,,,-2348259314.000000,-11234338045.000000,7808719943.000000,,14308735007.000000,10883116905.000000
12M 2023,20349593715.000000,411314436659.000000,-234086952796.000000,-104487738665.000000,-34699353742.000000,,-11285828317.000000,28421034.000000,,,-6433390458.000000,20349593715.000000,-44538039764.000000,-44093012316.000000,-1088495917.000000,,643468469.000000,,,,-44538039764.000000,52007303082.000000,,,,,-425000095.000000,,,,,,,-3161559323.000000,,55593862500.000000,52007303082.000000,27818857033.000000,5591580022.000000,,10883116905.000000,44293553960.000000
12M 2024,-35270442493.000000,356075274700.000000,-177052444427.000000,-108818158837.000000,-89929982024.000000,,-10777756885.000000,28865192.000000,,1361377993.000000,-6157618205.000000,-35270442493.000000,-2991217294.000000,-2291954832.000000,-1359532731.000000,,660270269.000000,,,,-2991217294.000000,16209509375.000000,,20000000000.000000,,,,,,,,-3790490625.000000,,,,,16209509375.000000,-22052150412.000000,1588566166.000000,,44293553960.000000,23829969714.000000
