Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,885844714.000000,,1090254301.000000,1090254301.000000,1090254301.000000,10080684837.000000,10068600000.000000,12084837.000000,10080684837.000000,52129610.000000,8587821999.000000,20696735461.000000,,3465634773.000000,36351313536.000000,2193963836.000000,7555339116.000000,49566251261.000000,70262986722.000000,,,4314980397.000000,,116769979.000000,116769979.000000,2573344009.000000,,,1646252.000000,1646252.000000,17094000.000000,,1502637057.000000,103489100.000000,,1606126157.000000,,4314980397.000000,6992640843.000000,,5590789182.000000,,5590789182.000000,1401851661.000000,6992640843.000000,11307621240.000000,,28350000000.000000,5123658296.000000,25591392235.000000,,25591392235.000000,25591392235.000000,-109685049.000000,58955365482.000000,70262986722.000000,28350.000000
12M 2021,,,301700325.000000,,429392332.000000,429392332.000000,429392332.000000,29638630000.000000,29638630000.000000,,29638630000.000000,600289204.000000,5812305454.000000,36782317315.000000,,9878322936.000000,35659193134.000000,1460774036.000000,7822924276.000000,54821214382.000000,91603531697.000000,,,12610893326.000000,,946628548.000000,946628548.000000,6991836503.000000,,2731600000.000000,3184352.000000,2734784352.000000,10600000.000000,,1727043923.000000,,,1727043923.000000,200000000.000000,12610893326.000000,4697255772.000000,,3863745259.000000,,3863745259.000000,833510513.000000,4697255772.000000,17308149098.000000,,28350000000.000000,5123658296.000000,40578201280.000000,,40578201280.000000,40578201280.000000,243523023.000000,74295382599.000000,91603531697.000000,28350.000000
12M 2022,,,3401161559.000000,,316429763.000000,316429763.000000,316429763.000000,2112903250.000000,2064000000.000000,48903250.000000,2112903250.000000,2922626931.000000,6836641437.000000,15589762940.000000,,9837279549.000000,37342438289.000000,1606981365.000000,8686619991.000000,57473319194.000000,73063082134.000000,,,16689410787.000000,,2822706930.000000,2822706930.000000,11794524689.000000,,,,,87215000.000000,,1984964168.000000,,,1984964168.000000,,16689410787.000000,2353867152.000000,,1878781092.000000,,1878781092.000000,475086060.000000,2353867152.000000,19043277939.000000,,28350000000.000000,5123658296.000000,20247201465.000000,5670000000.000000,14577201465.000000,20247201465.000000,298944434.000000,54019804195.000000,73063082134.000000,28350.000000
12M 2023,,,74977433758.000000,15000000000.000000,169315594.000000,169315594.000000,169315594.000000,38161528.000000,,38161528.000000,38161528.000000,1328091500.000000,8804678353.000000,100317680733.000000,,9586781780.000000,47787512305.000000,1987744188.000000,9231832573.000000,68593870846.000000,168911551579.000000,,,5756692657.000000,,1188047550.000000,1188047550.000000,2579958863.000000,,,1618752.000000,1618752.000000,108286400.000000,,1878781092.000000,,,1878781092.000000,,5756692657.000000,418758305.000000,,,,,418758305.000000,418758305.000000,6175450962.000000,,43350000000.000000,81255360884.000000,37833079301.000000,5670000000.000000,32163079301.000000,37833079301.000000,297660432.000000,162736100617.000000,168911551579.000000,2167500000.000000
12M 2024,,,64211343037.000000,,962433024.000000,962433024.000000,962433024.000000,46523000.000000,,46523000.000000,46523000.000000,1088308123.000000,11053114113.000000,77361721297.000000,,9394891181.000000,91766698799.000000,2504398692.000000,9529130054.000000,113195118726.000000,190556840023.000000,,,3966243581.000000,,446821145.000000,446821145.000000,1468300442.000000,,,,,945241947.000000,,,,1105880047.000000,1105880047.000000,,3966243581.000000,1445487382.000000,,,1005609953.000000,1005609953.000000,439877429.000000,1445487382.000000,5411730963.000000,,43350297120.000000,81258302372.000000,60195712971.000000,8670000000.000000,51525712971.000000,60195712971.000000,340796597.000000,185145109060.000000,190556840023.000000,2167514856.000000
