Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Opersional Lainnya,Pembayaran Kepada Karyawan,Pembayaran Pajak,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Pendapatan Jasa Giro Dan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Investasi Jangka Pendek,Perolehan Aset Tetap,Uang Muka Sewa,Uang Muka Pembelian Aset,Hasil Penjualan Aset Tetap,Kenaikan Pada Tanaman Produktif,Kenaikan Penyertaan Saham Pada Entitas Asosiasi,Kenaikan Uang Jaminan,Penurunan (Kenaikan) Pada Kas Yang Dibatasi Penggunaanya,Pemberian Piutang Pihak Berelasi,Penerimaan Pembayaran Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penawaran Umum Perdana Saham,Pembayaran Biaya Emisi Saham,Setoran Modal,Pembayaran Pinjaman Bank,Pembayaran Liabilitas Sewa,Pelaksanaan Waran,Pembayaran Dividen Kas,Penerimaan (Pembayaran) Atas Utang Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,7789658529.000000,28982169400.000000,-9955651472.000000,-1201740560.000000,-7731125173.000000,-1385834915.000000,-920859879.000000,2701128.000000,7789658529.000000,-6952771044.000000,,-4820789300.000000,,,,-114241852.000000,,,2260108.000000,-2096000000.000000,76000000.000000,-6952771044.000000,-1420286141.000000,,,,-1307388941.000000,,,,,-112897200.000000,-1420286141.000000,-583398656.000000,1469243370.000000,885844714.000000
12M 2021,25288590847.000000,51146642624.000000,-16347800010.000000,-3727370.000000,-7819610410.000000,-963378946.000000,-725611762.000000,2076721.000000,25288590847.000000,-26998209079.000000,,-496523800.000000,,,,-495171824.000000,-6450000000.000000,,13516545.000000,-26655630000.000000,7085600000.000000,-26998209079.000000,1125473843.000000,,,,-1502637057.000000,,,,2731600000.000000,-103489100.000000,1125473843.000000,-584144389.000000,885844714.000000,301700325.000000
12M 2022,31967738836.000000,64211546904.000000,-18756817656.000000,-774275056.000000,-9652883139.000000,-2561805874.000000,-501204895.000000,3178552.000000,31967738836.000000,23590366320.000000,,-2991392881.000000,,,89189189.000000,-1081724003.000000,,,-335985.000000,-26572000000.000000,54146630000.000000,23590366320.000000,-52458643922.000000,,,,-1727043922.000000,,,-48000000000.000000,-2731600000.000000,,-52458643922.000000,3099461234.000000,301700325.000000,3401161559.000000
12M 2023,17257177255.000000,61804112044.000000,-17070383894.000000,-1600011375.000000,-10198022025.000000,-16098577026.000000,-236295445.000000,656354976.000000,17257177255.000000,-26226643476.000000,-15000000000.000000,-12222681998.000000,,,,-794639882.000000,-264000000.000000,-8000000.000000,-1321596.000000,,2064000000.000000,-26226643476.000000,80545738420.000000,89100000000.000000,-3968297412.000000,6000000000.000000,-1984964168.000000,,,-8601000000.000000,,,80545738420.000000,71576272199.000000,3401161559.000000,74977433758.000000
12M 2024,29217195569.000000,62786733815.000000,-13039750916.000000,-2189245080.000000,-11619286916.000000,-8083185841.000000,-34817750.000000,1396748257.000000,29217195569.000000,-33129174278.000000,15000000000.000000,-46741357790.000000,,,,-611779521.000000,-780000000.000000,,3963033.000000,,,-33129174278.000000,-6854112012.000000,,,,-1878781092.000000,-210048000.000000,3238608.000000,-4768521528.000000,,,-6854112012.000000,-10766090721.000000,74977433758.000000,64211343037.000000
