Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Beban Lainnya,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Pajak Penghasilan,Penerimaan Restitusi Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Pelunasan Aset Tetap,Penerimaan Dari Pencairan Rekening Investasi,Penerimaan Dividen Tunai,Penambahan Uang Muka Pelanggan,Penerimaan Dari Pelepasan Entitas Anak,Pembayaran Untuk Akuisisi Entitas Anak,Pembayaran Kas Lainnya Dari Aktivitas Investasi,Penurunan (Kenaikan) Uang Muka Pembelian,Penerimaan Kas Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Lainnya,Penerimaan Utang Lainnya,Pembayaran Dana Syirkah Temporer,Penerimaan Dana Syirkah Temporer,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Sewa Pembiayaan,Penerimaan Utang Sewa Pembiayaan,Penerimaan Hasil Penawaran Saham Perdana,Pembayaran Biaya Emisi Saham,Penerimaan (Penawaran) Utang Pemegang Saham,Pembayaran Dividen Tunai,Penerimaan Dari Penjualan Saham Treasuri,Pembelian Saham Treasuri,Pembayaran Bunga Pinjaman,Pembayaran Administrasi Pinjaman,Pengeluaran Kas Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2017,170655314916.000000,499056188994.000000,-227585535886.000000,-93683020204.000000,706872321.000000,-7839190309.000000,,170655314916.000000,84409189446.000000,178117187254.000000,-90844795225.000000,,,,-2863202583.000000,,,,,,84409189446.000000,-266095932951.000000,,,-52744941567.000000,,344251512435.000000,-310987752588.000000,,-155069032464.000000,,,,-1547375725.000000,-30000000000.000000,,,-56886840675.000000,-3111502367.000000,,-266095932951.000000,-11031428589.000000,51464853353.000000,4149431.000000,40437574195.000000
12M 2018,202038905410.000000,590680291203.000000,-301853289101.000000,-91224708803.000000,1195515684.000000,-18135769408.000000,21376865835.000000,202038905410.000000,-173327970567.000000,90671422004.000000,-260613205568.000000,,,,-3386187003.000000,,,,,,-173327970567.000000,66865639033.000000,,,-54162991190.000000,,154912636955.000000,-21580730359.000000,,-130366190605.000000,,210000000000.000000,-12397889863.000000,,-13950000000.000000,,,-63206268454.000000,-2382927451.000000,,66865639033.000000,95576573876.000000,40437574195.000000,5347881.000000,136019495952.000000
12M 2019,309960940522.000000,694162759494.000000,-273909660794.000000,-115593551967.000000,10021340718.000000,-12362747707.000000,7642800778.000000,309960940522.000000,16583920648.000000,134945632173.000000,-92716972725.000000,,,,-25644738800.000000,,,,,,16583920648.000000,-285896770789.000000,,,-53420612720.000000,,95315875757.000000,-133643559990.000000,,-96547877086.000000,,,,,-37500000000.000000,,,-57723335040.000000,-2377261710.000000,,-285896770789.000000,40648090381.000000,136019495952.000000,-59612878.000000,176607973455.000000
12M 2020,269763136273.000000,510178986260.000000,-109403664200.000000,-103533975419.000000,10203867756.000000,-42231062167.000000,4548984043.000000,269763136273.000000,-18066187864.000000,67216636731.000000,-72283077346.000000,,,,,,,,-12999747249.000000,,-18066187864.000000,-324729333140.000000,,,,,211103446187.000000,-169760594812.000000,,-116336245440.000000,,,,,-90000000000.000000,,-110091931478.000000,-46093591382.000000,-3550416215.000000,,-324729333140.000000,-73032384731.000000,176607973455.000000,15618044.000000,103591206768.000000
12M 2021,205352199712.000000,462581124523.000000,-157479704899.000000,-99809284188.000000,3096012806.000000,-3035948530.000000,,205352199712.000000,-86384677549.000000,5733000000.000000,-92002930701.000000,,,,,,,,-114746848.000000,,-86384677549.000000,-171120946473.000000,,,,,409001624526.000000,-373169476918.000000,,-153800453376.000000,,,,,-13435000000.000000,,,-38878404512.000000,-839236193.000000,,-171120946473.000000,-52153424310.000000,103591206768.000000,428428.000000,51438210886.000000
12M 2022,340882969226.000000,658294179524.000000,-184657442919.000000,-138499690098.000000,3378617350.000000,-11714234686.000000,14081540055.000000,340882969226.000000,-9000677336.000000,54533481850.000000,-56709149035.000000,,6500000000.000000,,,,,,-13325010151.000000,,-9000677336.000000,-257910345298.000000,,,,,248591926598.000000,-293090604903.000000,,-126707031892.000000,,,,,-53740000000.000000,,,-32832617092.000000,-132018009.000000,,-257910345298.000000,73971946592.000000,51438210887.000000,3819269.000000,125413976748.000000
12M 2023,734002905488.000000,1136390988274.000000,-284908176819.000000,-170218866756.000000,8861784189.000000,-25013498664.000000,68890675264.000000,734002905488.000000,-623220778600.000000,32229581563.000000,-326210257801.000000,,,,,,-213218013000.000000,-117766309115.000000,1744219753.000000,,-623220778600.000000,193226320550.000000,-6878935228.000000,,,,127015693810.000000,-129220476163.000000,-31627889359.000000,-205909254595.000000,364225990000.000000,,,,-83012998956.000000,,201866686780.000000,-42313569764.000000,-918925975.000000,,193226320550.000000,304008447438.000000,125413976748.000000,381423031.000000,429803847217.000000
12M 2024,383190951987.000000,682943659294.000000,-154049289751.000000,-141659015628.000000,17033427257.000000,-21077829185.000000,,383190951987.000000,202832675775.000000,67575157032.000000,-30989758305.000000,,,,,168000158168.000000,,,-1752881120.000000,,202832675775.000000,-703647607993.000000,,,,,41672788715.000000,-108091489504.000000,-38851154911.000000,-110550994178.000000,,,,,-391489990430.000000,,,-45115067685.000000,,-51221700000.000000,-703647607993.000000,-117623980231.000000,429803847217.000000,2966087993.000000,315145954979.000000
