Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Piutang Retensi,Tagihan Bruto Kepada Pemberi Kerja,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Goodwill,Investasi Jangka Panjang,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Utang Bank Jangka Pendek,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Dana Syirkah Temporer,Utang Bank,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Dana Syirkah Temporer,Utang Bank,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,40437574195.000000,184745820678.000000,3486182700.000000,181259637978.000000,184745820678.000000,,9141952700.000000,2456009100.000000,,116751218590.000000,353532575263.000000,,879165708349.000000,,,,879165708349.000000,1232698283612.000000,,,344681431817.000000,,4852423913.000000,53019734712.000000,57872158625.000000,,444945617.000000,53215433315.000000,3022006231.000000,,35639722267.000000,20742738969.000000,100871783265.000000,46550863523.000000,203805108024.000000,26321780005.000000,344681431817.000000,496727405731.000000,,,,,,71943881643.000000,86154282806.000000,203895871414.000000,55208880170.000000,417202916033.000000,71339760698.000000,8184729000.000000,496727405731.000000,841408837548.000000,,120000000000.000000,,271289446064.000000,,271289446064.000000,,271289446064.000000,,,391289446064.000000,1232698283612.000000,120000.000000
12M 2018,,,136019495952.000000,152352884725.000000,717135890.000000,151635748835.000000,152352884725.000000,,4731382935.000000,,,109371707926.000000,402475471538.000000,,1180810201301.000000,,,301105716.000000,1181111307017.000000,1583586778555.000000,,,235309316647.000000,,,43428242861.000000,43428242861.000000,,598402373.000000,160717179.000000,5081699214.000000,,15852298078.000000,45602442324.000000,89968646745.000000,28890167873.000000,180313555020.000000,5726700000.000000,235309316647.000000,709039916749.000000,,,74434042270.000000,74434042270.000000,,37568314642.000000,193326935690.000000,237671912733.000000,34643694789.000000,503210857854.000000,121998177625.000000,9396839000.000000,709039916749.000000,944349233396.000000,,150000000000.000000,167602110137.000000,321635435022.000000,,321635435022.000000,,321635435022.000000,,,639237545159.000000,1583586778555.000000,1500000000.000000
12M 2019,,,176607973455.000000,144060889332.000000,,144060889332.000000,144060889332.000000,,,,,243017256662.000000,563686119449.000000,,1108456818295.000000,,,301105716.000000,1108757924011.000000,1672444043460.000000,,,279590955886.000000,,,11618799767.000000,11618799767.000000,,26695510849.000000,58022293258.000000,11105958040.000000,,,42616952759.000000,105668801840.000000,19374939373.000000,167660693972.000000,4487700000.000000,279590955886.000000,655477641673.000000,,,62533530600.000000,62533530600.000000,,,165123121717.000000,252004651169.000000,29008539158.000000,446136312044.000000,124645071029.000000,22162728000.000000,655477641673.000000,935068597559.000000,,150000000000.000000,167602110137.000000,419773335764.000000,3164335998.000000,416608999766.000000,,419773335764.000000,,,737375445901.000000,1672444043460.000000,1500000000.000000
12M 2020,,,103591206768.000000,142423244274.000000,,142423244274.000000,142423244274.000000,,,,,194173604231.000000,440188055273.000000,,647110860378.000000,,,447718323956.000000,1094829184334.000000,1535017239607.000000,,,297789899916.000000,,,29931191951.000000,29931191951.000000,,895430222.000000,69732761643.000000,9121102158.000000,,,47479131258.000000,122859616157.000000,16913166527.000000,187251913942.000000,857500000.000000,297789899916.000000,671161693663.000000,,,110603393955.000000,110603393955.000000,,,189893326208.000000,203971788299.000000,11524607985.000000,405389722492.000000,133771366216.000000,21397211000.000000,671161693663.000000,968951593579.000000,,150000000000.000000,167602110137.000000,358555467369.000000,10036231035.000000,348519236334.000000,,358555467369.000000,,-110091931478.000000,566065646028.000000,1535017239607.000000,1500000000.000000
12M 2021,,,51438210887.000000,99210812523.000000,,99210812523.000000,99210812523.000000,,,,,246425348196.000000,397074371606.000000,,673473252969.000000,,,378461444527.000000,1051934697496.000000,1449009069102.000000,,,256138907057.000000,,,30640432504.000000,30640432504.000000,,262071787.000000,43682122626.000000,6491582140.000000,,,52613426535.000000,109977672878.000000,11427523250.000000,174018622663.000000,1044075337.000000,256138907057.000000,635668435471.000000,,,87547091405.000000,87547091405.000000,,,135568507931.000000,260601939106.000000,614551077.000000,396784998114.000000,126712290952.000000,24624055000.000000,635668435471.000000,891807342528.000000,,150000000000.000000,167602110137.000000,349691547915.000000,10136231035.000000,339555316880.000000,,349691547915.000000,,-110091931478.000000,557201726574.000000,1449009069102.000000,1500000000.000000
12M 2022,,,125413976748.000000,89495271982.000000,,89495271982.000000,89495271982.000000,,,,,262938069381.000000,477847318111.000000,,949778499275.000000,,,284512863967.000000,1234291363242.000000,1712138681353.000000,,,248759921124.000000,,2649820536.000000,20914870784.000000,23564691320.000000,,731130272.000000,44200843450.000000,16111797725.000000,,,34606251648.000000,124403204491.000000,3698669459.000000,162708125598.000000,1443332759.000000,248759921124.000000,863977744561.000000,,,434835330739.000000,434835330739.000000,,,108558285845.000000,156649936384.000000,1255137042.000000,266463359271.000000,142675400551.000000,20003654000.000000,863977744561.000000,1112737665685.000000,,150000000000.000000,167602110137.000000,391890837009.000000,10236231035.000000,373718104414.000000,7936501560.000000,391890837009.000000,,-110091931478.000000,599401015668.000000,1712138681353.000000,1500000000.000000
12M 2023,,,429803847217.000000,287437902641.000000,6660000000.000000,280777902641.000000,287437902641.000000,196785240.000000,,,65513128544.000000,199239863778.000000,982191527420.000000,,1498064568299.000000,54218520902.000000,271167440.000000,391145070636.000000,1943699327277.000000,2925890854697.000000,,,1278861967920.000000,,210957738532.000000,372919827553.000000,583877566085.000000,5723128336.000000,170482658239.000000,312393567013.000000,57163932048.000000,,,35490197665.000000,110550994187.000000,1255137042.000000,147296328894.000000,1924787305.000000,1278861967920.000000,784348748858.000000,,,229556117875.000000,229556117875.000000,,,78136816465.000000,329211660777.000000,,407348477242.000000,107070688510.000000,40373465231.000000,784348748858.000000,2063210716778.000000,,150000000000.000000,313833697386.000000,450332165952.000000,14736231035.000000,420356704132.000000,15239230785.000000,450332165952.000000,2971106513.000000,-54456831932.000000,862680137919.000000,2925890854697.000000,7500000000.000000
12M 2024,,,315145954979.000000,68590354152.000000,222013367.000000,68368340785.000000,68590354152.000000,,,,,52763871899.000000,436500181030.000000,,837663195426.000000,,,328992066545.000000,1166655261971.000000,1603155443001.000000,,,218508417218.000000,,1907377375.000000,42701892566.000000,44609269941.000000,7305838214.000000,9290242466.000000,,,,,34893432124.000000,121253022171.000000,,156146454295.000000,1156612302.000000,218508417218.000000,677751650513.000000,,,314112287976.000000,314112287976.000000,,,44035716210.000000,208887200892.000000,,252922917102.000000,92026309435.000000,18690136000.000000,677751650513.000000,896260067731.000000,,150000000000.000000,313833697386.000000,281346945582.000000,19236231035.000000,249449028392.000000,12661686155.000000,281346945582.000000,,-38285267698.000000,706895375270.000000,1603155443001.000000,7500000000.000000
