Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Lainnya,Pembayaran Gaji Dan Tunjangan,Pembayaran Beban Operasi Dan Lainnya,Pembayaran Pajak Penghasilan,Pembayaran Untuk Beban Keuangan,Pendapatan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Investasi Pada Entitas Anak & Joint Venture,Penambahan Properti Investasi,Uang Muka Properti Investasi,Penjualan Aset Tetap,Penerimaan (Pengeluaran) Kas Lainnya,Penjualan Properti Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Setoran Modal,Penerimaan Utang Bank,Jangka Pendek,Jangka Panjang,Total Penerimaan Utang Bank,Pembayaran Utang Bank,Jangka Pendek,Jangka Panjang,Total Pembayaran Utang Bank,Penerimaan Liabilitas Sewa Pembiayaan,Pembayaran Liabilitas Sewa Pembiyaan,Penerimaan Utang Angsuran,Pembayaran Utang Angsuran,Pembayaran Dividen Tunai,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2014,147509430237.000000,1107595892594.000000,-888939998301.000000,,-33215463117.000000,-25694389213.000000,-13109486531.000000,872874805.000000,147509430237.000000,-105610425978.000000,,,,,,-105644425978.000000,,34000000.000000,-105610425978.000000,13782924048.000000,,75181904786.000000,,,75181904786.000000,-54089998367.000000,,,-54089998367.000000,,,,-7308982371.000000,,13782924048.000000,55681928307.000000,27387544584.000000,,83069472891.000000
12M 2015,97157129199.000000,975653330542.000000,-753151819280.000000,,-70912650076.000000,-42901421764.000000,-15590686185.000000,4060375962.000000,97157129199.000000,-148121728474.000000,-175212228474.000000,,,,,1053000000.000000,,26037500000.000000,-148121728474.000000,256250629272.000000,370551025864.000000,66000000000.000000,,,66000000000.000000,-91067390367.000000,,,-91067390367.000000,,,,-15055406225.000000,-74177600000.000000,256250629272.000000,205286029997.000000,83069472891.000000,,288355502888.000000
12M 2016,112690013763.000000,921237834810.000000,-697291531863.000000,,-102948561330.000000,-3810586465.000000,-12672795199.000000,8175653810.000000,112690013763.000000,-248291270106.000000,-242157692732.000000,-932175466.000000,,,-7381401908.000000,2180000000.000000,,,-248291270106.000000,-43833207559.000000,,33943910286.000000,,,33943910286.000000,-43617664826.000000,,,-43617664826.000000,,,,-24144453019.000000,-10015000000.000000,-43833207559.000000,-179434463902.000000,288355502888.000000,,108921038986.000000
12M 2017,222217510326.000000,1157039988406.000000,-826848709411.000000,,-95102778491.000000,-3213688462.000000,-11233059877.000000,1575758161.000000,222217510326.000000,-335982183762.000000,-321980812829.000000,-2970169933.000000,,,-11031201000.000000,,,,-335982183762.000000,120163728630.000000,,252018691035.000000,,,252018691035.000000,-76354658306.000000,,,-76354658306.000000,,,,-35470304099.000000,-20030000000.000000,120163728630.000000,6399055194.000000,108921038986.000000,,115320094180.000000
12M 2018,190557741616.000000,1079323075090.000000,-770090332518.000000,-109818376575.000000,-12829579528.000000,,,3972955147.000000,190557741616.000000,-256831270530.000000,-248724354505.000000,-2042640298.000000,-245000000.000000,,-7017871000.000000,448595273.000000,750000000.000000,,-256831270530.000000,58544625301.000000,,188898211088.000000,,,188898211088.000000,-67305536674.000000,,,-67305536674.000000,,,,-33003049113.000000,-30045000000.000000,58544625301.000000,-7728903613.000000,115320094180.000000,,107591190567.000000
12M 2019,69473721681.000000,917699904151.000000,-733353259209.000000,,-100287849886.000000,-3299553112.000000,-14048084545.000000,2762564282.000000,69473721681.000000,-107111971064.000000,-108195757735.000000,-1294414750.000000,,,-11127139034.000000,13505340455.000000,,,-107111971064.000000,32961779185.000000,,326464669766.000000,,,326464669766.000000,-243621538515.000000,,,-243621538515.000000,,,,-29851352066.000000,-20030000000.000000,32961779185.000000,-4676470198.000000,107591190567.000000,,102914720369.000000
12M 2020,-19587278152.000000,745462733120.000000,-628119955188.000000,,-92702212630.000000,-2338624096.000000,-42496161364.000000,606942006.000000,-19587278152.000000,-32960006088.000000,-19141308478.000000,,,-492915000.000000,-15044431705.000000,347727273.000000,,1370921822.000000,-32960006088.000000,-19000793705.000000,,82707192258.000000,,,82707192258.000000,-82837961441.000000,,,-82837961441.000000,,,,-18870024522.000000,,-19000793705.000000,-71548077945.000000,102914720369.000000,,31366642424.000000
12M 2021,7311442495.000000,779986011133.000000,-648951762500.000000,,-82512443121.000000,-1268486862.000000,-39992837955.000000,50961800.000000,7311442495.000000,-18117711300.000000,-5812598973.000000,,,-3726432600.000000,-8578679727.000000,,,,-18117711300.000000,-15979778582.000000,,1135658013411.000000,,,1135658013411.000000,-1131084438573.000000,,,-1131084438573.000000,,,,-10538353420.000000,-10015000000.000000,-15979778582.000000,-26786047387.000000,31366642424.000000,,4580595037.000000
12M 2022,-2760438980.000000,953607673503.000000,-704083676820.000000,,-206715874566.000000,-3500101032.000000,-42096320052.000000,27859987.000000,-2760438980.000000,-70480778433.000000,-61184752433.000000,,,,-9304026000.000000,8000000.000000,,,-70480778433.000000,73710623174.000000,,2103891862530.000000,,,2103891862530.000000,-2020589627550.000000,,,-2020589627550.000000,,,,-7588611806.000000,-2003000000.000000,73710623174.000000,469405761.000000,4580595037.000000,,5050000798.000000
12M 2023,35845183038.000000,1115723004274.000000,-824075303431.000000,,-204898361868.000000,-2503143845.000000,-48426123454.000000,25111362.000000,35845183038.000000,-31169016467.000000,-21863580467.000000,,,,-9305436000.000000,,,,-31169016467.000000,-2737933505.000000,,,1487237698385.000000,16999999995.000000,1504237698380.000000,,-1457634038728.000000,-41416666667.000000,-1499050705395.000000,-5096926490.000000,-825000000.000000,,,-2003000000.000000,-2737933505.000000,1938233066.000000,5050000798.000000,,6988233864.000000
