Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Pendapatan Bersih Ventura Bersama,Laba Kotor Setelah Ventura Bersama,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2014,1266515864948.000000,-957292295221.000000,309223569727.000000,,309223569727.000000,-103352233849.000000,,,-104658139984.000000,1305906135.000000,-103352233849.000000,205871335878.000000,-13999758653.000000,872874805.000000,-14872633458.000000,,,-13999758653.000000,191871577225.000000,-3684831750.000000,-3684831750.000000,,,-3684831750.000000,188186745475.000000,188186745475.000000,-7741420665.000000,180445324810.000000,188186745475.000000,187969378454.000000,217367021.000000,188186745475.000000,180445324810.000000,180228256248.000000,217068562.000000,,180445324810.000000
12M 2015,1153574652836.000000,-815345158656.000000,338229494180.000000,,338229494180.000000,-95601499870.000000,,,-107479654202.000000,11878154332.000000,-95601499870.000000,242627994310.000000,-11738376124.000000,4060375962.000000,-15798752086.000000,,,-11738376124.000000,230889618186.000000,-3090575500.000000,-3090575500.000000,,,-3090575500.000000,227799042686.000000,227799042686.000000,-980995794.000000,226818046892.000000,227799042686.000000,227638500274.000000,160542412.000000,227799042686.000000,226818046892.000000,226655069438.000000,162977454.000000,,226818046892.000000
12M 2016,1006188995206.000000,-750723244209.000000,255465750997.000000,,255465750997.000000,-126803915554.000000,,,-129942219117.000000,3138303563.000000,-126803915554.000000,128661835443.000000,-4564005653.000000,8175653810.000000,-12739659463.000000,,,-4564005653.000000,124097829790.000000,-3683915750.000000,-3683915750.000000,,,-3683915750.000000,120413914040.000000,120413914040.000000,4018896573.000000,124432810613.000000,120413914040.000000,120386668829.000000,27245211.000000,120413914040.000000,124432810613.000000,124407127371.000000,25683242.000000,,124432810613.000000
12M 2017,1176440035889.000000,-906229423423.000000,270210612466.000000,,270210612466.000000,-142638882335.000000,,,-141966607873.000000,-672274462.000000,-142638882335.000000,127571730131.000000,-10142867954.000000,1575758161.000000,-11718626115.000000,,,-10142867954.000000,117428862177.000000,-3170676152.000000,-3170676152.000000,,,-3170676152.000000,114258186025.000000,114258186025.000000,9797546935.000000,124055732960.000000,114258186025.000000,114232671836.000000,25514189.000000,114258186025.000000,124055732960.000000,124030204964.000000,25527996.000000,,124055732960.000000
12M 2018,920077220040.000000,-731159338612.000000,188917881428.000000,,188917881428.000000,-147762680510.000000,,,-148043189922.000000,280509412.000000,-147762680510.000000,41155200918.000000,-6647422874.000000,3972955147.000000,-10506379471.000000,-113998550.000000,,-6647422874.000000,34507778044.000000,-3327462487.000000,-3327462487.000000,,,-3327462487.000000,31180315557.000000,31180315557.000000,9321924368.000000,40502239925.000000,31180315557.000000,29438042823.000000,1742272734.000000,31180315557.000000,40502239925.000000,38763117038.000000,1739122887.000000,,40502239925.000000
12M 2019,958462201850.000000,-795218253419.000000,163243948431.000000,,163243948431.000000,-148637396323.000000,,,-147101141111.000000,-1536255212.000000,-148637396323.000000,14606552108.000000,-14880420453.000000,2762564282.000000,-15318647604.000000,,-2324337131.000000,-14880420453.000000,-273868345.000000,-3235870086.000000,-3235870086.000000,,,-3235870086.000000,-3509738431.000000,-3509738431.000000,4829469878.000000,1319731447.000000,-3509738431.000000,-8858140679.000000,5348402248.000000,-3509738431.000000,1319731447.000000,-4005261666.000000,5324993113.000000,,1319731447.000000
12M 2020,652350844406.000000,-883090563803.000000,-230739719397.000000,,-230739719397.000000,-106395466066.000000,,,-127840450740.000000,21444984674.000000,-106395466066.000000,-337135185463.000000,-42839555161.000000,606942006.000000,-43182615737.000000,,-263881430.000000,-42839555161.000000,-379974740624.000000,-2188070940.000000,-2188070940.000000,,,-2188070940.000000,-382162811564.000000,-382162811564.000000,3332464018.000000,-378830347546.000000,-382162811564.000000,-384753487602.000000,2590676038.000000,-382162811564.000000,-378830347546.000000,-381368726358.000000,2538378812.000000,,-378830347546.000000
12M 2021,872574156089.000000,-851623851385.000000,20950304704.000000,,20950304704.000000,-123657187737.000000,,,-110925012326.000000,-12732175411.000000,-123657187737.000000,-102706883033.000000,-40372346197.000000,50961800.000000,-40338765366.000000,,-84542631.000000,-40372346197.000000,-143079229230.000000,-2463059940.000000,-2463059940.000000,,,-2463059940.000000,-145542289170.000000,-145542289170.000000,8521799912.000000,-137020489258.000000,-145542289170.000000,-138662808394.000000,-6879480776.000000,-145542289170.000000,-137020489258.000000,-130164042699.000000,-6856446559.000000,,-137020489258.000000
12M 2022,1060124902677.000000,-911967486092.000000,148157416585.000000,,148157416585.000000,-104266737067.000000,,,-118087833892.000000,13821096825.000000,-104266737067.000000,43890679518.000000,-42741551537.000000,27859987.000000,-42769411524.000000,,,-42741551537.000000,1149127981.000000,-2440023080.000000,-2440023080.000000,,,-2440023080.000000,-1290895099.000000,-1290895099.000000,1779070847.000000,488175748.000000,-1290895099.000000,-7439377580.000000,6148482481.000000,-1290895099.000000,488175748.000000,-5687312669.000000,6175488417.000000,,488175748.000000
12M 2023,1289582924477.000000,-1096829913517.000000,192753010960.000000,,192753010960.000000,-107347200589.000000,,,-116392327902.000000,9045127313.000000,-107347200589.000000,85405810371.000000,-49717248960.000000,25111362.000000,-49742360322.000000,,,-49717248960.000000,35688561411.000000,-2510748020.000000,-2510748020.000000,,,-2510748020.000000,33177813391.000000,33177813391.000000,-1297046344.000000,31880767047.000000,33177813391.000000,38182228572.000000,-5004415181.000000,33177813391.000000,31880767047.000000,36903297282.000000,-5022530235.000000,,31880767047.000000
