Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Retensi,Pihak Ketiga,Pihak Berelasi,Total Piutang Retensi,Piutang Lain-Lain,Persediaan,Tagihan Bruto Kepada Pemberi Kerja,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Investasi Pada Entitas Asosiasi,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Bank Jangka Pendek,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Bank,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2014,,,83069472891.000000,196451185454.000000,196451185454.000000,,196451185454.000000,31777676456.000000,31777676456.000000,,31777676456.000000,1506004951.000000,87231619113.000000,137503159761.000000,14345817752.000000,551884936378.000000,,349779940658.000000,,20598126063.000000,,370378066721.000000,922263003099.000000,,,361723682987.000000,162871542016.000000,,,162871542016.000000,10626793576.000000,,,10626793576.000000,,12034453764.000000,15046620173.000000,,8603894715.000000,50045193920.000000,,58649088635.000000,102495184823.000000,361723682987.000000,91398622657.000000,,12800221397.000000,43060474315.000000,,55860695712.000000,35537926945.000000,91398622657.000000,453122305644.000000,,1177600000.000000,,482283278478.000000,,482283278478.000000,482283278478.000000,442961538.000000,-14763142561.000000,469140697455.000000,922263003099.000000,11776.000000
12M 2015,,,288355502888.000000,95948580478.000000,95948580478.000000,,95948580478.000000,103743933064.000000,103743933064.000000,,103743933064.000000,145968792.000000,69395794660.000000,333601373552.000000,22489979732.000000,913681133166.000000,,467444933111.000000,,,,467444933111.000000,1381126066277.000000,,,291028424069.000000,130406391789.000000,,,130406391789.000000,,,,,,4240369964.000000,7027789467.000000,,23282583869.000000,40298617975.000000,,63581201844.000000,85772671005.000000,291028424069.000000,97765471996.000000,,26674114174.000000,27739659893.000000,,54413774067.000000,43351697929.000000,97765471996.000000,388793896065.000000,,200300000000.000000,340251025864.000000,466921778752.000000,10000000000.000000,456921778752.000000,466921778752.000000,605938993.000000,-15746573397.000000,992332170212.000000,1381126066277.000000,2003000000.000000
12M 2016,,,108921038986.000000,138263938717.000000,138263938717.000000,,138263938717.000000,103369074344.000000,103369074344.000000,,103369074344.000000,2378592586.000000,98469019586.000000,433180050069.000000,65141230209.000000,949722944497.000000,,597415581576.000000,,431411692.000000,,597846993268.000000,1547569937765.000000,,,362765570316.000000,147759495331.000000,,,147759495331.000000,,,,,14209022400.000000,1552368422.000000,1014976592.000000,,18826914896.000000,25167092636.000000,,43994007532.000000,154235700039.000000,362765570316.000000,78054386624.000000,,12329330128.000000,19055272556.000000,,31384602684.000000,46669783940.000000,78054386624.000000,440819956940.000000,,200300000000.000000,340251025864.000000,577293447581.000000,20000000000.000000,557293447581.000000,577293447581.000000,631622235.000000,-11726114855.000000,1106749980825.000000,1547569937765.000000,2003000000.000000
12M 2017,,,115320094180.000000,158301434510.000000,158301434510.000000,,158301434510.000000,101292245773.000000,101292245773.000000,,101292245773.000000,417591675.000000,134425309504.000000,423391396725.000000,48825481926.000000,981973554293.000000,,856458870919.000000,,5935167468.000000,810460000.000000,863204498387.000000,1845178052680.000000,,,363167286099.000000,145515811516.000000,,,145515811516.000000,,,,,14376984693.000000,1142224854.000000,2533442781.000000,,31284377159.000000,25514687529.000000,,56799064688.000000,142799757567.000000,363167286099.000000,270424592796.000000,,31883568652.000000,192914867433.000000,,224798436085.000000,45626156711.000000,270424592796.000000,633591878895.000000,,200300000000.000000,341060989128.000000,671496119417.000000,30000000000.000000,641496119417.000000,671496119417.000000,657646967.000000,-1928581727.000000,1211586173785.000000,1845178052680.000000,2003000000.000000
12M 2018,,,107591190567.000000,195879157013.000000,,,195879157013.000000,78821889161.000000,78821889161.000000,,78821889161.000000,271670831.000000,276021907215.000000,219097125657.000000,39611087883.000000,917294028327.000000,,993606088413.000000,,12122102144.000000,1055460000.000000,1006783650557.000000,1924077678884.000000,,,367885334191.000000,122815469534.000000,,,122815469534.000000,388149300.000000,,,388149300.000000,54220769562.000000,2257730115.000000,2814137995.000000,,29483840871.000000,33827906221.000000,,63311747092.000000,122077330593.000000,367885334191.000000,333398930983.000000,,22187040407.000000,265639302143.000000,,287826342550.000000,45572588433.000000,333398930983.000000,701284265174.000000,,200300000000.000000,341060989128.000000,670889162240.000000,40000000000.000000,630889162240.000000,670889162240.000000,3146769854.000000,7396492488.000000,1222793413710.000000,1924077678884.000000,2003000000.000000
12M 2019,,,102914720369.000000,120753056474.000000,,,120753056474.000000,90168784197.000000,90168784197.000000,,90168784197.000000,2838200366.000000,355215955673.000000,296275298616.000000,46859762961.000000,1015025778656.000000,,957675568408.000000,,11491111700.000000,810460000.000000,969977140108.000000,1985002918764.000000,,,466632444423.000000,135158584044.000000,,,135158584044.000000,30000000.000000,,,30000000.000000,142379173529.000000,2911619240.000000,5760962913.000000,,18744152347.000000,50100795866.000000,,68844948213.000000,111547156484.000000,466632444423.000000,314287329184.000000,,13876012865.000000,244135447188.000000,,258011460053.000000,56275869131.000000,314287329184.000000,780919773607.000000,,200300000000.000000,341060989128.000000,642001021561.000000,40100000000.000000,601901021561.000000,642001021561.000000,8471762967.000000,12249371501.000000,1204083145157.000000,1985002918764.000000,2003000000.000000
12M 2020,,,31366642424.000000,82076325634.000000,,,82076325634.000000,63599952819.000000,63599952819.000000,,63599952819.000000,2510567000.000000,207619060471.000000,217834762611.000000,29693597761.000000,634700908720.000000,,842836038573.000000,,30475741128.000000,810460000.000000,874122239701.000000,1508823148421.000000,,,452864586839.000000,109794658110.000000,,,109794658110.000000,58409092.000000,,,58409092.000000,181269143337.000000,5476722027.000000,2121847592.000000,,8771248382.000000,39618723449.000000,,48389971831.000000,105753834850.000000,452864586839.000000,288348007032.000000,,12071873686.000000,215931090403.000000,,228002964089.000000,60345042943.000000,288348007032.000000,741212593871.000000,,200300000000.000000,341060989128.000000,199605290898.000000,40100000000.000000,159505290898.000000,199605290898.000000,11010141779.000000,15634132745.000000,767610554550.000000,1508823148421.000000,2003000000.000000
12M 2021,,,4580595037.000000,171284596299.000000,,,171284596299.000000,77575182607.000000,77575182607.000000,,77575182607.000000,2747793452.000000,196532025256.000000,235884774829.000000,23706273687.000000,712311241167.000000,,729355229027.000000,,55228844042.000000,810460000.000000,785394533069.000000,1497705774236.000000,,,592176776536.000000,205205255017.000000,,,205205255017.000000,,1141870122.000000,,1141870122.000000,185842718175.000000,4535455751.000000,4217591807.000000,,7208795196.000000,39618723449.000000,,46827518645.000000,144406367019.000000,592176776536.000000,284953932408.000000,,10543707452.000000,215931090403.000000,,226474797855.000000,58479134553.000000,284953932408.000000,877130708944.000000,,200300000000.000000,341060989128.000000,50927482504.000000,40100000000.000000,10827482504.000000,50927482504.000000,4153695220.000000,24132898440.000000,620575065292.000000,1497705774236.000000,2003000000.000000
12M 2022,,,5050000798.000000,126532313853.000000,,,126532313853.000000,92232844386.000000,92232844386.000000,,92232844386.000000,138742030.000000,155731231206.000000,386504070933.000000,34331381450.000000,800520584656.000000,,688901472030.000000,,52259585643.000000,810460000.000000,741971517673.000000,1542492102329.000000,,,628259396615.000000,,176772389543.000000,43898000.000000,176816287543.000000,,,,,256833175327.000000,336928062.000000,6014515994.000000,,4866306331.000000,37868080840.000000,,42734387171.000000,145524102518.000000,628259396615.000000,283477483766.000000,,7702079296.000000,230154832847.000000,,237856912143.000000,45620571623.000000,283477483766.000000,911736880381.000000,,200300000000.000000,341060989128.000000,57401576415.000000,40100000000.000000,17301576415.000000,57401576415.000000,10329183637.000000,21663472768.000000,630755221948.000000,1542492102329.000000,2003000000.000000
12M 2023,,,6988233864.000000,307535352340.000000,,,307535352340.000000,124175390634.000000,124175390634.000000,,124175390634.000000,529732531.000000,183278859428.000000,332367884699.000000,19582357321.000000,974457810817.000000,,622277872607.000000,,49290327244.000000,32806966727.000000,704375166578.000000,1678832977395.000000,,,858130015277.000000,,294623546017.000000,,294623546017.000000,,,,,361436834984.000000,1018522274.000000,6145280325.000000,,1639630102.000000,70768080838.000000,183330438.000000,72591041378.000000,122314790299.000000,858130015277.000000,160069973123.000000,,1740603793.000000,98303418668.000000,6326709762.000000,106370732223.000000,53699240900.000000,160069973123.000000,1018199988400.000000,,200300000000.000000,341060989128.000000,93580804987.000000,40100000000.000000,53480804987.000000,93580804987.000000,5306653402.000000,20384541478.000000,660632988995.000000,1678832977395.000000,2003000000.000000
