Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2014,0.00,39801098.50,0.00,39801098.50,59 B,56 B,115 B,31 B,190 B
12M 2015,2.71,495.12,2.71,495.12,64 B,54 B,118 B,(170 B),623 B
12M 2016,2.03,552.23,2.03,552.23,58 B,31 B,90 B,(19 B),587 B
12M 2017,1.74,604.56,1.74,604.56,71 B,225 B,296 B,181 B,619 B
12M 2018,1.46,608.91,1.46,608.91,118 B,288 B,405 B,298 B,549 B
12M 2019,0.62,596.91,0.62,596.91,211 B,258 B,469 B,366 B,548 B
12M 2020,0.57,377.73,0.57,377.73,230 B,228 B,458 B,426 B,182 B
12M 2021,0.62,307.75,0.62,307.75,233 B,226 B,459 B,455 B,120 B
12M 2022,0.57,309.75,0.57,309.75,300 B,238 B,537 B,532 B,172 B
12M 2023,0.42,327.17,0.42,327.17,434 B,100 B,534 B,527 B,116 B
12M 2024,0.50,335.56,0.50,335.56,422 B,36 B,458 B,438 B,115 B
