Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,74840998059.000000,64561381698.000000,53710829198.000000,10850552500.000000,64561381698.000000,,,,,29459536103.000000,23338131177.000000,192200047037.000000,,11482225338.000000,1309239733.000000,20000000.000000,12811465071.000000,205011512108.000000,,,165219144739.000000,,9454904573.000000,133601868303.000000,143056772876.000000,,628160703.000000,,628160703.000000,8531551046.000000,400000000.000000,,1182664436.000000,1182664436.000000,11419995678.000000,165219144739.000000,6105748750.000000,,1522109118.000000,1522109118.000000,4583639632.000000,6105748750.000000,171324893489.000000,,6000000000.000000,,27686618619.000000,,,27686618619.000000,33686618619.000000,205011512108.000000,6000.000000
12M 2021,,,95828077982.000000,92412142935.000000,78940202435.000000,13471940500.000000,92412142935.000000,,,,,25398408304.000000,19886112661.000000,233524741882.000000,,12343818370.000000,1396339139.000000,471000000.000000,14211157509.000000,247735899391.000000,,,186241312696.000000,,10488316828.000000,150729779357.000000,161218096185.000000,,,,,10349001919.000000,450000000.000000,,1061464065.000000,1061464065.000000,13162750527.000000,186241312696.000000,6110614113.000000,,1555263453.000000,1555263453.000000,4555350660.000000,6110614113.000000,192351926809.000000,,40000000000.000000,,15383972582.000000,,,15383972582.000000,55383972582.000000,247735899391.000000,40000.000000
12M 2022,,,125087128432.000000,91629628401.000000,74281012033.000000,17348616368.000000,91629628401.000000,113391781.000000,,113391781.000000,113391781.000000,86394577653.000000,18216767710.000000,321441493977.000000,,22058922449.000000,2139278569.000000,20000000.000000,24218201018.000000,345659694995.000000,,,181680859012.000000,,45433265571.000000,131532183991.000000,176965449562.000000,,,1270708532.000000,1270708532.000000,143915166.000000,198494090.000000,,2943701692.000000,2943701692.000000,158589970.000000,181680859012.000000,10052379707.000000,,2825565558.000000,2825565558.000000,7226814149.000000,10052379707.000000,191733238719.000000,,50000000000.000000,63844160000.000000,40082296276.000000,8000000000.000000,32082296276.000000,40082296276.000000,153926456276.000000,345659694995.000000,1000000000.000000
12M 2023,,,126566104429.000000,97633513093.000000,89397817408.000000,8235695685.000000,97633513093.000000,317382847.000000,,317382847.000000,317382847.000000,65707472207.000000,8312617398.000000,298537089974.000000,,23360350065.000000,2877834080.000000,15997882922.000000,42236067067.000000,340773157041.000000,,,151520795803.000000,,64845178368.000000,81276187695.000000,146121366063.000000,,814815573.000000,1657269670.000000,2472085243.000000,492193991.000000,180494090.000000,,2121807725.000000,2121807725.000000,132848691.000000,151520795803.000000,10865000469.000000,,703757829.000000,703757829.000000,10161242640.000000,10865000469.000000,162385796272.000000,,50000000000.000000,63844160000.000000,64543200769.000000,10000000000.000000,54543200769.000000,64543200769.000000,178387360769.000000,340773157041.000000,1000000000.000000
12M 2024,,,85260529796.000000,124446755436.000000,119862658403.000000,4584097033.000000,124446755436.000000,250122362.000000,,250122362.000000,250122362.000000,88723479434.000000,44736958945.000000,343417845973.000000,,34364377140.000000,3426362924.000000,12879354712.000000,50670094776.000000,394087940749.000000,,,187476451324.000000,,71987114864.000000,110319897569.000000,182307012433.000000,,1859849979.000000,914375781.000000,2774225760.000000,276665474.000000,797739482.000000,,1040592181.000000,1040592181.000000,280215994.000000,187476451324.000000,16233957830.000000,,2481229503.000000,2481229503.000000,13752728327.000000,16233957830.000000,203710409154.000000,,50000000000.000000,63844160000.000000,76533371595.000000,10000000000.000000,66533371595.000000,76533371595.000000,190377531595.000000,394087940749.000000,1000000000.000000
