Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,769214964142.000000,-694474054516.000000,74740909626.000000,-38406819484.000000,-15537223036.000000,-22869596448.000000,-38406819484.000000,36334090142.000000,-924234372.000000,363522783.000000,107823563.000000,-19414423.000000,-1376166295.000000,-924234372.000000,35409855770.000000,-7902566426.000000,-8384397120.000000,481830694.000000,-7902566426.000000,27507289344.000000,-123221555.000000,-123221555.000000,-123221555.000000,27384067789.000000,27507289344.000000,27507289344.000000,,27507289344.000000,27384067789.000000,27384067789.000000,,27384067789.000000
12M 2021,1021412025918.000000,-929980563382.000000,91431462536.000000,-44741436129.000000,-12212516931.000000,-32528919198.000000,-44741436129.000000,46690026407.000000,1450391223.000000,1062998557.000000,-555556080.000000,-23106748.000000,966055494.000000,1450391223.000000,48140417630.000000,-10404815982.000000,-10481127580.000000,76311598.000000,-10404815982.000000,37735601648.000000,-38247685.000000,-38247685.000000,-38247685.000000,37697353963.000000,37735601648.000000,37735601648.000000,,37735601648.000000,37697353963.000000,37697353963.000000,,37697353963.000000
12M 2022,1386125210434.000000,-1267071035232.000000,119054175202.000000,-84154525644.000000,-17080888852.000000,-67073636792.000000,-84154525644.000000,34899649558.000000,116441232.000000,1338784705.000000,-1263620315.000000,-33989320.000000,75266162.000000,116441232.000000,35016090790.000000,-8400164940.000000,-8602242220.000000,202077280.000000,-8400164940.000000,26615925850.000000,-1917602156.000000,-1917602156.000000,-1917602156.000000,24698323694.000000,26615925850.000000,26615925850.000000,,26615925850.000000,24698323694.000000,24698323694.000000,,24698323694.000000
12M 2023,1783282051017.000000,-1630874807551.000000,152407243466.000000,-104381222024.000000,-19256611378.000000,-85124610646.000000,-104381222024.000000,48026021442.000000,2319035698.000000,2486127201.000000,,-336336577.000000,169245074.000000,2319035698.000000,50345057140.000000,-11577431860.000000,-12229476380.000000,652044520.000000,-11577431860.000000,38767625280.000000,-306720787.000000,-306720787.000000,-306720787.000000,38460904493.000000,38767625280.000000,38767625280.000000,,38767625280.000000,38460904493.000000,38460904493.000000,,38460904493.000000
12M 2024,2215577107943.000000,-2042742151688.000000,172834956255.000000,-125168568934.000000,-22454774093.000000,-102713794841.000000,-125168568934.000000,47666387321.000000,-313441578.000000,1197181485.000000,,-294451782.000000,-1216171281.000000,-313441578.000000,47352945743.000000,-12070228600.000000,,,-12070228600.000000,35282717143.000000,-292546317.000000,-292546317.000000,-292546317.000000,34990170826.000000,35282717143.000000,35282717143.000000,,35282717143.000000,34990170826.000000,34990170826.000000,,34990170826.000000
