Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Karyawan,Pembayaran Kepada Pemasok,"Pembayaran Untuk Beban Penjualan, Umum Dan Administrasi, Dan Operasi Lainnya",Pendapatan Keuangan,Beban Keuangan,Penerimaan Pajak,Pembayaran Pajak,Penerimaan Dari Kegiatan Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Hak-Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Tunai,Tambahan Modal Disetor Dari Penawaran Umum Perdana,Penawaran Umum Perdana Saham,Pembayaran Dividen Kas,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,48629855379.000000,744730433837.000000,-10206335961.000000,-659374180804.000000,-25644762358.000000,363522783.000000,-19414423.000000,,-1219407695.000000,,48629855379.000000,-4414192600.000000,-4414192600.000000,,,-4414192600.000000,-4031818182.000000,,,,,-4031818182.000000,-4031818182.000000,40183844597.000000,,34657153462.000000,74840998059.000000
12M 2021,41063530293.000000,995304019709.000000,-15760361094.000000,-904287093757.000000,-26569249668.000000,1062998557.000000,-23106748.000000,,-8663676706.000000,,41063530293.000000,-2313950370.000000,-2313950370.000000,,,-2313950370.000000,-17762500000.000000,10000000000.000000,,,-26000000000.000000,-1762500000.000000,-17762500000.000000,20987079923.000000,,74840998059.000000,95828077982.000000
12M 2022,-33386394561.000000,1362382459190.000000,-32131554048.000000,-1304188748960.000000,-35216922354.000000,1338784705.000000,-33989320.000000,,-25536423774.000000,,-33386394561.000000,-8723714989.000000,-8723714989.000000,,,-8723714989.000000,71369160000.000000,,73844160000.000000,,,-2475000000.000000,71369160000.000000,29259050450.000000,,95828077982.000000,125087128432.000000
12M 2023,32173670846.000000,1777906252401.000000,-43350741618.000000,-1636405721108.000000,-52565147877.000000,2486127201.000000,-40038273.000000,,-16011865469.000000,154805589.000000,32173670846.000000,-12604694849.000000,-12604694849.000000,,,-12604694849.000000,-18090000000.000000,,,,-14000000000.000000,-4090000000.000000,-18090000000.000000,1478975997.000000,,125087128432.000000,126566104429.000000
12M 2024,3336392526.000000,2188911232918.000000,-44798866773.000000,-2066260064947.000000,-67475846064.000000,1197181485.000000,-294451782.000000,,-8061592951.000000,118800640.000000,3336392526.000000,-19181967159.000000,-16354789982.000000,45045045.000000,-2872222222.000000,-19181967159.000000,-25460000000.000000,,,,-23000000000.000000,-2460000000.000000,-25460000000.000000,-41305574633.000000,,126566104429.000000,85260529796.000000
