Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Investasi Saham,Perolehan Aset Tetap,Penerimaan Dividen Tunai,Penerimaan Dari Penjualan Investasi Saham,Penambahan Uang Muka Pembelian Aset,Penambahan Saham Dari Entitas Anak Dari Kepentingan Nonpengendali,Penerimaan Bunga,Penambahan Aset Tak Berwujud,Hasil Penjualan Aset Tetap,Penerimaan Dari Pelepasan Aset Hak Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Perdana,Pembayaran Atas Biaya Penawaran Umum Perdana,Pembayaran Dividen Tunai,Pembayaran Liabilitas Sewa,Penerimaan Utang Dari Pihak Berelasi,Pembayaran Beban Keuangan,Pembelian Saham Treasuri,Pembayaran Utang Kepada Pihak Berelasi,Pembayaran Liabilitas Keuangan Lainnya,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Pembiayaan Atas Perolehan Aset Tetap,Penerimaan Dari Liabilitas Keuangan Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,256928960000.000000,951582204000.000000,-425293176000.000000,-227666002000.000000,-41694066000.000000,256928960000.000000,-25576856000.000000,,-23702298000.000000,72660000.000000,,-5395898000.000000,,1209026000.000000,-204862000.000000,905693000.000000,1538823000.000000,-25576856000.000000,-208413269000.000000,,,-50000000000.000000,-138479643000.000000,,-18418238000.000000,,,-193471000.000000,,-3388677000.000000,2066760000.000000,-208413269000.000000,22938835000.000000,64976018000.000000,87914853000.000000
12M 2021,368485158000.000000,1324320864000.000000,-612171660000.000000,-296082841000.000000,-47581205000.000000,368485158000.000000,-127918347000.000000,-111440376000.000000,-27054051000.000000,12217013000.000000,823733000.000000,-4248578000.000000,,1683912000.000000,,100000000.000000,,-127918347000.000000,-192325146000.000000,,,-80000000000.000000,-108834288000.000000,10000000000.000000,-12532392000.000000,,,-630901000.000000,,-327565000.000000,,-192325146000.000000,48241665000.000000,87914853000.000000,136156518000.000000
12M 2022,470742227000.000000,1577272478000.000000,-749822158000.000000,-281958101000.000000,-74749992000.000000,470742227000.000000,-195317124000.000000,-159336652000.000000,-112095785000.000000,54084205000.000000,45353168000.000000,-25420081000.000000,,2207490000.000000,-415775000.000000,306306000.000000,,-195317124000.000000,-175615091000.000000,,,-100000000000.000000,-76213191000.000000,25000000000.000000,-13687528000.000000,,-10000000000.000000,-714372000.000000,,,,-175615091000.000000,99810012000.000000,136156518000.000000,235966530000.000000
12M 2023,395426815051.000000,1843343604986.000000,-936142515504.000000,-403325022632.000000,-108449251799.000000,395426815051.000000,-245524017892.000000,-11178572000.000000,-279697510099.000000,67000292000.000000,,-52992175000.000000,18000000000.000000,11947550811.000000,,1396396396.000000,,-245524017892.000000,151741417174.000000,491588000000.000000,-8533991211.000000,-100000000000.000000,-175929517757.000000,,-29855057897.000000,,-25000000000.000000,-528015961.000000,,,,151741417174.000000,301644214333.000000,235966529803.000000,537610744136.000000
12M 2024,548501420000.000000,2443368511000.000000,-1271911862000.000000,-519205419000.000000,-103749810000.000000,548501420000.000000,-249698944000.000000,,-291992641000.000000,40242150000.000000,,-14877233000.000000,,14744257000.000000,-270422000.000000,2454945000.000000,,-249698944000.000000,-463818450000.000000,,,-199992000000.000000,-203584392000.000000,,-34489637000.000000,-25520098000.000000,,,-232323000.000000,,,-463818450000.000000,-165015974000.000000,537610744000.000000,372594770000.000000
