Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,997534725000.000000,-744009404000.000000,253525321000.000000,-58523600000.000000,-65610683000.000000,,7087083000.000000,-58523600000.000000,195001721000.000000,-16873799000.000000,-18082825000.000000,1209026000.000000,,-16873799000.000000,178127922000.000000,-42343887000.000000,135784035000.000000,-2579154000.000000,133204881000.000000,135784035000.000000,135784035000.000000,,135784035000.000000,133204881000.000000,133204881000.000000,,133204881000.000000
12M 2021,1319398179000.000000,-1000530375000.000000,318867804000.000000,59125313000.000000,-74146118000.000000,,133271431000.000000,59125313000.000000,377993117000.000000,-10802908000.000000,-12486820000.000000,1683912000.000000,,-10802908000.000000,367190209000.000000,-55410849000.000000,311779360000.000000,-504746000.000000,311274614000.000000,311779360000.000000,311779360000.000000,,311779360000.000000,311274614000.000000,311274614000.000000,,311274614000.000000
12M 2022,1641926920000.000000,-1223562927000.000000,418363993000.000000,170424551000.000000,-84612234000.000000,,255036785000.000000,170424551000.000000,588788544000.000000,-11341901000.000000,-13549391000.000000,2207490000.000000,,-11341901000.000000,577446643000.000000,-75825861000.000000,501620782000.000000,487234000.000000,502108016000.000000,501620782000.000000,501620782000.000000,,501620782000.000000,502108016000.000000,502108016000.000000,,502108016000.000000
12M 2023,1977730166096.000000,-1479179892540.000000,498550273556.000000,-128242678327.000000,-106412901986.000000,,-21829776341.000000,-128242678327.000000,370307595229.000000,-18371839567.000000,-30319390378.000000,11947550811.000000,,-18371839567.000000,351935755662.000000,-85754877084.000000,266180878578.000000,3255938303.000000,269436816881.000000,266180878578.000000,267945886931.000000,-1765008353.000000,266180878578.000000,269436816881.000000,271201825234.000000,-1765008353.000000,269436816881.000000
12M 2024,2544017774000.000000,-2036233065000.000000,507784709000.000000,-112423592000.000000,-128192166000.000000,,15768574000.000000,-112423592000.000000,395361117000.000000,-19521252000.000000,-34265509000.000000,14744257000.000000,,-19521252000.000000,375839865000.000000,-82979441000.000000,292860424000.000000,317523000.000000,293177947000.000000,292860424000.000000,296717067000.000000,-3856643000.000000,292860424000.000000,293177947000.000000,297034590000.000000,-3856643000.000000,293177947000.000000
