Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Interkoneksi,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penyusutan,Beban Karyawan,Beban Umum Dan Administrasi,Beban Penjualan,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,1672032083761.000000,1672032083761.000000,1672032083761.000000,-382143230938.000000,-244690894770.000000,-137452336168.000000,-382143230938.000000,1289888852823.000000,-971599871852.000000,-216240109607.000000,-153807586045.000000,-112585995762.000000,-210233173471.000000,,-278733006967.000000,-971599871852.000000,318288980971.000000,-98596380672.000000,8010910090.000000,,-89858989534.000000,-16748301228.000000,-98596380672.000000,219692600299.000000,-75423611426.000000,144268988873.000000,,144268988873.000000,,,144268988873.000000,144268988873.000000,,144268988873.000000,,,,
12M 2008,2805309095223.000000,2805309095223.000000,2805309095223.000000,-603017058977.000000,-284354144186.000000,-318662914791.000000,-603017058977.000000,2202292036246.000000,-1823659287835.000000,-432360984762.000000,-241030386481.000000,-178021100890.000000,-423926465794.000000,,-548320349908.000000,-1823659287835.000000,378632748411.000000,-200576496739.000000,-44487670117.000000,,-131760182179.000000,-24328644443.000000,-200576496739.000000,178056251672.000000,-41243624607.000000,136812627065.000000,,136812627065.000000,,,136812627065.000000,136812627065.000000,,136812627065.000000,,,,
12M 2009,3435555524064.000000,3435555524064.000000,3435555524064.000000,-692978125812.000000,-241114171289.000000,-451863954523.000000,-692978125812.000000,2742577398252.000000,-2454159502382.000000,-979223308028.000000,-290964770046.000000,-224929155256.000000,-451466447807.000000,,-507575821245.000000,-2454159502382.000000,288417895870.000000,-142703470953.000000,97894615112.000000,,-220448539580.000000,-20149546485.000000,-142703470953.000000,145714424917.000000,-47272312726.000000,98442112191.000000,,98442112191.000000,,,98442112191.000000,98442112191.000000,,98442112191.000000,,,,
12M 2010,3447118348212.000000,3447118348212.000000,3447118348212.000000,-682034734223.000000,-290406629699.000000,-391628104524.000000,-682034734223.000000,2765083613989.000000,-2574280466938.000000,-1144647880739.000000,-320978876431.000000,-222207863759.000000,-453297388418.000000,,-433148457591.000000,-2574280466938.000000,190803147051.000000,-98270234451.000000,127107210394.000000,36817578808.000000,-475262403376.000000,213067379723.000000,-98270234451.000000,92532912600.000000,-82557183490.000000,9975729110.000000,,9975729110.000000,,,9975729110.000000,9975729110.000000,,9975729110.000000,,,,
12M 2011,3195451186033.000000,3195451186033.000000,3195451186033.000000,-604442696898.000000,-272356170824.000000,-332086526074.000000,-604442696898.000000,2591008489135.000000,-2765017933629.000000,-1322277205771.000000,-373357930787.000000,-207883418819.000000,-467897232232.000000,,-393602146020.000000,-2765017933629.000000,-174009444494.000000,-813894444633.000000,-69600730399.000000,8639226693.000000,-767916866753.000000,14983925826.000000,-813894444633.000000,-987903889127.000000,205204697703.000000,-782699191424.000000,,-782699191424.000000,-43341784701.000000,-826040976125.000000,-782699191424.000000,-782494304282.000000,-204887142.000000,-782699191424.000000,-826040976125.000000,-825836088983.000000,-204887142.000000,-826040976125.000000
12M 2012,2973613659026.000000,2973613659026.000000,2973613659026.000000,-612638827995.000000,-265516982439.000000,-347121845556.000000,-612638827995.000000,2360974831031.000000,-2861348601987.000000,-1461689362329.000000,-370175558649.000000,-179488801276.000000,-301826304415.000000,,-548168575318.000000,-2861348601987.000000,-500373770956.000000,-3033173351500.000000,-310178490469.000000,2768669706.000000,-784850765308.000000,-1940912765429.000000,-3033173351500.000000,-3533547122456.000000,394611456928.000000,-3138935665528.000000,,-3138935665528.000000,-148601711556.000000,-3287537377084.000000,-3138935665528.000000,-3138928467596.000000,-7197932.000000,-3138935665528.000000,-3287537377084.000000,-3287530179152.000000,-7197932.000000,-3287537377084.000000
12M 2013,2434692893671.000000,2434692893671.000000,2434692893671.000000,-362258163747.000000,-222865297166.000000,-139392866581.000000,-362258163747.000000,2072434729924.000000,-2068820389143.000000,-907691369017.000000,-363101112426.000000,-164449620058.000000,-182259231911.000000,,-451319055731.000000,-2068820389143.000000,3614340781.000000,-2988234745813.000000,-1885215393916.000000,2969914310.000000,-738418379045.000000,-367570887162.000000,-2988234745813.000000,-2984620405032.000000,339054828616.000000,-2645565576416.000000,,-2645565576416.000000,109530103.000000,-2645456046313.000000,-2645565576416.000000,-2645565615405.000000,38989.000000,-2645565576416.000000,-2645456046313.000000,-2645456085302.000000,38989.000000,-2645456046313.000000
12M 2014,1453656463434.000000,1453656463434.000000,1453656463434.000000,-274474712136.000000,-185543749750.000000,-88930962386.000000,-274474712136.000000,1179181751298.000000,-2126731938404.000000,-1107509219370.000000,-328682543383.000000,-164556108265.000000,-87042441192.000000,,-438941626194.000000,-2126731938404.000000,-947550187106.000000,-1312603386173.000000,-518935736498.000000,,-861307486841.000000,67639837166.000000,-1312603386173.000000,-2260153573279.000000,-611147284495.000000,-2871300857774.000000,,-2871300857774.000000,-13914903.000000,-2871314772677.000000,-2871300857774.000000,-2871300886177.000000,28403.000000,-2871300857774.000000,-2871314772677.000000,-2871314801080.000000,28403.000000,-2871314772677.000000
12M 2015,637825000000.000000,637825000000.000000,637825000000.000000,-236205000000.000000,-107976000000.000000,-128229000000.000000,-236205000000.000000,401620000000.000000,-4235310000000.000000,-3348763000000.000000,-230236000000.000000,-186503000000.000000,-90220000000.000000,,-379588000000.000000,-4235310000000.000000,-3833690000000.000000,-4672717000000.000000,-793093000000.000000,,-751976000000.000000,-3127648000000.000000,-4672717000000.000000,-8506407000000.000000,-134350000000.000000,-8640757000000.000000,,-8640757000000.000000,4167000000.000000,-8636590000000.000000,-8640757000000.000000,-8640755000000.000000,-2000000.000000,-8640757000000.000000,-8636590000000.000000,-8636598000000.000000,8000000.000000,-8636590000000.000000
12M 2016,172005000000.000000,172005000000.000000,172005000000.000000,-82156000000.000000,-29516000000.000000,-52640000000.000000,-82156000000.000000,89849000000.000000,-1047919000000.000000,-815699000000.000000,-78712000000.000000,-26633000000.000000,-1446000000.000000,,-125429000000.000000,-1047919000000.000000,-958070000000.000000,-372263000000.000000,337780000000.000000,,-709747000000.000000,-296000000.000000,-372263000000.000000,-1330333000000.000000,-61782000000.000000,-1392115000000.000000,,-1392115000000.000000,7722000000.000000,-1384393000000.000000,-1392115000000.000000,-1392143000000.000000,28000000.000000,-1392115000000.000000,-1384393000000.000000,-1384408000000.000000,15000000.000000,-1384393000000.000000
