Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Piutang Pihak Berelasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pihak Berelasi,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Usaha,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Usaha,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Senior Notes,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,,295662862220.000000,100026567865.000000,,,,,102985581076.000000,,,102985581076.000000,,18426917943.000000,393275734473.000000,910377663577.000000,,,3307202072332.000000,,446584058777.000000,3753786131109.000000,4664163794686.000000,,,500521008641.000000,,,186579573237.000000,4867117654.000000,191446690891.000000,9960205069.000000,,158028365094.000000,7477326258.000000,,72369578778.000000,,,,,72369578778.000000,61238842551.000000,500521008641.000000,2288434186643.000000,76123128694.000000,,,189452485758.000000,1365755000000.000000,,643257697900.000000,2198465183658.000000,,13845874291.000000,2288434186643.000000,2788955195284.000000,,2470517931700.000000,33870502548.000000,-846869953697.000000,,,217690118851.000000,1875208599402.000000,4664163794686.000000,18953676867.000000
12M 2008,,,501639725742.000000,1083022599227.000000,,,,,120970886696.000000,,,120970886696.000000,,35757977390.000000,566927056797.000000,2308318245852.000000,,,5303281246648.000000,,934373113592.000000,6237654360240.000000,8545972606092.000000,,,1047845748888.000000,,,522930230802.000000,1894722185.000000,524824952987.000000,6969793120.000000,,197018153669.000000,6465373667.000000,,149022531748.000000,26241460486.000000,,,,175263992234.000000,137303483211.000000,1047845748888.000000,2416075094005.000000,117366753301.000000,,,70951860463.000000,1563421715388.000000,,644702476923.000000,2279076052774.000000,,19632287930.000000,2416075094005.000000,3463920842893.000000,,3423392002900.000000,2141166570210.000000,-710057326632.000000,,,227550516721.000000,5082051763199.000000,8545972606092.000000,28482417579.000000
12M 2009,,,715672709550.000000,557798068808.000000,,,,,94468973285.000000,,,94468973285.000000,,27663062467.000000,336206453335.000000,1731809267445.000000,,,9314678257934.000000,,389787523376.000000,9704465781310.000000,11436275048755.000000,,,2061971871519.000000,235000000000.000000,,945027120392.000000,1952203668.000000,946979324060.000000,8068617691.000000,,165852158369.000000,8670528405.000000,,60908437400.000000,241007514670.000000,293151533364.000000,,,595067485434.000000,102333757560.000000,2061971871519.000000,4337372315331.000000,164639066027.000000,,,,1067030355425.000000,2339278887117.000000,646147255946.000000,4052456498488.000000,,120276750816.000000,4337372315331.000000,6399344186850.000000,,3423392002900.000000,2141166570210.000000,-611615214441.000000,,,83987503235.000000,5036930861904.000000,11436275048754.000000,28482417579.000000
12M 2010,,,333682733522.000000,273625779595.000000,,,,,102278278770.000000,,,102278278770.000000,,27798487925.000000,698754936283.000000,1436140216095.000000,,5938816642.000000,10296326312210.000000,,614486042631.000000,10916751171483.000000,12352891387578.000000,,,1759605829930.000000,,,1055756237041.000000,2118009451.000000,1057874246492.000000,19714844325.000000,,150586358845.000000,14671386529.000000,,,28353425000.000000,398274674684.000000,,,426628099684.000000,90130894055.000000,1759605829930.000000,5398455238849.000000,253135066158.000000,,,,245117756215.000000,1963077060102.000000,647969196327.000000,2856164012644.000000,2172591561330.000000,116564598717.000000,5398455238849.000000,7158061068779.000000,,3423392002900.000000,2141166570210.000000,-601639485331.000000,,,231911231020.000000,5194830318799.000000,12352891387578.000000,28482417579.000000
12M 2011,,,162322645977.000000,7398441098.000000,,,,,106200204887.000000,,,106200204887.000000,,17060093225.000000,655372813836.000000,948354199023.000000,,39869076101.000000,10630440395852.000000,,594445497791.000000,11264754969744.000000,12213109168767.000000,,,2955755907090.000000,,,1502866597062.000000,9797951026.000000,1512664548088.000000,29009224849.000000,,220191077454.000000,14088032984.000000,,,1537556584.000000,401812432187.000000,649084826411.000000,,1052434815182.000000,127368208533.000000,2955755907090.000000,4888599022153.000000,81860457950.000000,,,,1798662740.000000,1296482749392.000000,,1298281412132.000000,3391646501265.000000,116810650806.000000,4888599022153.000000,7844354929243.000000,,3423392002900.000000,2141166570210.000000,-1384133789613.000000,,-239990292.000000,188569446319.000000,4368754239524.000000,12213109168767.000000,28482417579.000000
12M 2012,,,260409875852.000000,2511281629.000000,,,,,95067018115.000000,,,95067018115.000000,,9273448291.000000,401788874043.000000,769050497930.000000,,352620075081.000000,7423291723286.000000,,507465718403.000000,8283377516770.000000,9052428014700.000000,,,2874428104739.000000,,,1310083452665.000000,10313026814.000000,1320396479479.000000,42665964085.000000,,813073637125.000000,71770735135.000000,,,146433803884.000000,411178721591.000000,,,557612525475.000000,68908763440.000000,2874428104739.000000,4540014437066.000000,,,,,322076886102.000000,497131992849.000000,,819208878951.000000,3634401107070.000000,86404451045.000000,4540014437066.000000,7414442541805.000000,,3633609310500.000000,2488014127610.000000,-4523062257209.000000,,-247188224.000000,39671480218.000000,1637985472895.000000,9052428014700.000000,30584590655.000000
12M 2013,,,43042982243.000000,47500000.000000,,,,,76875410238.000000,,,76875410238.000000,,9946923562.000000,336222692535.000000,466135508578.000000,,691674903697.000000,7610677853962.000000,,359646787663.000000,8661999545322.000000,9128135053900.000000,,,5209889004020.000000,,,2550835417062.000000,11490330857.000000,2562325747919.000000,104125289968.000000,,1115218403952.000000,87515386643.000000,,,489720273085.000000,781844086440.000000,,,1271564359525.000000,69139816013.000000,5209889004020.000000,4925716623298.000000,,,,,647983296.000000,259678530469.000000,,260326513765.000000,4592815410237.000000,72574699296.000000,4925716623298.000000,10135605627318.000000,,3633609310500.000000,2488014127610.000000,-7168627872614.000000,,-247149235.000000,39781010321.000000,-1007470573418.000000,9128135053900.000000,30584590655.000000
12M 2014,,,15822845529.000000,47500000.000000,,,,,63524128102.000000,,,63524128102.000000,,9929824727.000000,60196047428.000000,149520345786.000000,,80527619202.000000,6432061758415.000000,,926451192682.000000,7439040570299.000000,7588560916085.000000,,,5949291430919.000000,,,25051505092.000000,562907489.000000,25614412581.000000,8993962390.000000,,1085005058189.000000,83722323976.000000,,,558944817.000000,,,4736078744598.000000,4736637689415.000000,9317984368.000000,5949291430919.000000,5518054831261.000000,,35185616854.000000,,,2023513870.000000,150971495865.000000,,152995009735.000000,,5329874204672.000000,5518054831261.000000,11467346262180.000000,,3633609310500.000000,2488014127610.000000,-10039928758791.000000,,-247120832.000000,39767095418.000000,-3878785346095.000000,7588560916085.000000,30584590655.000000
12M 2015,,,5720000000.000000,48000000.000000,,,,,21318000000.000000,,,21318000000.000000,,,36928000000.000000,64014000000.000000,,,1631896000000.000000,,715686000000.000000,2347582000000.000000,2411596000000.000000,,,7649163000000.000000,,,285757000000.000000,6486000000.000000,292243000000.000000,16696000000.000000,47098000000.000000,1908413000000.000000,102908000000.000000,,,501000000.000000,,,5242100000000.000000,5242601000000.000000,39204000000.000000,7649163000000.000000,7275588000000.000000,54546000000.000000,,,,759000000.000000,,,759000000.000000,,7220283000000.000000,7275588000000.000000,14924751000000.000000,,3633609000000.000000,2488014000000.000000,-18673601000000.000000,,-249000000.000000,39072000000.000000,-12513155000000.000000,2411596000000.000000,30584590655.000000
12M 2016,,,2211000000.000000,48000000.000000,,,,,2557000000.000000,,,2557000000.000000,,,38700000000.000000,43516000000.000000,,,816308000000.000000,,709951000000.000000,1526259000000.000000,1569775000000.000000,,,8191029000000.000000,,,314134000000.000000,12557000000.000000,326691000000.000000,51180000000.000000,47098000000.000000,2546179000000.000000,113961000000.000000,,,240000000.000000,,,5105680000000.000000,5105920000000.000000,,8191029000000.000000,7276294000000.000000,118238000000.000000,,,,295000000.000000,,,295000000.000000,,7157761000000.000000,7276294000000.000000,15467323000000.000000,,3633609000000.000000,2488014000000.000000,-20065744000000.000000,,-221000000.000000,46794000000.000000,-13897548000000.000000,1569775000000.000000,30584590655.000000
