Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2007,4.11,98.94,4.11,98.94,,"2,009 B","2,009 B","1,713 B",410 B
12M 2008,0.29,178.43,0.29,178.43,26 B,"2,208 B","2,234 B","1,733 B","1,260 B"
12M 2009,0.83,176.84,0.83,176.84,769 B,"4,052 B","4,822 B","4,106 B",(330 B)
12M 2010,1.29,182.39,1.29,182.39,427 B,"5,029 B","5,455 B","5,122 B",(323 B)
12M 2011,1.70,153.39,1.70,153.39,"1,052 B","4,690 B","5,742 B","5,580 B","(2,007 B)"
12M 2012,0.93,53.56,0.93,53.56,558 B,"4,454 B","5,011 B","4,751 B","(2,105 B)"
12M 2013,-1.52,-32.93,-1.52,-32.93,"1,272 B","4,853 B","6,125 B","6,082 B","(4,744 B)"
12M 2014,-0.39,-126.81,-0.39,-126.81,1 B,153 B,154 B,138 B,"(5,800 B)"
12M 2015,-0.12,-409.12,-0.12,-409.12,1 B,1 B,1 B,(4 B),"(7,585 B)"
12M 2016,-0.11,-454.39,-0.11,-454.39,0 B,0 B,1 B,(2 B),"(8,148 B)"
12M 2017,-0.13,-384.93,-0.13,-384.93,,,,(0 B),"(8,928 B)"
12M 2018,-0.12,-419.29,-0.12,-419.29,,,,(0 B),"(10,094 B)"
12M 2019,-0.12,-414.53,-0.12,-414.53,,,,(1 B),"(9,824 B)"
12M 2020,-0.16,-307.37,-0.16,-307.37,,,,(0 B),(879 B)
12M 2021,-0.32,-155.64,-0.32,-155.64,,,,(3 B),(895 B)
12M 2022,-0.31,-158.78,-0.31,-158.78,,,,(0 B),(947 B)
12M 2023,-0.32,-158.35,-0.32,-158.35,,,,(2 B),(771 B)
