Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,49271615.000000,-50673587.000000,-1401972.000000,-3960215.000000,-1387817.000000,-1142755.000000,-1429643.000000,-3960215.000000,-5362187.000000,-1275466.000000,12481.000000,-1287947.000000,,,-1275466.000000,-6637653.000000,1580574.000000,,,1580574.000000,-5057079.000000,-1613521.000000,-6670600.000000,,-6670600.000000,-6670600.000000,-6670579.000000,-21.000000,-6670600.000000,-6670600.000000,-6670579.000000,-21.000000,-6670600.000000
12M 2014,47215086.000000,-50114505.000000,-2899419.000000,-2973160.000000,-1536747.000000,-1282756.000000,-153657.000000,-2973160.000000,-5872579.000000,-1265809.000000,13220.000000,-1279029.000000,,,-1265809.000000,-7138388.000000,1220863.000000,,,1220863.000000,-5917525.000000,-471924.000000,-6389449.000000,,-6389449.000000,-6389449.000000,-6389412.000000,-37.000000,-6389449.000000,-6389449.000000,-6389412.000000,-37.000000,-6389449.000000
12M 2015,36980479.000000,-39815622.000000,-2835143.000000,-2900694.000000,-1457172.000000,-1136066.000000,-307456.000000,-2900694.000000,-5735837.000000,-1139007.000000,10203.000000,-1149210.000000,,,-1139007.000000,-6874844.000000,-3452680.000000,,,-3452680.000000,-10327524.000000,-157667.000000,-10485191.000000,,-10485191.000000,-10485191.000000,-10485074.000000,-117.000000,-10485191.000000,-10485191.000000,-10485074.000000,-117.000000,-10485191.000000
12M 2016,35164569.000000,-35316407.000000,-151838.000000,-1968800.000000,-1162658.000000,-1473069.000000,666927.000000,-1968800.000000,-2120638.000000,5201693.000000,395649.000000,-762020.000000,6365116.000000,-797052.000000,5201693.000000,3081055.000000,50811.000000,,,50811.000000,3131866.000000,-4374.000000,3127492.000000,,3127492.000000,3127492.000000,3127479.000000,13.000000,3127492.000000,3127492.000000,3127479.000000,13.000000,3127492.000000
12M 2017,35125240.000000,-34359328.000000,765912.000000,-2699860.000000,-1347358.000000,-1367315.000000,14813.000000,-2699860.000000,-1933948.000000,-277208.000000,782376.000000,-1297385.000000,237801.000000,,-277208.000000,-2211156.000000,508757.000000,,,508757.000000,-1702399.000000,,-1702399.000000,,-1702399.000000,-1702399.000000,-1702411.000000,12.000000,-1702399.000000,-1702399.000000,-1702411.000000,12.000000,-1702399.000000
12M 2018,35984816.000000,-32784541.000000,3200275.000000,-3362164.000000,-1081331.000000,-1795485.000000,-485348.000000,-3362164.000000,-161889.000000,1503879.000000,253106.000000,-1857923.000000,3108696.000000,,1503879.000000,1341990.000000,71122.000000,,,71122.000000,1413112.000000,,1413112.000000,,1413112.000000,1413112.000000,1413112.000000,,1413112.000000,1413112.000000,1413112.000000,,1413112.000000
12M 2019,29894354.000000,-28556372.000000,1337982.000000,-2000215.000000,-779481.000000,-1372948.000000,152214.000000,-2000215.000000,-662233.000000,-1991142.000000,322859.000000,-2403575.000000,89574.000000,,-1991142.000000,-2653375.000000,-139572.000000,,,-139572.000000,-2792947.000000,,-2792947.000000,,-2792947.000000,-2792947.000000,-2792875.000000,-72.000000,-2792947.000000,-2792947.000000,-2792875.000000,-72.000000,-2792947.000000
12M 2020,23948102.000000,-22180918.000000,1767184.000000,-1668127.000000,-764661.000000,-1816450.000000,912984.000000,-1668127.000000,99057.000000,-989869.000000,626746.000000,-1616615.000000,,,-989869.000000,-890812.000000,312868.000000,,,312868.000000,-577944.000000,,-577944.000000,,-577944.000000,-577944.000000,-577891.000000,-53.000000,-577944.000000,-577944.000000,-577891.000000,-53.000000,-577944.000000
12M 2021,30725639.000000,-25820251.000000,4905388.000000,-2222109.000000,-1361807.000000,-1333395.000000,473093.000000,-2222109.000000,2683279.000000,-1218389.000000,20030.000000,-1238419.000000,,,-1218389.000000,1464890.000000,147652.000000,,,147652.000000,1612542.000000,,1612542.000000,,1612542.000000,1612542.000000,1612542.000000,,1612542.000000,1612542.000000,1612542.000000,,1612542.000000
12M 2022,28555758.000000,-24924089.000000,3631669.000000,-2523813.000000,-1177226.000000,-1655691.000000,309104.000000,-2523813.000000,1107856.000000,-866973.000000,667801.000000,-1534774.000000,,,-866973.000000,240883.000000,-174564.000000,,,-174564.000000,66319.000000,,66319.000000,,66319.000000,66319.000000,66388.000000,-69.000000,66319.000000,66319.000000,66319.000000,,66319.000000
