Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Piutang Usaha,Pihak Berelasi,Total Piutang Usaha,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,2652036.000000,1802.000000,31273020.000000,7089257.000000,24183763.000000,31273020.000000,,3507829.000000,37434687.000000,,3044720.000000,32484406.000000,,,,687792.000000,36216918.000000,73651605.000000,,,43380430.000000,32952277.000000,8120634.000000,,,8120634.000000,,18211.000000,833676.000000,,17222.000000,,1254142.000000,1271364.000000,184268.000000,43380430.000000,372415.000000,,,,,372415.000000,372415.000000,,372415.000000,43752845.000000,,76794149.000000,4813368.000000,-51709294.000000,537.000000,29898760.000000,73651605.000000,2015208720.000000
12M 2014,,,2143791.000000,1451.000000,5271348.000000,5271348.000000,,5271348.000000,24420530.000000,756696.000000,32593816.000000,,4265583.000000,30483524.000000,,,,2301576.000000,37050683.000000,69644499.000000,,,46119257.000000,36785609.000000,7760335.000000,,,7760335.000000,,42458.000000,917170.000000,,11245.000000,,381127.000000,392372.000000,221313.000000,46119257.000000,15931.000000,,,15931.000000,,,15931.000000,,15931.000000,46135188.000000,,76794149.000000,4813368.000000,-58098706.000000,500.000000,23509311.000000,69644499.000000,2015208720.000000
12M 2015,,,1785668.000000,1103.000000,3465568.000000,3465568.000000,,3465568.000000,20584895.000000,604621.000000,26441855.000000,,1040866.000000,27472051.000000,,,,1882544.000000,30395461.000000,56837316.000000,,,39186759.000000,32621290.000000,,5412595.000000,,5412595.000000,,22694.000000,853326.000000,,10141.000000,,,10141.000000,266713.000000,39186759.000000,4626437.000000,222212.000000,,4225.000000,,,4225.000000,4400000.000000,4626437.000000,43813196.000000,,76794149.000000,4813368.000000,-68583780.000000,383.000000,13024120.000000,56837316.000000,2015208720.000000
12M 2016,,,1101023.000000,1164.000000,4910780.000000,4910780.000000,,4910780.000000,20776539.000000,229815.000000,27019321.000000,,1059117.000000,19002667.000000,,,,2352257.000000,22414041.000000,49433362.000000,,,19587421.000000,11472324.000000,,5576740.000000,,5576740.000000,,61964.000000,1965067.000000,,40445.000000,84367.000000,,124812.000000,386514.000000,19587421.000000,13694329.000000,189423.000000,,47246.000000,1602970.000000,,1650216.000000,11854690.000000,13694329.000000,33281750.000000,,76794149.000000,4813368.000000,-65456301.000000,396.000000,16151612.000000,49433362.000000,2015208720.000000
12M 2017,,,785059.000000,5995.000000,3586057.000000,3586057.000000,,3586057.000000,20511824.000000,605374.000000,25494309.000000,,1378452.000000,30265220.000000,,,,4421567.000000,36065239.000000,61559548.000000,,,27072234.000000,14986508.000000,,6818699.000000,187803.000000,7006502.000000,,69270.000000,1531323.000000,,61615.000000,1936355.000000,,1997970.000000,1480661.000000,27072234.000000,19774451.000000,,,53051.000000,6413645.000000,,6466696.000000,13307755.000000,19774451.000000,46846685.000000,,76794149.000000,5077018.000000,-67158712.000000,408.000000,14712863.000000,61559548.000000,2015208720.000000
12M 2018,,,180738.000000,11969.000000,3933222.000000,3933222.000000,,3933222.000000,24182408.000000,926054.000000,29234391.000000,,1449460.000000,29491841.000000,,,,1852028.000000,32793329.000000,62027720.000000,,,32031501.000000,17118339.000000,,4926206.000000,69056.000000,4995262.000000,,398397.000000,1784425.000000,,37134.000000,7068749.000000,,7105883.000000,629195.000000,32031501.000000,13746594.000000,,,28055.000000,,,28055.000000,13718539.000000,13746594.000000,45778095.000000,,76794149.000000,5200668.000000,-65745616.000000,424.000000,16249625.000000,62027720.000000,2015208720.000000
12M 2019,,,111162.000000,8314.000000,3777622.000000,3777622.000000,,3777622.000000,26361121.000000,816122.000000,31074341.000000,,1309888.000000,27569166.000000,,,,1158634.000000,30037688.000000,61112029.000000,,,27991823.000000,20837707.000000,,3137127.000000,,3137127.000000,,20061.000000,1390578.000000,,21365.000000,2444749.000000,,2466114.000000,140236.000000,27991823.000000,19663528.000000,,,5526.000000,3042913.000000,,3048439.000000,16615089.000000,19663528.000000,47655351.000000,,76794149.000000,5200668.000000,-68538491.000000,352.000000,13456678.000000,61112029.000000,2015208720.000000
12M 2020,,,58068.000000,11090.000000,2318436.000000,2318436.000000,,2318436.000000,23827830.000000,536122.000000,26751546.000000,,1622756.000000,25399540.000000,,,,699553.000000,27721849.000000,54473395.000000,,,22926913.000000,18024601.000000,,1862028.000000,,1862028.000000,74118.000000,230464.000000,835938.000000,,20247.000000,1477577.000000,,1497824.000000,401940.000000,22926913.000000,18584408.000000,,,420.000000,2313592.000000,,2314012.000000,16270396.000000,18584408.000000,41511321.000000,,76794149.000000,5284008.000000,-69116382.000000,299.000000,12962074.000000,54473395.000000,2015208720.000000
12M 2021,,,110979.000000,8241.000000,2937032.000000,2937032.000000,,2937032.000000,21925366.000000,257623.000000,25239241.000000,,1770408.000000,23422694.000000,,,,781100.000000,25974202.000000,51213443.000000,,,21083824.000000,15458508.000000,,2191279.000000,,2191279.000000,69407.000000,23500.000000,818552.000000,,414.000000,2018749.000000,,2019163.000000,503415.000000,21083824.000000,15555003.000000,,,,,,,15555003.000000,15555003.000000,36638827.000000,,76794149.000000,5284008.000000,-67503840.000000,299.000000,14574616.000000,51213443.000000,2015208720.000000
12M 2022,,,305137.000000,8325.000000,2101969.000000,2101969.000000,,2101969.000000,21039955.000000,322433.000000,23777819.000000,,1595844.000000,21865864.000000,,,,954891.000000,24416599.000000,48194418.000000,,,21066325.000000,18431483.000000,,1642685.000000,,1642685.000000,62488.000000,65809.000000,783990.000000,,26433.000000,,,26433.000000,53437.000000,21066325.000000,12616372.000000,,,27743.000000,,,27743.000000,12588629.000000,12616372.000000,33682697.000000,,76794149.000000,5284008.000000,-67566666.000000,230.000000,14511721.000000,48194418.000000,2015208720.000000
