Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Untuk:,Pemasok,Gaji Dan Kesejahteraan Karyawan,Total Pembayaran Kas Untuk:,Pembayaran Kas Untuk Biaya Pabrikasi Dan Beban Usaha,Penerimaan Dari Tagihan Pengembalian Pajak,Penerimaan Dari Penghasilan Bunga,Kenaikan (Penurunan) Kas Karena Selisih Kurs - Neto,Pembayaran Bunga Pinjaman Bank,Pembayaran Biaya Bank,Pembayaran Beban Keuangan,Pembayaran Pajak,Pembayaran Pajak Lainnya,Pembayaran Pajak Penghasilan,Pembayaran Pesangon,Lain-Iain - Neto,Kas Neto Diperoleh Dari (Digunakan ) Untuk Aktivitas Operasi Dari Operasi Dalam Penghentian,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Pelepasan Aset Tetap,Perolehan Aset Tetap,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Uang Muka Perolehan Aset Tetap,Kas Bersih Diperoleh Dari Investasi Dari Operasi Dalam Penghentian,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank,Penerimaan Dari Pihak Berelasi,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Bunga Pinjaman Bank,Pembayaran Pinjaman Kepada Pihak Berelasi,Penerimaan (Pembayaran) Pinjaman,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2013,-4386396.000000,53103020.000000,,-31847538.000000,-3279911.000000,-35127449.000000,-15755031.000000,1049347.000000,11795.000000,,,,-1114281.000000,-1695959.000000,,,-4679663.000000,-303831.000000,125656.000000,,-4386396.000000,-1261070.000000,118234.000000,-1578850.000000,,,199546.000000,-1261070.000000,5021689.000000,61782101.000000,,-56760412.000000,,,,,,,5021689.000000,-625777.000000,3277813.000000,2652036.000000
12M 2014,-3005431.000000,49032994.000000,,-27078651.000000,-3239652.000000,-30318303.000000,-20026369.000000,1707615.000000,13220.000000,,,,-1279036.000000,-1513756.000000,,,,-621796.000000,,,-3005431.000000,-1336145.000000,23849.000000,-1359994.000000,,,,-1336145.000000,3833331.000000,91728474.000000,,-87895143.000000,,,,,,,3833331.000000,-508245.000000,2652036.000000,2143791.000000
12M 2015,-398697.000000,38748904.000000,,-21125644.000000,-3972835.000000,-25098479.000000,-12771202.000000,687734.000000,10203.000000,,,,-1041705.000000,-893994.000000,,,,-40158.000000,,,-398697.000000,-182298.000000,14577.000000,-162721.000000,,,-34154.000000,-182298.000000,222872.000000,47636958.000000,4400000.000000,-51801276.000000,,,,,,-12810.000000,222872.000000,-358123.000000,2143791.000000,1785668.000000
12M 2016,-1432806.000000,33719357.000000,,-16151792.000000,-4381648.000000,-20533440.000000,-13579581.000000,409776.000000,10339.000000,,,,-892979.000000,-797052.000000,,,,230774.000000,,,-1432806.000000,12442469.000000,15794511.000000,-3244229.000000,,,-107813.000000,12442469.000000,-11694308.000000,43323401.000000,7840000.000000,-62785031.000000,,,,,,-72678.000000,-11694308.000000,-684645.000000,1785668.000000,1101023.000000
12M 2017,278432.000000,36449963.000000,,-18497630.000000,-4408190.000000,-22905820.000000,-12534446.000000,113895.000000,2455.000000,,,,-793162.000000,,,,,-54453.000000,,,278432.000000,-12910017.000000,241747.000000,-12554026.000000,,,-597738.000000,-12910017.000000,12315621.000000,53646895.000000,2196935.000000,-43470048.000000,,,,,,-58161.000000,12315621.000000,-315964.000000,1101023.000000,785059.000000
12M 2018,-4730439.000000,35637651.000000,,-19581548.000000,-5581895.000000,-25163443.000000,-14715690.000000,462629.000000,726.000000,,,,-751112.000000,,,,,-201200.000000,,,-4730439.000000,2940475.000000,5073447.000000,-2038182.000000,,,-94790.000000,2940475.000000,1185643.000000,44128388.000000,282618.000000,-43150016.000000,,,,,,-75347.000000,1185643.000000,-604321.000000,785059.000000,180738.000000
12M 2019,-4259860.000000,29912000.000000,,-16793763.000000,-5316906.000000,-22110669.000000,-9982732.000000,1067007.000000,384.000000,,,,-1514240.000000,,,,,-1631610.000000,,,-4259860.000000,-775491.000000,887449.000000,-1554847.000000,-38298.000000,-69795.000000,,-775491.000000,4965775.000000,3719368.000000,2827494.000000,-1581087.000000,,,,,,,4965775.000000,-69576.000000,180738.000000,111162.000000
12M 2020,4240094.000000,26794184.000000,,-6723374.000000,-3892955.000000,-10616329.000000,-10282065.000000,332528.000000,227.000000,,,,-1494506.000000,,,,,-493945.000000,,,4240094.000000,40570.000000,168730.000000,-128160.000000,,,,40570.000000,-4333758.000000,27764396.000000,653313.000000,-30580757.000000,-1696493.000000,,-447450.000000,,-26767.000000,,-4333758.000000,-53094.000000,111162.000000,58068.000000
12M 2021,5368699.000000,31952189.000000,,-10850340.000000,-3853749.000000,-14704089.000000,-9814906.000000,241442.000000,103.000000,-66980.000000,-955412.000000,-102277.000000,,-1176703.000000,,,,-4668.000000,,,5368699.000000,-122691.000000,2204.000000,-124895.000000,,,,-122691.000000,-5193097.000000,24127713.000000,1074811.000000,-26693815.000000,-1772420.000000,,-1909687.000000,,-19699.000000,,-5193097.000000,52911.000000,58068.000000,110979.000000
12M 2022,2281791.000000,30901022.000000,,-12252417.000000,-3864358.000000,-16116775.000000,-10220986.000000,51198.000000,56.000000,451908.000000,-1001160.000000,-64768.000000,,,-1359959.000000,-363824.000000,,5079.000000,,,2281791.000000,-251066.000000,62750.000000,-313816.000000,,,,-251066.000000,-1836567.000000,26394224.000000,172917.000000,-23421249.000000,-2018750.000000,,-2963709.000000,,,,-1836567.000000,194158.000000,110979.000000,305137.000000
